strategy_id,price_damage_threshold_pct,control_trade_id,ticker,name,date,event_type,close_return_pct,running_mfe_pct,fast_date,fast_state,arm_cycle,detail
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-07-05,FAILURE_CONFIRMED,-25.636943,18.312102,2024-07-05,WATCH,2.0,NEW_WEAK_FAST_AND_PRICE_DAMAGED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-07-08,EXIT_EXECUTED,-26.11465,,,WATCH,2.0,PREWINNER_FAILURE_CONFIRMED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-10-22,ARMED,-30.652866,18.312102,2024-10-18,WATCH,1.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-10-25,DISARM_PRICE,-29.378981,18.312102,2024-10-25,WATCH,1.0,ARM_CLEARED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-10-30,REARM,-30.493631,18.312102,2024-10-25,WATCH,2.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-11-01,DISARM_PRICE,-29.617834,18.312102,2024-11-01,WATCH,2.0,ARM_CLEARED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-11-07,REARM,-31.369427,18.312102,2024-11-01,WATCH,3.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-11-08,DISARM_PRICE,-29.697452,18.312102,2024-11-08,WATCH,3.0,ARM_CLEARED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-11-11,REARM,-33.83758,18.312102,2024-11-08,WATCH,4.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-11-15,FAILURE_CONFIRMED,-37.977707,18.312102,2024-11-15,WATCH,4.0,NEW_WEAK_FAST_AND_PRICE_DAMAGED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-11-18,EXIT_EXECUTED,-38.455414,,,WATCH,4.0,PREWINNER_FAILURE_CONFIRMED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_02,000120,CJ대한통운,2026-03-03,EXIT_EXECUTED,25.477099,,,SETUP,,SOFT_EXIT
