sample_id,ticker,name,reference_date,weekly_stage_at_reference,human_label,range_position_24m,drawdown_from_12m_high,ma_alignment_score,monthly_down_month_ratio_12m,higher_monthly_low_count_12m,post_breakout_min_low_vs_level_pct_26w,close_vs_wma200_pct,distance_to_prior_26w_high_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,recent_5d_max_gap_abs_pct,atr_14_pct
001450_20260116,001450,현대해상,2026-01-16,SETUP,GOOD_TRIGGER,0.6462264150943396,-0.0268562401263823,0.0,0.3333333333333333,6.0,,-0.1116856427849317,-0.1532385466034754,6.0,0.0010354263737888,0.0255230695835888,0.011111111111111,0.0378464818763326
001540_20260213,001540,안국약품,2026-02-13,TRIGGER,GOOD_TRIGGER,0.7408637873754153,-0.0844155844155843,1.0,0.3333333333333333,5.0,-0.0959537572254335,0.0982579785578203,-0.0454545454545454,6.0,0.0060500000000001,0.0479828850855745,0.003516998827667,0.0265630061548428
001570_20240927,001570,금양,2024-09-27,WATCH,NO_SETUP,0.1913495756912127,-0.673943661971831,0.0,0.6666666666666666,5.0,,,-0.540650406504065,5.0,-0.0134008275746182,-0.2270117819832448,0.0229681978798586,0.0690897597977244
001800_20250321,001800,오리온홀딩스,2025-03-21,SETUP,GOOD_TRIGGER,0.4183908045977011,-0.1275599765944997,1.0,0.4166666666666667,6.0,-0.1279761904761904,,-0.0760678759508484,7.0,0.0018006447063563,-0.0277490901937641,0.0044359949302914,0.0186827105763141
002070_20260327,002070,비비안,2026-03-27,WATCH,NO_SETUP,0.0120642686384611,-0.6228749693294542,-1.0,0.75,3.0,,-0.6443181686936235,-0.5006809780141384,4.0,-0.0101915211838046,-0.1394289441233016,0.068995633187773,0.095420555545247
002170_20250321,002170,SYTS,2025-03-21,WATCH,TOO_EARLY,0.3364485981308411,-0.1062618595825426,-1.0,0.5833333333333334,5.0,,,-0.0920303605313093,4.0,-0.0012074186971755,-0.0069408740359897,0.0073221757322176,0.0167189132706374
002460_20250509,002460,HS화성,2025-05-09,WATCH,BORDERLINE_TRIGGER,0.5379537953795379,-0.0292682926829268,0.0,0.5,4.0,-0.0857142857142857,,-0.0165853658536585,6.0,0.0004718239071124,0.0056321238665435,0.0190954773869347,0.0223922902494331
003060_20260327,003060,에이프로젠바이오로직스,2026-03-27,WATCH,NO_SETUP,0.0274614869390488,-0.6095238095238096,-1.0,0.5,2.0,,-0.8404225802445321,-0.5399698340874812,3.0,-0.0156291129244537,-0.1883202609303409,0.1136363636363635,0.1138173302107728
003100_20250822,003100,선광,2025-08-22,WATCH,FALSE_TRIGGER,0.5968992248062015,-0.1568965517241379,0.0,0.6666666666666666,6.0,-0.1496567505720824,-0.6151883943903109,-0.1823275862068966,4.0,0.0029369244254213,0.1101905954368391,0.0230487166055526,0.0212365388960012
003120_20260327,003120,일성아이에스,2026-03-27,WATCH,NO_SETUP,0.6194690265486725,-0.205087440381558,1.0,0.3333333333333333,6.0,-0.2123552123552123,0.121803493320203,-0.2064846416382252,7.0,0.0068773282621721,-0.001807369402985,0.0289855072463768,0.0321044546850998
003480_20250207,003480,한진중공업홀딩스,2025-02-07,WATCH,BORDERLINE_TRIGGER,0.3306451612903225,-0.0967741935483871,1.0,0.5,6.0,,,-0.0789473684210526,6.0,0.0012907123633767,0.0176392741248345,0.01,0.0156122448979591
003490_20250905,003490,대한항공,2025-09-05,SETUP,GOOD_TRIGGER,0.601593625498008,-0.1121495327102803,0.0,0.3333333333333333,6.0,-0.0946745562130177,-0.0198455376033254,-0.1158878504672896,6.0,0.0011602370198484,0.0512237565959357,0.0063965884861407,0.0227272727272727
006260_20200925,006260,LS,2020-09-25,WATCH,BORDERLINE_TRIGGER,0.4330949948927477,-0.1281310211946049,-1.0,0.5,6.0,0.1177117711771176,-0.1350843320206513,-0.2853146853146853,7.0,0.0018504383225776,0.1318407960199006,0.0281425891181988,0.0753424657534246
006260_20221223,006260,LS,2022-12-23,SETUP,GOOD_TRIGGER,0.8534351145038168,-0.0195567144719687,0.0,0.4166666666666667,7.0,-0.0608203677510608,0.2996134692157457,-0.0651890482398956,9.0,0.0058544789998866,0.060122773230621,0.0121951219512195,0.0294879458059374
008490_20250328,008490,서흥,2025-03-28,WATCH,FALSE_TRIGGER,0.1819491118578972,-0.3957692307692307,-1.0,0.8333333333333334,3.0,,,-0.1877133105802048,7.0,-0.0088941465124431,0.0269723416265033,0.012829169480081,0.0375150060024009
009150_20260327,009150,삼성전기,2026-03-27,EXTENDED,TOO_EXTENDED,0.9308005427408412,-0.0537974683544303,1.0,0.1666666666666666,10.0,-0.0919689119170984,1.716447337537359,-0.1115660184237461,9.0,0.0272765536929946,0.2167952582677097,0.0573099415204678,0.0667379855167873
009470_20250627,009470,삼화전기,2025-06-27,WATCH,FALSE_TRIGGER,0.1711510696941856,-0.7024471635150167,0.0,0.6666666666666666,5.0,,0.0217704754614878,-0.3719912472647703,6.0,-0.0249573164607812,-0.1428962710803303,0.0288624787775891,0.0450472872075659
009730_20260327,009730,이렘,2026-03-27,WATCH,NO_SETUP,0.038361108977805,-0.5151313047102959,-1.0,0.8333333333333334,2.0,,-0.7363365049299747,-0.4399818984047969,5.0,-0.0122458740684324,-0.1200855047758205,0.0232368528332653,0.0412842712842712
009830_20250328,009830,한화솔루션,2025-03-28,WATCH,BORDERLINE_TRIGGER,0.1575676763610747,-0.3777348184970388,-1.0,0.5,5.0,,-0.5233671550939196,-0.2935686672654145,7.0,-0.0075408100899858,0.0485452454132333,0.0085862087355341,0.0394473968903243
011070_20200925,011070,LG이노텍,2020-09-25,SETUP,GOOD_TRIGGER,0.6581196581196581,-0.1988950276243094,1.0,0.3333333333333333,8.0,-0.1891117478510028,0.1586708634545097,-0.1629834254143646,6.0,0.0050528500805722,0.0526548672566371,0.0161812297734628,0.0391324846770391
