scope,version,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable
WINDOW_P2-1,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,604,250,22.8709,4.1429,18.728,FAVORABLE,7.12,-15.105,22.225,FAVORABLE,22.1854,11.2,10.9854,FAVORABLE,8.4437,3.6,4.8437,FAVORABLE,0.8278,1.6,-0.7722,FAVORABLE,0.1656,0.0,0.1656,UNFAVORABLE,0.1656,0.0,0.1656,UNFAVORABLE,26.2636,14.3815,-19.5086,0.8278,0.6285,0.1285,5,2
WINDOW_P2-1,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,604,104,22.8709,2.7945,20.0764,FAVORABLE,7.12,-15.105,22.225,FAVORABLE,22.1854,9.6154,12.57,FAVORABLE,8.4437,3.8462,4.5975,FAVORABLE,0.8278,2.8846,-2.0568,FAVORABLE,0.1656,0.0,0.1656,UNFAVORABLE,0.1656,0.0,0.1656,UNFAVORABLE,26.6174,11.6277,-19.6701,0.8278,0.6325,0.1325,5,2
WINDOW_P2-1,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,604,146,22.8709,5.1034,17.7675,FAVORABLE,7.12,-15.1,22.22,FAVORABLE,22.1854,12.3288,9.8566,FAVORABLE,8.4437,3.4247,5.019,FAVORABLE,0.8278,0.6849,0.1429,UNFAVORABLE,0.1656,0.0,0.1656,UNFAVORABLE,0.1656,0.0,0.1656,UNFAVORABLE,26.0115,16.3431,-19.3935,0.8278,0.6257,0.1257,4,3
WINDOW_P2-1,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,104,146,2.7945,5.1034,-2.3089,UNFAVORABLE,-15.105,-15.1,-0.005,UNFAVORABLE,9.6154,12.3288,-2.7134,UNFAVORABLE,3.8462,3.4247,0.4215,FAVORABLE,2.8846,0.6849,2.1997,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-0.6059,4.7154,0.2766,0.0,0.4903,-0.0097,1,4
WINDOW_P2-2,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,1069,474,26.9417,4.9153,22.0264,FAVORABLE,0.5,-15.16,15.66,FAVORABLE,25.5379,12.2363,13.3016,FAVORABLE,10.5706,4.4304,6.1402,FAVORABLE,1.4967,6.5401,-5.0434,FAVORABLE,0.3742,3.5865,-3.2123,FAVORABLE,0.0935,2.5316,-2.4381,FAVORABLE,20.2761,16.0006,-16.6321,-4.1278,0.6252,0.1252,7,0
WINDOW_P2-2,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,1069,155,26.9417,10.4778,16.4639,FAVORABLE,0.5,-14.29,14.79,FAVORABLE,25.5379,12.2581,13.2798,FAVORABLE,10.5706,5.1613,5.4093,FAVORABLE,1.4967,9.0323,-7.5356,FAVORABLE,0.3742,5.8065,-5.4323,FAVORABLE,0.0935,4.5161,-4.4226,FAVORABLE,17.3307,12.8538,-9.8947,-6.1613,0.609,0.109,7,0
WINDOW_P2-2,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,1069,319,26.9417,2.2126,24.7291,FAVORABLE,0.5,-15.35,15.85,FAVORABLE,25.5379,12.2257,13.3122,FAVORABLE,10.5706,4.0752,6.4954,FAVORABLE,1.4967,5.3292,-3.8325,FAVORABLE,0.3742,2.5078,-2.1336,FAVORABLE,0.0935,1.5674,-1.4739,FAVORABLE,21.7073,17.5297,-19.9058,-3.1397,0.6331,0.1331,7,0
WINDOW_P2-2,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,155,319,10.4778,2.2126,8.2652,FAVORABLE,-14.29,-15.35,1.06,FAVORABLE,12.2581,12.2257,0.0324,FAVORABLE,5.1613,4.0752,1.0861,FAVORABLE,9.0323,5.3292,3.7031,UNFAVORABLE,5.8065,2.5078,3.2987,UNFAVORABLE,4.5161,1.5674,2.9487,UNFAVORABLE,4.3766,4.6759,-10.0111,3.0216,0.5269,0.0269,4,3
WINDOW_P2-2,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,1038,377,24.0182,3.5434,20.4748,FAVORABLE,-1.545,-15.28,13.735,FAVORABLE,24.3738,12.4668,11.907,FAVORABLE,9.8266,4.5093,5.3173,FAVORABLE,1.5414,0.7958,0.7456,UNFAVORABLE,0.3854,0.0,0.3854,UNFAVORABLE,0.0963,0.0,0.0963,UNFAVORABLE,22.1498,15.0797,-18.0569,0.9634,0.6158,0.1158,4,3
WINDOW_P2-2,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,1038,118,24.0182,5.5742,18.444,FAVORABLE,-1.545,-14.555,13.01,FAVORABLE,24.3738,12.7119,11.6619,FAVORABLE,9.8266,5.0847,4.7419,FAVORABLE,1.5414,2.5424,-1.001,FAVORABLE,0.3854,0.0,0.3854,UNFAVORABLE,0.0963,0.0,0.0963,UNFAVORABLE,15.8895,10.8177,-9.4429,0.9634,0.5851,0.0851,5,2
WINDOW_P2-2,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,1038,259,24.0182,2.6182,21.4,FAVORABLE,-1.545,-15.46,13.915,FAVORABLE,24.3738,12.3552,12.0186,FAVORABLE,9.8266,4.2471,5.5795,FAVORABLE,1.5414,0.0,1.5414,UNFAVORABLE,0.3854,0.0,0.3854,UNFAVORABLE,0.0963,0.0,0.0963,UNFAVORABLE,25.0021,17.0215,-21.9814,0.9634,0.6297,0.1297,4,3
WINDOW_P2-2,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,118,259,5.5742,2.6182,2.956,FAVORABLE,-14.555,-15.46,0.905,FAVORABLE,12.7119,12.3552,0.3567,FAVORABLE,5.0847,4.2471,0.8376,FAVORABLE,2.5424,0.0,2.5424,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,9.1126,6.2038,-12.5385,0.0,0.5562,0.0562,4,1
WINDOW_P3-1,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,272,167,22.5128,6.227,16.2858,FAVORABLE,5.795,-14.96,20.755,FAVORABLE,25.0,13.7725,11.2275,FAVORABLE,8.0882,4.1916,3.8966,FAVORABLE,1.1029,5.3892,-4.2863,FAVORABLE,0.0,2.994,-2.994,FAVORABLE,0.0,1.7964,-1.7964,FAVORABLE,18.3053,10.3337,-12.2006,-3.6875,0.6051,0.1051,7,0
WINDOW_P3-1,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,272,68,22.5128,2.4843,20.0285,FAVORABLE,5.795,-14.475,20.27,FAVORABLE,25.0,11.7647,13.2353,FAVORABLE,8.0882,2.9412,5.147,FAVORABLE,1.1029,7.3529,-6.25,FAVORABLE,0.0,4.4118,-4.4118,FAVORABLE,0.0,2.9412,-2.9412,FAVORABLE,19.4853,12.5,-9.5588,-4.7795,0.6063,0.1063,7,0
WINDOW_P3-1,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,272,99,22.5128,8.7978,13.715,FAVORABLE,5.795,-15.26,21.055,FAVORABLE,25.0,15.1515,9.8485,FAVORABLE,8.0882,5.0505,3.0377,FAVORABLE,1.1029,4.0404,-2.9375,FAVORABLE,0.0,2.0202,-2.0202,FAVORABLE,0.0,1.0101,-1.0101,FAVORABLE,17.4948,8.8458,-14.0152,-2.9375,0.6043,0.1043,7,0
WINDOW_P3-1,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,68,99,2.4843,8.7978,-6.3135,UNFAVORABLE,-14.475,-15.26,0.785,FAVORABLE,11.7647,15.1515,-3.3868,UNFAVORABLE,2.9412,5.0505,-2.1093,UNFAVORABLE,7.3529,4.0404,3.3125,UNFAVORABLE,4.4118,2.0202,2.3916,UNFAVORABLE,2.9412,1.0101,1.9311,UNFAVORABLE,-1.9905,-3.6542,-4.4564,1.842,0.4975,-0.0025,1,6
WINDOW_P3-1,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,264,123,20.1133,8.5443,11.569,FAVORABLE,1.915,-15.28,17.195,FAVORABLE,23.4848,15.4472,8.0376,FAVORABLE,7.5758,5.6911,1.8847,FAVORABLE,1.1364,0.813,0.3234,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,21.9235,9.054,-15.8351,1.1364,0.5982,0.0982,4,1
WINDOW_P3-1,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,264,49,20.1133,3.9684,16.1449,FAVORABLE,1.915,-15.22,17.135,FAVORABLE,23.4848,12.2449,11.2399,FAVORABLE,7.5758,4.0816,3.4942,FAVORABLE,1.1364,2.0408,-0.9044,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,23.8482,9.3692,-14.4248,1.1364,0.6077,0.1077,5,0
WINDOW_P3-1,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,264,74,20.1133,11.5743,8.539,FAVORABLE,1.915,-15.285,17.2,FAVORABLE,23.4848,17.5676,5.9172,FAVORABLE,7.5758,6.7568,0.819,FAVORABLE,1.1364,0.0,1.1364,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,20.6491,8.8452,-16.769,1.1364,0.5919,0.0919,4,1
WINDOW_P3-1,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,49,74,3.9684,11.5743,-7.6059,UNFAVORABLE,-15.22,-15.285,0.065,FAVORABLE,12.2449,17.5676,-5.3227,UNFAVORABLE,4.0816,6.7568,-2.6752,UNFAVORABLE,2.0408,0.0,2.0408,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-3.1991,-0.524,-2.3442,0.0,0.4863,-0.0137,1,4
WINDOW_P3-2,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,703,323,27.7799,5.6905,22.0894,FAVORABLE,-11.68,-14.92,3.24,FAVORABLE,27.7383,14.8607,12.8776,FAVORABLE,11.0953,5.2632,5.8321,FAVORABLE,1.2802,5.2632,-3.983,FAVORABLE,0.0,2.1672,-2.1672,FAVORABLE,0.0,1.548,-1.548,FAVORABLE,13.2458,13.6809,-9.3967,-3.3136,0.5917,0.0917,7,0
