date,ticker,foreign_net_buy_value,foreign_buy_value,foreign_sell_value
2026-05-13,003080,-3568360.0,11885035.0,15453395.0
2026-05-13,003090,-224546500.0,328171550.0,552718050.0
2026-05-13,0030R0,-8894230.0,22155225.0,31049455.0
2026-05-13,003100,-354291225.0,178897550.0,533188775.0
2026-05-13,003120,-24989250.0,16155300.0,41144550.0
2026-05-13,003160,1070790900.0,4069342525.0,2998551625.0
2026-05-13,003200,-195515200.0,71740740.0,267255940.0
2026-05-13,003220,-2598605.0,94078875.0,96677480.0
2026-05-13,003230,-21016187500.0,18726646000.0,39742833500.0
2026-05-13,003240,-461832000.0,911690000.0,1373522000.0
2026-05-13,003280,92153325.0,37046992942.0,36954839617.0
2026-05-13,003300,15157110.0,134321290.0,119164180.0
2026-05-13,003310,-325122722.0,1211707534.0,1536830256.0
2026-05-13,003350,-212205705.0,181899000.0,394104705.0
2026-05-13,003380,-2355410075.0,6233758975.0,8589169050.0
2026-05-13,003460,22728445.0,70284465.0,47556020.0
2026-05-13,003470,-307961270.0,3459344850.0,3767306120.0
2026-05-13,003475,40694960.0,136684070.0,95989110.0
2026-05-13,003480,-105863890.0,198062125.0,303926015.0
2026-05-13,003490,5264332450.0,12767286750.0,7502954300.0
2026-05-13,003495,3356225.0,10594100.0,7237875.0
2026-05-13,003520,-81572544.0,113191271.0,194763815.0
2026-05-13,003530,-4638500370.0,4245596415.0,8884096785.0
2026-05-13,003535,-43160595.0,47245155.0,90405750.0
2026-05-13,003540,-68263500.0,1561378950.0,1629642450.0
2026-05-13,003545,230908375.0,983994150.0,753085775.0
2026-05-13,003547,297310625.0,529363700.0,232053075.0
2026-05-13,003550,1831258900.0,21242017650.0,19410758750.0
2026-05-13,003555,-223100700.0,131508000.0,354608700.0
2026-05-13,003570,1684461750.0,3398950200.0,1714488450.0
2026-05-13,003580,-63951146.0,39877411.0,103828557.0
2026-05-13,003610,-223121290.0,54532480.0,277653770.0
2026-05-13,003620,-127670816.0,1077568601.0,1205239417.0
2026-05-13,003650,-150783800.0,703285100.0,854068900.0
2026-05-13,003670,-6828423250.0,27174160500.0,34002583750.0
2026-05-13,003680,386635.0,19007215.0,18620580.0
2026-05-13,003690,-478358425.0,1266222420.0,1744580845.0
2026-05-13,003720,439938205.0,3849224330.0,3409286125.0
2026-05-13,003780,-18823595.0,156872685.0,175696280.0
2026-05-13,0037T0,80.0,32080.0,32000.0
2026-05-13,003800,-37970300.0,44544975.0,82515275.0
2026-05-13,003830,-1783300.0,468000.0,2251300.0
2026-05-13,003850,-157592130.0,270172960.0,427765090.0
2026-05-13,003920,-113066850.0,143281250.0,256348100.0
2026-05-13,003925,-37713950.0,7016600.0,44730550.0
2026-05-13,003960,-91246475.0,77745000.0,168991475.0
2026-05-13,004000,1710014400.0,3062198800.0,1352184400.0
2026-05-13,004020,7877515025.0,21708389475.0,13830874450.0
2026-05-13,004060,-741983868.0,614913287.0,1356897155.0
2026-05-13,004080,-4657540.0,1143190.0,5800730.0
2026-05-13,004090,485619915.0,2060164525.0,1574544610.0
2026-05-13,004100,-49861263.0,883065615.0,932926878.0
2026-05-13,004105,23073255.0,44350295.0,21277040.0
2026-05-13,004140,-12282145.0,350751735.0,363033880.0
2026-05-13,004150,-221044069.0,486636006.0,707680075.0
2026-05-13,004170,31189196250.0,52790296750.0,21601100500.0
2026-05-13,0041B0,0.0,18225.0,18225.0
2026-05-13,0041J0,0.0,0.0,0.0
2026-05-13,0041L0,56070.0,56070.0,0.0
