ticker,isu_cd,market,sample_group,numeric_or_alpha,source,adjusted,request_start,request_end,attempt_count,source_status,eligibility_status,row_count,first_date,last_date,duplicate_count,invalid_ohlc_count,future_row_count,error_type,error_message_sanitized,evidence_summary
0017J0,KR70017J0004,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-06-10,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,51,2026-06-10,2026-08-21,0,0,0,,,"Successfully returned 51 valid adjusted OHLC rows spanning 2026-06-10 ~ 2026-08-21 (requested 2026-06-10 ~ 2026-08-21, 0 anomalies)"
0039P0,KR70039P0000,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-07-01,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,36,2026-07-01,2026-08-21,0,0,0,,,"Successfully returned 36 valid adjusted OHLC rows spanning 2026-07-01 ~ 2026-08-21 (requested 2026-07-01 ~ 2026-08-21, 0 anomalies)"
0082N0,KR70082N0008,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-03-16,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,109,2026-03-16,2026-08-21,0,0,0,,,"Successfully returned 109 valid adjusted OHLC rows spanning 2026-03-16 ~ 2026-08-21 (requested 2026-03-16 ~ 2026-08-21, 0 anomalies)"
0088M0,KR70088M0003,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-03-26,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,101,2026-03-26,2026-08-21,0,0,0,,,"Successfully returned 101 valid adjusted OHLC rows spanning 2026-03-26 ~ 2026-08-21 (requested 2026-03-26 ~ 2026-08-21, 0 anomalies)"
0117P0,KR70117P0005,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-06-08,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,53,2026-06-08,2026-08-21,0,0,0,,,"Successfully returned 53 valid adjusted OHLC rows spanning 2026-06-08 ~ 2026-08-21 (requested 2026-06-08 ~ 2026-08-21, 0 anomalies)"
0120G0,KR70120G0001,KOSPI,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-11-24,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,182,2025-11-24,2026-08-21,0,0,0,,,"Successfully returned 182 valid adjusted OHLC rows spanning 2025-11-24 ~ 2026-08-21 (requested 2025-11-24 ~ 2026-08-21, 0 anomalies)"
0126Z0,KR70126Z0002,KOSPI,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-11-24,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,182,2025-11-24,2026-08-21,0,0,0,,,"Successfully returned 182 valid adjusted OHLC rows spanning 2025-11-24 ~ 2026-08-21 (requested 2025-11-24 ~ 2026-08-21, 0 anomalies)"
0156T0,KR70156T0003,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-07-24,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,20,2026-07-24,2026-08-21,0,0,0,,,"Successfully returned 20 valid adjusted OHLC rows spanning 2026-07-24 ~ 2026-08-21 (requested 2026-07-24 ~ 2026-08-21, 0 anomalies)"
0218L0,KR70218L0007,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-07-27,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,19,2026-07-27,2026-08-21,0,0,0,,,"Successfully returned 19 valid adjusted OHLC rows spanning 2026-07-27 ~ 2026-08-21 (requested 2026-07-27 ~ 2026-08-21, 0 anomalies)"
035720,KR7035720002,"KOSDAQ,KOSPI",GROUP_E_MARKET_TRANSFER,numeric,PyKRX (get_market_ohlcv_by_date),True,2017-07-03,2017-07-14,1,SUCCESS,ELIGIBLE_FULL,10,2017-07-03,2017-07-14,0,0,0,,,"Successfully returned 10 valid adjusted OHLC rows spanning 2017-07-03 ~ 2017-07-14 (requested 2017-07-03 ~ 2017-07-14, 0 anomalies)"
068270,KR7068270008,"KOSDAQ,KOSPI",GROUP_E_MARKET_TRANSFER,numeric,PyKRX (get_market_ohlcv_by_date),True,2018-02-01,2018-02-20,1,SUCCESS,ELIGIBLE_FULL,12,2018-02-01,2018-02-20,0,0,0,,,"Successfully returned 12 valid adjusted OHLC rows spanning 2018-02-01 ~ 2018-02-20 (requested 2018-02-01 ~ 2018-02-20, 0 anomalies)"
022100,KR7022100002,"KOSDAQ,KOSPI",GROUP_E_MARKET_TRANSFER,numeric,PyKRX (get_market_ohlcv_by_date),True,2023-12-20,2024-01-10,1,SUCCESS,ELIGIBLE_FULL,13,2023-12-20,2024-01-10,0,0,0,,,"Successfully returned 13 valid adjusted OHLC rows spanning 2023-12-20 ~ 2024-01-10 (requested 2023-12-20 ~ 2024-01-10, 0 anomalies)"
