variant,cohort,metric,bin,count,rate_pct,distribution_count
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,<= -20,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,-20 to -15,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,-15 to -10,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,-10 to -5,9,5.027933,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,-5 to 0,63,35.195531,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,0 to +5,86,48.044693,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,+5 to +10,16,8.938547,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,> +10,5,2.793296,179
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,0,22,6.285714,350
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>0 to 5,43,12.285714,350
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>5 to 10,44,12.571429,350
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>10 to 15,41,11.714286,350
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>15 to 20,40,11.428571,350
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>20 to 30,65,18.571429,350
FASTCORE_V1_W25_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>30,95,27.142857,350
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,0,15,9.933775,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>0 to 5,26,17.218543,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>5 to 10,24,15.89404,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>10 to 15,24,15.89404,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>15 to 20,18,11.92053,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>20 to 30,25,16.556291,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>30,19,12.582781,151
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,0,7,3.517588,199
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>0 to 5,17,8.542714,199
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>5 to 10,20,10.050251,199
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>10 to 15,17,8.542714,199
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>15 to 20,22,11.055276,199
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>20 to 30,40,20.100503,199
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>30,76,38.190955,199
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,0,16,5.405405,296
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>0 to 5,33,11.148649,296
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>5 to 10,43,14.527027,296
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>10 to 15,43,14.527027,296
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>15 to 20,32,10.810811,296
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>20 to 30,57,19.256757,296
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>30,72,24.324324,296
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,0,10,8.547009,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>0 to 5,18,15.384615,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>5 to 10,28,23.931624,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>10 to 15,17,14.529915,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>15 to 20,15,12.820513,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>20 to 30,16,13.675214,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>30,13,11.111111,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,0,6,3.351955,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>0 to 5,15,8.379888,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>5 to 10,15,8.379888,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>10 to 15,26,14.52514,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>15 to 20,17,9.497207,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>20 to 30,41,22.905028,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,post_arm_long_additional_close_deterioration_pp,>30,59,32.960894,179
