ticker,name,market,entry_execution_date,entry_open_price,pattern_a_stage_at_entry,coverage_path,policy_a_status,policy_a_exit_reason,policy_a_terminal_return_pct,policy_a_terminal_giveback_pct,policy_b_status,policy_b_exit_reason,policy_b_terminal_return_pct,policy_b_terminal_giveback_pct,paired_return_delta_pct,paired_giveback_delta_pct,exit4_triggered,policy_b_better,policy_b_equal,policy_b_worse
084110,휴온스글로벌,KOSDAQ,2024-09-30,32550.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_WEAK,-27.5,163.14,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,53.92,8.91,81.42,-154.23,True,True,False,False
084370,유진테크,KOSDAQ,2025-08-25,48750.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,168.92,205.95,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,112.31,34.87,-56.61,-171.08,True,False,False,True
085620,미래에셋생명,KOSPI,2025-06-16,6530.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,219.3,251.91,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,92.19,108.12,-127.11,-143.79,True,False,False,True
085660,차바이오텍,KOSDAQ,2026-01-05,14850.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-35.82,97.1,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-35.82,97.1,0.0,0.0,False,False,True,False
085910,네오티스,KOSDAQ,2025-11-17,4390.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,320.27,406.61,OPEN_AT_CUTOFF,,320.27,406.61,0.0,0.0,False,False,True,False
086280,현대글로비스,KOSPI,2024-09-23,119600.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,76.42,71.07,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,56.02,6.94,-20.4,-64.13,True,False,False,True
086390,유니테스트,KOSDAQ,2025-09-08,16940.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-37.25,77.16,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-37.25,77.16,0.0,0.0,False,False,True,False
086450,동국제약,KOSDAQ,2025-09-15,19300.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,2.18,59.74,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,2.18,59.74,0.0,0.0,False,False,True,False
086520,에코프로,KOSDAQ,2017-05-15,1928.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,115.87,99.85,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,115.87,99.85,0.0,0.0,False,False,True,False
086670,비엠티,KOSDAQ,2025-10-13,11610.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,41.69,49.52,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,35.06,56.15,-6.63,6.63,True,False,False,True
086790,하나금융지주,KOSPI,2023-01-09,48800.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,172.54,19.47,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,93.65,13.52,-78.89,-5.95,True,False,False,True
086820,바이오솔루션,KOSDAQ,2025-01-06,8265.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,-4.05,66.78,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,26.68,3.47,30.73,-63.31,True,True,False,False
088350,한화생명,KOSPI,2025-06-16,3295.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,70.86,58.58,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,70.86,58.58,0.0,0.0,False,False,True,False
089010,켐트로닉스,KOSDAQ,2025-03-17,32050.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-26.99,79.56,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-26.99,79.56,0.0,0.0,False,False,True,False
089030,테크윙,KOSDAQ,2025-09-15,43000.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,14.53,57.56,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,14.53,57.56,0.0,0.0,False,False,True,False
089470,HDC현대EP,KOSPI,2025-06-23,3970.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,1.76,64.49,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,1.76,64.49,0.0,0.0,False,False,True,False
089860,롯데렌탈,KOSPI,2024-08-05,28650.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,57.07,5.58,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,57.07,5.58,0.0,0.0,False,False,True,False
089890,코세스,KOSDAQ,2025-09-22,14780.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,61.03,186.74,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,72.87,47.7,11.84,-139.04,True,True,False,False
089970,브이엠,KOSDAQ,2025-03-24,10780.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,532.65,500.0,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,166.23,46.39,-366.42,-453.61,True,False,False,True
089980,상아프론테크,KOSDAQ,2026-04-20,24900.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-39.44,60.12,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-39.44,60.12,0.0,0.0,False,False,True,False
090360,로보스타,KOSDAQ,2025-02-10,28850.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,197.75,297.05,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,177.64,96.71,-20.11,-200.34,True,False,False,True
090430,아모레퍼시픽,KOSPI,2025-06-02,134100.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,1.19,24.84,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,1.19,24.84,0.0,0.0,False,False,True,False
090850,현대이지웰,KOSDAQ,2025-06-16,6500.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-19.23,31.54,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-19.23,31.54,0.0,0.0,False,False,True,False
091580,상신이디피,KOSDAQ,2025-12-15,14990.0,TRANSITION,SKIPPED_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,SKIPPED_EARLY_TREND_HANDOFF,21.95,88.52,OPEN_AT_CUTOFF,SKIPPED_EARLY_TREND_HANDOFF,21.95,88.52,0.0,0.0,False,False,True,False
091700,파트론,KOSDAQ,2025-12-15,7300.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-20.27,39.86,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-20.27,39.86,0.0,0.0,False,False,True,False
092070,디엔에프,KOSDAQ,2026-04-20,22550.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-37.03,52.33,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-37.03,52.33,0.0,0.0,False,False,True,False
092460,한라IMS,KOSDAQ,2025-01-20,8770.0,EARLY_TREND,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,110.95,41.62,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,110.95,41.62,0.0,0.0,False,False,True,False
092730,네오팜,KOSDAQ,2025-05-26,14730.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,64.63,11.88,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,64.63,11.88,0.0,0.0,False,False,True,False
093050,LF,KOSPI,2025-02-17,16490.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,38.87,21.53,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,37.05,23.35,-1.82,1.82,True,False,False,True
093190,빅솔론,KOSDAQ,2025-05-07,5200.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,73.46,16.35,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,73.46,16.35,0.0,0.0,False,False,True,False
093320,케이아이엔엑스,KOSDAQ,2025-07-21,92300.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,62.51,14.85,OPEN_AT_CUTOFF,,62.51,14.85,0.0,0.0,False,False,True,False
