ticker,isu_cd,market,first_common_date,last_common_date,canonical_adjusted_date_min,canonical_metadata_requested_start,raw_pre_boundary_present,raw_pre_boundary_first_date,raw_pre_boundary_last_date,raw_pre_boundary_session_count,corporate_action_detected,corporate_action_type,pre_boundary_identity,post_boundary_identity,ticker_code_continued,economic_identity_continued,identity_boundary_date,classification,authority_basis,authority_artifact,confidence_status
323350,KR7323350009,KOSDAQ,2024-06-11,2026-08-21,2024-06-11,2024-06-11,True,2021-08-17,2024-06-10,691,False,NONE,,다원넥스뷰,True,,2024-06-11,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
328380,KR7328380001,KOSDAQ,2022-08-22,2026-08-21,2022-08-22,2022-08-22,True,2021-08-17,2022-08-19,249,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,미래에셋대우기업인수목적3호,솔트웨어,True,False,2022-08-22,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
331380,KR7331380006,KOSDAQ,2021-10-27,2026-08-21,2021-10-27,2021-10-27,True,2021-08-17,2021-10-26,46,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,유진기업인수목적5호,포커스에이아이,True,False,2021-10-27,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
331520,KR7331520007,KOSDAQ,2022-10-31,2026-08-21,2022-10-31,2022-10-31,True,2021-08-17,2022-10-28,295,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,교보9호기업인수목적,밸로프,True,False,2022-10-31,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
332290,KR7332290006,KOSDAQ,2022-03-04,2026-08-21,2022-03-04,2022-03-04,True,2021-11-26,2022-03-03,65,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,대신밸런스제7호기업인수목적,누보,True,False,2022-03-04,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
333050,KR7333050003,KOSDAQ,2022-10-19,2026-08-21,2022-10-19,2022-10-19,True,2021-08-17,2022-10-18,287,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,신한제6호기업인수목적,이노테나,True,False,2022-10-19,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
335870,KR7335870002,KOSDAQ,2022-10-27,2026-08-21,2022-10-27,2022-10-27,True,2021-08-17,2022-10-26,234,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,아이비케이에스제12호기업인수목적,윙스풋,True,False,2022-10-27,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
336060,KR7336060009,KOSDAQ,2022-04-14,2026-08-21,2022-04-14,2022-04-14,True,2021-08-17,2022-04-13,161,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,유안타제5호기업인수목적,웨이버스,True,False,2022-04-14,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
340440,KR7340440007,KOSDAQ,2021-12-09,2026-08-21,2021-12-09,2021-12-09,True,2021-08-17,2021-12-08,77,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,한화플러스제1호기업인수목적,세림B&G,True,False,2021-12-09,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
344860,KR7344860002,KOSDAQ,2023-02-20,2026-08-21,2023-02-20,2023-02-20,True,2021-08-17,2023-02-17,359,False,NONE,,이노진,True,,2023-02-20,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
351320,KR7351320007,KOSDAQ,2021-12-09,2026-08-21,2021-12-09,2021-12-09,True,2021-08-17,2021-12-08,77,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,아이비케이에스제14호기업인수목적,넥사다이내믹스,True,False,2021-12-09,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
359090,KR7359090008,KOSDAQ,2021-12-17,2026-08-21,2021-12-17,2021-12-17,True,2021-08-17,2021-12-16,83,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,엔에이치기업인수목적17호,씨엔알리서치,True,False,2021-12-17,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
363260,KR7363260001,KOSDAQ,2022-06-08,2026-08-21,2022-06-08,2022-06-08,True,2021-08-17,2022-06-07,96,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,하나금융17호기업인수목적,모비데이즈,True,False,2022-06-08,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
365590,KR7365590009,KOSDAQ,2022-05-12,2026-08-21,2022-05-12,2022-05-12,True,2021-08-17,2022-05-11,180,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,엔에이치기업인수목적18호,하이딥,True,False,2022-05-12,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
368770,KR7368770004,KOSDAQ,2022-03-25,2026-08-21,2022-03-25,2022-03-25,True,2021-08-17,2022-03-24,90,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,한국제9호기업인수목적,파이버프로,True,False,2022-03-25,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
373200,KR7373200005,KOSDAQ,2022-01-20,2026-08-21,2022-01-20,2022-01-20,True,2021-08-17,2022-01-19,106,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,아이비케이에스제15호기업인수목적,엑스플러스,True,False,2022-01-20,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
388610,KR7388610008,KOSDAQ,2025-06-30,2026-08-21,2025-06-30,2025-06-30,True,2022-12-23,2025-06-27,611,False,NONE,,지에프씨생명과학,True,,2025-06-30,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
388790,KR7388790008,KOSDAQ,2023-02-14,2026-08-21,2023-02-14,2023-02-14,True,2021-09-03,2023-02-13,270,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,아이비케이에스제16호기업인수목적,라이콤,True,False,2023-02-14,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
391710,KR7391710001,KOSDAQ,2022-07-29,2026-08-21,2022-07-29,2022-07-29,True,2021-10-15,2022-07-28,116,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,엔에이치기업인수목적21호,코닉오토메이션,True,False,2022-07-29,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
393210,KR7393210000,KOSDAQ,2023-04-27,2026-08-21,2023-04-27,2023-04-27,True,2021-10-14,2023-04-26,381,False,NONE,,토마토시스템,True,,2023-04-27,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
408920,KR7408920007,KOSDAQ,2023-03-03,2026-08-21,2023-03-03,2023-03-03,True,2022-03-07,2023-03-02,166,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,에스케이증권에이씨피씨제7호기업인수목적,메쎄이상,True,False,2023-03-03,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
413630,KR7413630005,KOSDAQ,2024-06-27,2026-08-21,2024-06-27,2024-06-27,True,2022-03-31,2024-06-26,454,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,유진기업인수목적8호,씨피시스템,True,False,2024-06-27,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
424760,KR7424760007,KOSDAQ,2023-04-28,2026-08-21,2023-04-28,2023-04-28,True,2022-07-22,2023-04-27,191,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,아이비케이에스제18호기업인수목적,벨로크,True,False,2023-04-28,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
448900,KR7448900001,KOSDAQ,2025-04-04,2026-08-21,2025-04-04,2025-04-04,True,2023-08-30,2025-04-03,386,False,NONE,,한국피아이엠,True,,2025-04-04,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
