ticker,candidate_rank,rcept_no,report_nm,probe_request_id,source,evidence_origin,retrieval_mode,http_status,transport_response_sha256,archive_detected,extracted_member_sha256,canonical_raw_sha256,event_node_path,timing_node_path,binding_relationship,authority_valid,validation_reason
000100,1,20201211000171,주요사항보고서(무상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,1,20150701000257,증권발행실적보고서(합병등),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,2,20150429000983,[첨부정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,3,20150408000946,[첨부추가]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,4,20150507000707,[기재정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,5,20150429000975,[기재정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,6,20150422000072,[기재정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,7,20150417000063,[기재정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,8,20150408800127,회사합병결정,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,9,20150408000782,주요사항보고서(합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,10,20150429000895,[기재정정]주요사항보고서(합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,11,20150417800107,[기재정정]회사합병결정,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,12,20150417000042,[기재정정]주요사항보고서(합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,13,20150522000495,[발행조건확정]증권신고서(채무증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,14,20150519000303,[발행조건확정]증권신고서(채무증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,15,20150513004254,증권신고서(채무증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,16,20150521000093,[기재정정]증권신고서(채무증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
004020,17,20150519000296,[기재정정]증권신고서(채무증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
010130,1,20220819800347,유상증자또는주식관련사채등의발행결과(자율공시),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
010130,2,20220805000342,주요사항보고서(유상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
