window,layer,market,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median
P2-1,FILLED,KOSDAQ,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,7,17.0671,17.54,-14.025,38.865,57.1429,3,42.8571,1,14.2857,0,0.0,2,28.5714,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,84.4286,74.0,47.7214,51.47,-11.3157,-11.84,30.6543,21.64
P2-1,FILLED,KOSDAQ,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,1,-15.11,-15.11,-15.11,-15.11,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,39.0,39.0,1.11,1.11,-16.0,-16.0,16.22,16.22
P2-1,FILLED,KOSDAQ,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,3,-20.1867,-14.84,-23.02,-14.68,0.0,0,0.0,0,0.0,0,0.0,1,33.3333,1,33.3333,0,0.0,0,0.0,0,0.0,0.0,100.0,44.3333,30.0,12.4567,7.53,-22.7533,-15.87,32.6433,22.17
P2-1,FILLED,KOSDAQ,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,4,-18.9175,-14.975,-19.1325,-14.76,0.0,0,0.0,0,0.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0.0,100.0,43.0,34.5,9.62,7.43,-21.065,-15.935,28.5375,22.11
P2-1,FILLED,KOSDAQ,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,16,-17.1837,-15.735,-18.07,-14.41,0.0,0,0.0,0,0.0,0,0.0,10,62.5,1,6.25,0,0.0,0,0.0,0,0.0,0.0,100.0,68.5,22.0,15.9381,5.475,-19.2338,-17.77,33.1219,22.08
P2-2,ELIGIBLE,KOSPI,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,213,34.6344,7.56,-15.6,65.47,53.5211,76,35.6808,67,31.4554,32,15.0235,74,34.7418,2,0.939,2,0.939,1,0.4695,0,0.0,2.3474,97.6526,221.1643,121.0,72.5985,40.89,-13.8796,-14.84,37.964,23.61
P2-2,ELIGIBLE,KOSPI,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,21,-4.6148,-15.61,-19.96,-13.03,19.0476,3,14.2857,2,9.5238,1,4.7619,13,61.9048,2,9.5238,1,4.7619,1,4.7619,0,0.0,19.0476,80.9524,252.2857,69.0,31.3357,18.85,-21.2671,-17.22,35.9505,26.33
P2-2,ELIGIBLE,KOSPI,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,53,15.973,-13.35,-16.1,40.35,41.5094,16,30.1887,12,22.6415,4,7.5472,21,39.6226,0,0.0,0,0.0,0,0.0,0,0.0,16.9811,83.0189,261.8491,192.0,48.4875,28.74,-14.5374,-16.05,32.5145,25.41
P2-2,ELIGIBLE,KOSPI,ALL,COVERAGE_PATH_COMBINED,PRIMARY,74,10.1305,-14.61,-16.42,30.1975,35.1351,19,25.6757,14,18.9189,5,6.7568,34,45.9459,2,2.7027,1,1.3514,1,1.3514,0,0.0,17.5676,82.4324,259.1351,143.5,43.6201,22.505,-16.4472,-16.37,33.4896,25.53
P2-2,ELIGIBLE,KOSPI,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,103,-10.5904,-15.58,-16.56,-14.74,10.6796,3,2.9126,3,2.9126,0,0.0,71,68.932,0,0.0,0,0.0,0,0.0,0,0.0,13.5922,86.4078,121.3301,59.0,15.8276,9.9,-16.502,-16.83,26.418,21.9
