window,layer,market,version,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,tier,panel_favorable,loss_30_count,loss_50_count,deep_loss_generalizable
P2-1,ELIGIBLE,KOSDAQ,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,17,6,29.3082,-20.5117,49.8199,FAVORABLE,31.38,-19.26,50.64,FAVORABLE,29.4118,0.0,29.4118,FAVORABLE,5.8824,0.0,5.8824,FAVORABLE,0.0,16.6667,-16.6667,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,64.7059,52.9412,-26.4706,0.0,0.8627,0.3627,5,0,C_TOO_SMALL,True,5,0,False
P2-1,ELIGIBLE,KOSDAQ,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,7,6,-17.9929,-20.5117,2.5188,FAVORABLE,-16.89,-19.26,2.37,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,42.8571,16.6667,26.1904,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,14.2857,14.2857,35.7143,14.2857,0.3571,-0.1429,2,1,C_TOO_SMALL,False,5,0,False
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,17,10,29.3082,-13.018,42.3262,FAVORABLE,31.38,-15.805,47.185,FAVORABLE,29.4118,0.0,29.4118,FAVORABLE,5.8824,0.0,5.8824,FAVORABLE,0.0,10.0,-10.0,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,54.7059,42.9412,-36.4706,0.0,0.8,0.3,5,0,B_DESCRIPTIVE,True,2,0,False
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,17,4,29.3082,-1.7775,31.0857,FAVORABLE,31.38,-15.805,47.185,FAVORABLE,29.4118,0.0,29.4118,FAVORABLE,5.8824,0.0,5.8824,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,39.7059,27.9412,-51.4706,0.0,0.7059,0.2059,4,0,C_TOO_SMALL,True,2,0,False
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,17,6,29.3082,-20.5117,49.8199,FAVORABLE,31.38,-19.26,50.64,FAVORABLE,29.4118,0.0,29.4118,FAVORABLE,5.8824,0.0,5.8824,FAVORABLE,0.0,16.6667,-16.6667,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,64.7059,52.9412,-26.4706,0.0,0.8627,0.3627,5,0,C_TOO_SMALL,True,2,0,False
P2-1,ELIGIBLE,KOSDAQ,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,4,6,-1.7775,-20.5117,18.7342,FAVORABLE,-15.805,-19.26,3.455,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,16.6667,-16.6667,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,25.0,25.0,25.0,0.0,0.625,0.125,3,0,C_TOO_SMALL,False,2,0,False
P2-1,FILLED,KOSPI,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,48,28,25.9656,4.66,21.3056,FAVORABLE,14.155,-14.505,28.66,FAVORABLE,18.75,10.7143,8.0357,FAVORABLE,12.5,7.1429,5.3571,FAVORABLE,0.0,7.1429,-7.1429,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,28.869,1.4881,-13.6904,-3.5714,0.6287,0.1287,5,0,A_EVALUABLE,True,2,0,False
P2-1,FILLED,KOSPI,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,48,14,25.9656,3.5343,22.4313,FAVORABLE,14.155,-14.88,29.035,FAVORABLE,18.75,14.2857,4.4643,FAVORABLE,12.5,7.1429,5.3571,FAVORABLE,0.0,14.2857,-14.2857,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,28.869,1.4881,-20.8333,-7.1429,0.6473,0.1473,5,0,B_DESCRIPTIVE,True,2,0,False
P2-1,FILLED,KOSPI,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,48,14,25.9656,5.7857,20.1799,FAVORABLE,14.155,-14.295,28.45,FAVORABLE,18.75,7.1429,11.6071,FAVORABLE,12.5,7.1429,5.3571,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,28.869,1.4881,-6.5476,0.0,0.6101,0.1101,4,0,B_DESCRIPTIVE,True,2,0,False
P2-1,FILLED,KOSPI,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,14,14,3.5343,5.7857,-2.2514,UNFAVORABLE,-14.88,-14.295,-0.585,UNFAVORABLE,14.2857,7.1429,7.1428,FAVORABLE,7.1429,7.1429,0.0,TIE,14.2857,0.0,14.2857,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,14.2857,7.1429,0.4388,-0.0612,1,3,B_DESCRIPTIVE,False,2,0,False
