section,group,trade_count,v2_mean_return,v2_median_return,v3_mean_return,v3_median_return,paired_mean_delta,paired_median_delta,v2_mean_mae,v3_mean_mae,v2_median_holding,v3_median_holding,v2_open_count,v3_open_count,v2_open_rate,v3_open_rate,v2_ge_50_count,v3_ge_50_count,v2_ge_100_count,v3_ge_100_count,v2_mean_giveback,v2_median_giveback,v3_mean_giveback,v3_median_giveback,improved_count,worsened_count,same_count,v3_exit_reason_distribution,representative_rank,case_type,rank,ticker,name,market,control_trade_id,entry_execution_date,entry_open,v2_exit_category,v2_terminal_return,v3_exit_reason,v3_terminal_return,return_delta_v3_minus_v2,v2_giveback,v3_giveback,v2_holding_days,v3_holding_days
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,V2_GE_50_V3_LT_50,6.0,281820,케이씨텍,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_281820_KR7281820001_KOSPI_02,2025-10-20,38350.0,EXIT4,197.26,SOFT_EXIT,0.26,-197.0,6.26,20.08,172.0,26.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,V2_GE_50_V3_LT_50,7.0,047050,포스코인터내셔널,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_047050_KR7047050000_KOSPI_02,2023-04-17,27450.0,EXIT4,191.07,HARD_EXIT,0.91,-190.16,61.21,25.14,95.0,8.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,V2_GE_50_V3_LT_50,8.0,034020,두산에너빌리티,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034020_KR7034020008_KOSPI_03,2025-01-31,23500.0,EXIT4,188.51,SOFT_EXIT,5.32,-183.19,18.72,26.17,102.0,22.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,V2_GE_50_V3_LT_50,9.0,032190,다우데이타,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032190_KR7032190001_KOSDAQ_01,2022-10-31,15250.0,EXIT4,218.36,HARD_EXIT,40.0,-178.36,42.3,220.66,85.0,123.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,V2_GE_50_V3_LT_50,10.0,084370,유진테크,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_084370_KR7084370006_KOSDAQ_01,2023-09-11,36650.0,EXIT4,182.4,SOFT_EXIT,9.14,-173.26,46.39,12.14,581.0,17.0
DAMAGE_SET,V2_GE_100_V3_LT_100,48.0,,,,,-143.10875,-116.6,,,,,,,,,,,,,,,,,,,,"{""HARD_EXIT"": 14, ""SOFT_EXIT"": 34}",,,,,,,,,,,,,,,,,,
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,V2_GE_100_V3_LT_100,1.0,047040,대우건설,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_047040_KR7047040001_KOSPI_01,2026-01-26,5100.0,EXIT4,586.27,HARD_EXIT,68.63,-517.64,104.91,44.12,66.0,25.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,V2_GE_100_V3_LT_100,2.0,131290,티에스이,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_131290_KR7131290009_KOSDAQ_02,2025-10-13,52900.0,OPEN_AT_CUTOFF,319.66,SOFT_EXIT,17.2,-302.46,136.11,14.94,212.0,68.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,V2_GE_100_V3_LT_100,3.0,080220,제주반도체,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_080220_KR7080220007_KOSDAQ_01,2025-09-22,19250.0,OPEN_AT_CUTOFF,281.82,HARD_EXIT,-0.05,-281.87,335.06,25.5,222.0,31.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,V2_GE_100_V3_LT_100,4.0,307950,현대오토에버,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_307950_KR7307950006_KOSPI_01,2023-04-17,126000.0,EXIT4,288.89,SOFT_EXIT,15.08,-273.81,42.06,12.3,698.0,72.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,V2_GE_100_V3_LT_100,5.0,005930,삼성전자,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005930_KR7005930003_KOSPI_02,2025-09-01,68400.0,OPEN_AT_CUTOFF,311.55,SOFT_EXIT,42.98,-268.57,135.96,21.35,237.0,56.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,V2_GE_100_V3_LT_100,6.0,319660,피에스케이,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_319660_KR7319660007_KOSDAQ_03,2025-09-01,24000.0,EXIT4,250.0,HARD_EXIT,25.83,-224.17,23.33,46.67,141.0,56.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,V2_GE_100_V3_LT_100,7.0,281820,케이씨텍,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_281820_KR7281820001_KOSPI_02,2025-10-20,38350.0,EXIT4,197.26,SOFT_EXIT,0.26,-197.0,6.26,20.08,172.0,26.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,V2_GE_100_V3_LT_100,8.0,047050,포스코인터내셔널,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_047050_KR7047050000_KOSPI_02,2023-04-17,27450.0,EXIT4,191.07,HARD_EXIT,0.91,-190.16,61.21,25.14,95.0,8.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,V2_GE_100_V3_LT_100,9.0,034020,두산에너빌리티,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034020_KR7034020008_KOSPI_03,2025-01-31,23500.0,EXIT4,188.51,SOFT_EXIT,5.32,-183.19,18.72,26.17,102.0,22.0
DAMAGE_REPRESENTATIVE,V2_GE_100_V3_LT_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,V2_GE_100_V3_LT_100,10.0,032190,다우데이타,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032190_KR7032190001_KOSDAQ_01,2022-10-31,15250.0,EXIT4,218.36,HARD_EXIT,40.0,-178.36,42.3,220.66,85.0,123.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,1.0,095610,테스,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_095610_KR7095610002_KOSDAQ_02,2025-03-17,24000.0,LOSS_GUARD,-23.25,HARD_EXIT,486.67,509.92,25.54,398.75,16.0,322.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,2.0,006800,미래에셋증권,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_006800_KR7006800007_KOSPI_01,2024-02-19,8911.0,LOSS_GUARD,-16.65,HARD_EXIT,473.45,490.1,19.44,411.85,39.0,559.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,3.0,006800,미래에셋증권,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_006800_KR7006800007_KOSPI_02,2024-09-19,8752.0,EXIT4,112.51,HARD_EXIT,483.87,371.36,75.88,419.33,211.0,416.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,4.0,036930,주성엔지니어링,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036930_KR7036930006_KOSDAQ_01,2025-03-24,41950.0,LOSS_GUARD,-14.9,HARD_EXIT,297.85,312.75,16.69,276.76,12.0,308.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,5.0,298040,효성중공업,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_298040_KR7298040007_KOSPI_02,2022-12-05,80200.0,LOSS_GUARD,-15.71,HARD_EXIT,236.03,251.74,22.94,248.76,34.0,411.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,6.0,042660,한화오션,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_042660_KR7042660001_KOSPI_03,2024-11-11,37550.0,LOSS_GUARD,-17.71,SOFT_EXIT,208.12,225.83,27.03,104.13,21.0,369.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,7.0,267250,HD현대,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_267250_KR7267250009_KOSPI_01,2021-06-07,77000.0,LOSS_GUARD,-17.14,SOFT_EXIT,200.0,217.14,17.14,132.47,54.0,1234.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,8.0,174900,앱클론,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_174900_KR7174900001_KOSDAQ_01,2025-10-20,19490.0,EXIT3,0.82,HARD_EXIT,207.85,207.03,390.71,183.68,194.0,111.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,9.0,140410,메지온,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_140410_KR7140410002_KOSDAQ_04,2025-04-28,39200.0,OPEN_AT_CUTOFF,60.2,HARD_EXIT,222.96,162.76,298.73,135.97,321.0,206.0
IMPROVEMENT_REPRESENTATIVE,WINNER_CAPABLE_LARGEST_IMPROVEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,WINNER_CAPABLE_LARGEST_IMPROVEMENT,10.0,095340,ISC,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_095340_KR7095340006_KOSDAQ_01,2025-01-06,72000.0,LOSS_GUARD,-14.17,HARD_EXIT,146.25,160.42,26.25,160.0,18.0,345.0
