sample_id,ticker,name,reference_date,outcome_review_end,fast_trigger_event_sequence,fast_trigger_event_date,fast_score_at_event,pattern_a_status_at_fast_event,pattern_a_active_at_fast_event,pattern_a_prior_active_date,pattern_a_prior_candidate_event_date,pattern_a_next_candidate_event_date,pair_status,lead_weeks,censor_status
INV_OOS_B_005,000720,현대건설,2021-06-25,2022-07-01,1,2021-09-03,69.6,READY,False,2021-08-27,2021-04-30,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,NOT_CENSORED
INV_OOS_B_005,000720,현대건설,2021-06-25,2022-07-01,2,2021-09-17,69.6,READY,False,2021-08-27,2021-04-30,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,NOT_CENSORED
INV_OOS_B_008,200130,콜마비앤에이치,2023-12-22,2025-01-10,1,2024-06-21,59.56,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_023,125210,아모그린텍,2023-03-31,2024-05-03,1,2023-04-14,,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_018,033780,KT&G,2023-09-22,2024-10-18,1,2024-03-08,78.63,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_018,033780,KT&G,2023-09-22,2024-10-18,2,2024-08-09,71.87,READY,True,2024-08-02,,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_006,138040,메리츠금융지주,2025-06-27,2025-12-30,1,2025-08-22,71.05,READY,False,2023-10-27,,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,NOT_CENSORED
INV_OOS_B_016,256940,케이피에스,2022-12-23,2024-01-19,1,2023-02-17,,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_016,256940,케이피에스,2022-12-23,2024-01-19,2,2023-03-24,,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_022,010140,삼성중공업,2024-03-29,2025-03-28,1,2024-06-07,77.82,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_022,010140,삼성중공업,2024-03-29,2025-03-28,2,2024-06-28,77.82,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_022,010140,삼성중공업,2024-03-29,2025-03-28,3,2025-01-17,67.87,READY,False,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,RIGHT_CENSORED
INV_OOS_B_027,084370,유진테크,2024-12-27,2026-01-16,1,2025-08-22,76.04,READY,True,2025-08-08,2025-01-03,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_027,084370,유진테크,2024-12-27,2026-01-16,2,2025-09-12,77.99,READY,True,2025-09-05,2025-01-03,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_035,222080,씨아이에스,2025-03-28,2026-04-17,1,2026-01-30,53.42,READY,False,,,2026-02-06,FAST_EARLIER_PATTERN_A_LATER,1.0,NOT_CENSORED
INV_OOS_B_035,222080,씨아이에스,2025-03-28,2026-04-17,2,2026-02-20,72.17,READY,True,2026-02-13,2026-02-06,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_012,214320,이노션,2023-12-22,2025-01-10,1,2024-05-03,70.62,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_029,002350,넥센타이어,2024-06-28,2025-07-04,1,2025-05-30,59.56,READY,False,2024-11-29,,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,NOT_CENSORED
INV_OOS_B_013,119830,아이텍,2024-06-28,2025-07-04,1,2025-03-21,53.06,READY,False,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,RIGHT_CENSORED
INV_OOS_B_013,119830,아이텍,2024-06-28,2025-07-04,2,2025-05-09,60.82,READY,False,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,RIGHT_CENSORED
INV_OOS_B_013,119830,아이텍,2024-06-28,2025-07-04,3,2025-05-30,55.57,READY,False,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,RIGHT_CENSORED
INV_OOS_B_021,214150,클래시스,2021-06-25,2022-07-01,1,2021-07-09,80.07,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_001,178920,PI첨단소재,2023-06-30,2024-07-26,1,2024-07-19,71.57,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_026,101530,해태제과식품,2024-09-27,2025-10-17,1,2025-06-13,76.04,READY,True,2025-05-30,2025-04-11,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_026,101530,해태제과식품,2024-09-27,2025-10-17,2,2025-07-04,74.49,READY,True,2025-06-27,2025-04-11,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_015,079940,가비아,2024-12-27,2026-01-16,1,2025-04-18,75.07,READY,True,2025-04-11,2024-11-01,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_015,079940,가비아,2024-12-27,2026-01-16,2,2025-05-23,72.57,READY,True,2025-05-16,2024-11-01,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_025,028050,삼성엔지니어링,2022-03-25,2023-04-07,1,2023-02-17,74.49,READY,True,2023-02-10,2022-11-04,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_017,074600,원익QnC,2023-09-22,2024-10-18,1,2024-01-05,70.81,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_017,074600,원익QnC,2023-09-22,2024-10-18,2,2024-03-22,74.82,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_017,074600,원익QnC,2023-09-22,2024-10-18,3,2024-06-07,77.32,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
