signal_id,ticker,isu_cd,market,name,entry_signal_date,entry_execution_date,entry_open,shares,original_shares,cost_basis,full_exit_signal_date,full_exit_execution_date,full_exit_type,partial_profit_taken,partial_execution_date,partial_sale_price,partial_sold_shares,final_valuation_price,final_valuation_date
251970|KR7251970000|KOSDAQ|2023-07-28,251970,KR7251970000,KOSDAQ,펌텍코리아,2023-07-28,2023-07-31,25100.0,82,163,25100.0,2024-06-30,2024-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,True,2024-06-17,42450.0,81,44700.0,2024-07-01
145020|KR7145020004|KOSDAQ|2023-12-01,145020,KR7145020004,KOSDAQ,휴젤,2023-12-01,2023-12-04,154700.0,14,28,154700.0,2024-07-31,2024-08-05,EXIT4_SCORE_DRAWDOWN_GE_15,True,2024-06-24,248000.0,14,231500.0,2024-08-05
009450|KR7009450008|KOSPI|2024-03-22,009450,KR7009450008,KOSPI,경동나비엔,2024-03-22,2024-03-25,52800.0,47,94,52800.0,2024-10-31,2024-11-04,EXIT4_SCORE_DRAWDOWN_GE_15,True,2024-10-14,80400.0,47,89600.0,2024-11-04
064350|KR7064350002|KOSPI|2024-03-22,064350,KR7064350002,KOSPI,현대로템,2024-03-22,2024-03-25,33000.0,42,84,33000.0,2024-10-31,2024-11-04,EXIT4_SCORE_DRAWDOWN_GE_15,True,2024-08-19,54400.0,42,61800.0,2024-11-04
180640|KR7180640005|KOSPI|2023-11-24,180640,KR7180640005,KOSPI,한진칼,2023-11-24,2023-11-27,54100.0,41,81,54100.0,2024-11-30,2024-12-02,EXIT4_SCORE_DRAWDOWN_GE_15,True,2024-01-08,82600.0,40,81600.0,2024-12-02
280360|KR7280360009|KOSPI|2023-11-03,280360,KR7280360009,KOSPI,롯데웰푸드,2023-11-03,2023-11-06,117400.0,3,5,117400.0,2025-03-17,2025-03-24,FUNDAMENTAL_A_OPERATING_LOSS,True,2024-06-17,181100.0,2,123300.0,2025-03-24
033500|KR7033500000|KOSDAQ|2024-08-02,033500,KR7033500000,KOSDAQ,동성화인텍,2024-08-02,2024-08-05,12980.0,193,385,12980.0,2025-06-30,2025-07-07,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-01-31,21200.0,192,22550.0,2025-07-07
017960|KR7017960006|KOSPI|2024-08-16,017960,KR7017960006,KOSPI,한국카본,2024-08-16,2024-08-19,12360.0,202,404,12360.0,2025-08-31,2025-09-01,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-04-14,19430.0,202,33550.0,2025-09-01
002960|KR7002960003|KOSPI|2024-10-11,002960,KR7002960003,KOSPI,한국쉘석유,2024-10-11,2024-10-14,321000.0,6,12,321000.0,2025-09-30,2025-10-10,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-07-14,485500.0,6,413500.0,2025-10-10
007340|KR7007340003|KOSPI|2024-08-16,007340,KR7007340003,KOSPI,DN오토모티브,2024-08-16,2024-08-19,18607.0,134,268,18607.0,2025-10-31,2025-11-03,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-07-28,30800.0,134,23400.0,2025-11-03
084370|KR7084370006|KOSDAQ|2025-08-29,084370,KR7084370006,KOSDAQ,유진테크,2025-08-29,2025-09-01,46850.0,53,106,46850.0,2025-11-14,2025-11-17,FUNDAMENTAL_B_SHARP_DECLINE,True,2025-10-10,83100.0,53,91400.0,2025-11-17
006730|KR7006730006|KOSDAQ|2023-08-18,006730,KR7006730006,KOSDAQ,서부T&D,2023-08-18,2023-08-21,8211.0,304,608,8211.0,2025-11-30,2025-12-01,EXIT3_PROGRESSED_TO_TRANSITION,True,2025-11-24,13040.0,304,11380.0,2025-12-01
000240|KR7000240002|KOSPI|2024-09-13,000240,KR7000240002,KOSPI,한국앤컴퍼니,2024-09-13,2024-09-19,18000.0,2,4,18000.0,2025-11-30,2025-12-01,EXIT3_PROGRESSED_TO_EARLY_TREND,True,2025-11-17,27350.0,2,29850.0,2025-12-01
095610|KR7095610002|KOSDAQ|2025-03-14,095610,KR7095610002,KOSDAQ,테스,2025-03-14,2025-03-17,24000.0,34,67,24000.0,2025-11-30,2025-12-01,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-09-15,41850.0,33,40450.0,2025-12-01
102710|KR7102710001|KOSDAQ|2025-03-21,102710,KR7102710001,KOSDAQ,이엔에프테크놀로지,2025-03-21,2025-03-24,26750.0,51,101,26750.0,2025-11-30,2025-12-01,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-07-14,40450.0,50,46100.0,2025-12-01
001440|KR7001440007|KOSPI|2024-05-10,001440,KR7001440007,KOSPI,대한전선,2024-05-10,2024-05-13,15000.0,167,333,15000.0,2026-01-31,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-11-03,25200.0,166,28700.0,2026-02-02
082920|KR7082920000|KOSDAQ|2025-01-03,082920,KR7082920000,KOSDAQ,비츠로셀,2025-01-03,2025-01-06,11986.0,209,417,11986.0,2026-01-31,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-12-22,19440.0,208,20650.0,2026-02-02
240810|KR7240810002|KOSDAQ|2025-08-22,240810,KR7240810002,KOSDAQ,원익IPS,2025-08-22,2025-08-25,41300.0,61,121,41300.0,2026-01-31,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-11-03,63100.0,60,107500.0,2026-02-02
307950|KR7307950006|KOSPI|2025-08-29,307950,KR7307950006,KOSPI,현대오토에버,2025-08-29,2025-09-01,174300.0,5,10,174300.0,2026-02-28,2026-03-03,EXIT4_SCORE_DRAWDOWN_GE_15,True,2025-12-08,298000.0,5,490000.0,2026-03-03
000990|KR7000990002|KOSPI|2025-10-10,000990,KR7000990002,KOSPI,DB하이텍,2025-10-10,2025-10-13,56500.0,44,88,56500.0,2026-02-28,2026-03-03,EXIT4_SCORE_DRAWDOWN_GE_15,True,2026-01-19,83600.0,44,93600.0,2026-03-03
252990|KR7252990007|KOSDAQ|2025-10-10,252990,KR7252990007,KOSDAQ,샘씨엔에스,2025-10-10,2025-10-13,7170.0,1,2,7170.0,2026-03-16,2026-03-23,FUNDAMENTAL_A_OPERATING_LOSS,True,2026-02-19,11610.0,1,10080.0,2026-03-23
004170|KR7004170007|KOSPI|2025-11-14,004170,KR7004170007,KOSPI,신세계,2025-11-14,2025-11-17,215000.0,12,23,215000.0,2026-04-30,2026-05-04,EXIT4_SCORE_DRAWDOWN_GE_15,True,2026-02-09,332500.0,11,423000.0,2026-05-04
033240|KR7033240003|KOSPI|2026-01-02,033240,KR7033240003,KOSPI,자화전자,2026-01-02,2026-01-05,27100.0,92,184,27100.0,2026-04-30,2026-05-04,EXIT4_SCORE_DRAWDOWN_GE_15,True,2026-02-19,41150.0,92,49200.0,2026-05-04
281820|KR7281820001|KOSPI|2025-10-31,281820,KR7281820001,KOSPI,케이씨텍,2025-10-31,2025-11-03,38000.0,50,99,38000.0,2026-06-30,2026-07-06,EXIT4_SCORE_DRAWDOWN_GE_15,True,2026-04-27,60700.0,49,107300.0,2026-07-06
041830|KR7041830001|KOSDAQ|2021-08-27,041830,KR7041830001,KOSDAQ,인바디,2021-08-27,2021-08-30,29800.0,84,167,29800.0,2026-07-31,2026-08-03,EXIT4_SCORE_DRAWDOWN_GE_15,True,2026-05-18,42650.0,83,46950.0,2026-08-03
033780|KR7033780008|KOSPI|2024-08-16,033780,KR7033780008,KOSPI,KT&G,2024-08-16,2024-08-19,98500.0,25,50,98500.0,2026-07-31,2026-08-03,EXIT4_SCORE_DRAWDOWN_GE_15,True,2026-02-02,155500.0,25,175600.0,2026-08-03
001800|KR7001800002|KOSPI|2022-08-19,001800,KR7001800002,KOSPI,오리온홀딩스,2022-08-19,2022-08-22,15450.0,5,9,15450.0,,,NO_EXIT_BEFORE_CUTOFF,True,2025-07-14,24900.0,4,25500.0,2026-08-21
207940|KR7207940008|KOSPI|2024-03-08,207940,KR7207940008,KOSPI,삼성바이오로직스,2024-03-08,2024-03-11,1239208.0,2,4,1239208.0,,,NO_EXIT_BEFORE_CUTOFF,True,2026-01-12,1899000.0,2,1551000.0,2026-08-21
095340|KR7095340006|KOSDAQ|2025-01-03,095340,KR7095340006,KOSDAQ,ISC,2025-01-03,2025-01-06,72000.0,35,69,72000.0,,,NO_EXIT_BEFORE_CUTOFF,True,2025-12-01,111200.0,34,154300.0,2026-08-21
131290|KR7131290009|KOSDAQ|2025-10-10,131290,KR7131290009,KOSDAQ,티에스이,2025-10-10,2025-10-13,52900.0,18,36,52900.0,,,NO_EXIT_BEFORE_CUTOFF,True,2026-02-09,94000.0,18,222000.0,2026-08-21
241710|KR7241710003|KOSDAQ|2025-11-28,241710,KR7241710003,KOSDAQ,코스메카코리아,2025-11-28,2025-12-01,74700.0,33,66,74700.0,,,NO_PROGRESSED_BEFORE_CUTOFF,True,2026-08-18,126000.0,33,137300.0,2026-08-21
003000|KR7003000007|KOSPI|2026-03-20,003000,KR7003000007,KOSPI,부광약품,2026-03-20,2026-03-23,5750.0,435,869,5750.0,,,NO_PROGRESSED_BEFORE_CUTOFF,True,2026-03-30,9150.0,434,4130.0,2026-08-21
