portfolio,signal_id,ticker,isu_cd,market,name,signal_date,scheduled_execution_date,fast_score,pattern_score,ranking,execution_result
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_060980_KR7060980000_KOSPI_01,060980,KR7060980000,KOSPI,HL홀딩스,2021-09-17,2021-09-23,74.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_145990_KR7145990008_KOSPI_01,145990,KR7145990008,KOSPI,삼양사,2021-09-17,2021-09-23,74.99,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_012510_KR7012510004_KOSPI_01,012510,KR7012510004,KOSPI,더존비즈온,2021-09-17,2021-09-23,72.04,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_119610_KR7119610004_KOSDAQ_01,119610,KR7119610004,KOSDAQ,인터로조,2021-10-01,2021-10-05,82.05,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_082920_KR7082920000_KOSDAQ_01,082920,KR7082920000,KOSDAQ,비츠로셀,2021-10-22,2021-10-25,77.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_181710_KR7181710005_KOSPI_01,181710,KR7181710005,KOSPI,NHN,2021-11-19,2021-11-22,79.94,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_090460_KR7090460007_KOSDAQ_01,090460,KR7090460007,KOSDAQ,비에이치,2021-12-24,2021-12-27,78.49,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_077500_KR7077500007_KOSPI_01,077500,KR7077500007,KOSPI,유니퀘스트,2022-01-07,2022-01-10,70.29,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_100130_KR7100130004_KOSDAQ_01,100130,KR7100130004,KOSDAQ,동국S&C,2022-01-21,2022-01-24,74.49,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_001820_KR7001820000_KOSPI_01,001820,KR7001820000,KOSPI,삼화콘덴서,2022-01-21,2022-01-24,71.49,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_053610_KR7053610002_KOSDAQ_01,053610,KR7053610002,KOSDAQ,프로텍,2022-01-28,2022-02-03,66.24,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000660_KR7000660001_KOSPI_01,000660,KR7000660001,KOSPI,SK하이닉스,2022-03-04,2022-03-07,73.04,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_005610_KR7005610001_KOSPI_01,005610,KR7005610001,KOSPI,삼립,2022-03-18,2022-03-21,75.74,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_056190_KR7056190002_KOSDAQ_01,056190,KR7056190002,KOSDAQ,SFA,2022-03-25,2022-03-28,76.85,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_069620_KR7069620003_KOSPI_01,069620,KR7069620003,KOSPI,대웅제약,2022-03-25,2022-03-28,71.99,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_001060_KR7001060003_KOSPI_01,001060,KR7001060003,KOSPI,JW중외제약,2022-03-25,2022-03-28,70.99,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_039440_KR7039440003_KOSDAQ_01,039440,KR7039440003,KOSDAQ,에스티아이,2022-03-25,2022-03-28,62.04,,4,EXECUTED
