portfolio,execution_date,event_type,ticker,name,signal_date,signal_type,open_price,shares_before,shares_delta,shares_after,cash_before,cash_delta,cash_after,position_cost_basis,realized_pnl,realized_return,partial_profit_taken,portfolio_equity_after_execution
PORTFOLIO_A_NO_PARTIAL_PROFIT,2021-12-06,FULL_EXIT,034810,해성산업,2021-11-30,EXIT4_SCORE_DRAWDOWN_GE_15,13800.0,318,-318,0,44402865.0,4388400.0,48791265.0,15723.0,-611514.0,-12.23049,False,177572741.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2021-12-06,FULL_EXIT,009450,경동나비엔,2021-11-30,EXIT4_SCORE_DRAWDOWN_GE_15,55700.0,80,-80,0,48791265.0,4456000.0,53247265.0,62500.0,-544000.0,-10.88,False,177572741.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2021-12-06,FULL_EXIT,060980,HL홀딩스,2021-11-30,EXIT4_SCORE_DRAWDOWN_GE_15,45250.0,88,-88,0,53247265.0,3982000.0,57229265.0,56700.0,-1007600.0,-20.194004,False,177572741.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2021-12-27,ENTRY,090460,비에이치,2021-12-24,ABC_FASTCORE_ENTRY,23300.0,0,214,214,57229265.0,-4986200.0,52243065.0,23300.0,0.0,0.0,False,180249762.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-01-10,ENTRY,077500,유니퀘스트,2022-01-07,ABC_FASTCORE_ENTRY,6250.0,0,800,800,52243065.0,-5000000.0,47243065.0,6250.0,0.0,0.0,False,178075483.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-01-24,ENTRY,100130,동국S&C,2022-01-21,ABC_FASTCORE_ENTRY,6670.0,0,749,749,47243065.0,-4995830.0,42247235.0,6670.0,0.0,0.0,False,171794465.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-01-24,ENTRY,001820,삼화콘덴서,2022-01-21,ABC_FASTCORE_ENTRY,65600.0,0,76,76,42247235.0,-4985600.0,37261635.0,65600.0,0.0,0.0,False,171794465.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-02-03,ENTRY,053610,프로텍,2022-01-28,ABC_FASTCORE_ENTRY,34000.0,0,147,147,37261635.0,-4998000.0,32263635.0,34000.0,0.0,0.0,False,168094445.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-02-07,FULL_EXIT,033290,로젠,2022-01-31,EXIT4_SCORE_DRAWDOWN_GE_15,7374.0,903,-903,0,32263635.0,6658722.0,38922357.0,5534.0,1661520.0,33.249006,False,171352529.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-02-07,FULL_EXIT,145990,삼양사,2022-01-31,EXIT3_PROGRESSED_TO_TRANSITION,64000.0,64,-64,0,38922357.0,4096000.0,43018357.0,77000.0,-832000.0,-16.883117,False,171352529.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-07,ENTRY,000660,SK하이닉스,2022-03-04,ABC_FASTCORE_ENTRY,119000.0,0,42,42,43018357.0,-4998000.0,38020357.0,119000.0,0.0,0.0,False,170243806.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-21,FULL_EXIT,100130,동국S&C,2022-03-14,FUNDAMENTAL_A_OPERATING_LOSS,5620.0,749,-749,0,38020357.0,4209380.0,42229737.0,6670.0,-786450.0,-15.742129,False,171649893.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-21,ENTRY,005610,삼립,2022-03-18,ABC_FASTCORE_ENTRY,96700.0,0,51,51,42229737.0,-4931700.0,37298037.0,96700.0,0.0,0.0,False,171649893.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-28,FULL_EXIT,051600,한전KPS,2022-03-21,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,42350.0,120,-120,0,37298037.0,5082000.0,42380037.0,41500.0,102000.0,2.048193,False,173565659.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-28,FULL_EXIT,284740,쿠쿠홈시스,2022-03-22,FUNDAMENTAL_A_OPERATING_LOSS,35200.0,97,-97,0,42380037.0,3414400.0,45794437.0,51400.0,-1571400.0,-31.51751,False,173565659.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-28,ENTRY,056190,SFA,2022-03-25,ABC_FASTCORE_ENTRY,40500.0,0,123,123,45794437.0,-4981500.0,40812937.0,40500.0,0.0,0.0,False,173565659.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-28,ENTRY,069620,대웅제약,2022-03-25,ABC_FASTCORE_ENTRY,166500.0,0,30,30,40812937.0,-4995000.0,35817937.0,166500.0,0.0,0.0,False,173565659.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-28,ENTRY,001060,JW중외제약,2022-03-25,ABC_FASTCORE_ENTRY,27624.0,0,181,181,35817937.0,-4999944.0,30817993.0,27624.0,0.0,0.0,False,173565659.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-03-28,ENTRY,039440,에스티아이,2022-03-25,ABC_FASTCORE_ENTRY,19500.0,0,256,256,30817993.0,-4992000.0,25825993.0,19500.0,0.0,0.0,False,173565659.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-04-04,ENTRY,001130,대한제분,2022-04-01,ABC_FASTCORE_ENTRY,18500.0,0,270,270,25825993.0,-4995000.0,20830993.0,18500.0,0.0,0.0,False,173116513.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-04-04,ENTRY,010780,아이에스동서,2022-04-01,ABC_FASTCORE_ENTRY,55200.0,0,90,90,20830993.0,-4968000.0,15862993.0,55200.0,0.0,0.0,False,173116513.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-04-04,ENTRY,115960,연우,2022-04-01,ABC_FASTCORE_ENTRY,27450.0,0,182,182,15862993.0,-4995900.0,10867093.0,27450.0,0.0,0.0,False,173116513.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-04-18,ENTRY,086280,현대글로비스,2022-04-15,ABC_FASTCORE_ENTRY,98038.0,0,51,51,10867093.0,-4999938.0,5867155.0,98038.0,0.0,0.0,False,172029420.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-04-25,ENTRY,003230,삼양식품,2022-04-22,ABC_FASTCORE_ENTRY,104500.0,0,47,47,5867155.0,-4911500.0,955655.0,104500.0,0.0,0.0,False,173592042.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-04-25,ENTRY,030000,제일기획,2022-04-22,ABC_FASTCORE_ENTRY,25050.0,0,38,38,955655.0,-951900.0,3755.0,25050.0,0.0,0.0,False,173592042.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-16,FULL_EXIT,039440,에스티아이,2022-05-12,FUNDAMENTAL_B_SHARP_DECLINE,20950.0,256,-256,0,3755.0,5363200.0,5366955.0,19500.0,371200.0,7.435897,False,165995729.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-16,ENTRY,104830,원익머트리얼즈,2022-05-13,ABC_FASTCORE_ENTRY,40900.0,0,122,122,5366955.0,-4989800.0,377155.0,40900.0,0.0,0.0,False,165995729.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-16,ENTRY,282330,BGF리테일,2022-05-13,ABC_FASTCORE_ENTRY,198500.0,0,1,1,377155.0,-198500.0,178655.0,198500.0,0.0,0.0,False,165995729.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-16,ENTRY,004990,롯데지주,2022-05-13,ABC_FASTCORE_ENTRY,35000.0,0,5,5,178655.0,-175000.0,3655.0,35000.0,0.0,0.0,False,165995729.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-23,FULL_EXIT,012510,더존비즈온,2022-05-16,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,38400.0,46,-46,0,3655.0,1766400.0,1770055.0,107500.0,-3178600.0,-64.27907,False,163993381.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-23,FULL_EXIT,090460,비에이치,2022-05-16,FUNDAMENTAL_A_OPERATING_LOSS,28700.0,214,-214,0,1770055.0,6141800.0,7911855.0,23300.0,1155600.0,23.175966,False,163993381.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-23,FULL_EXIT,003230,삼양식품,2022-05-16,FUNDAMENTAL_B_SHARP_DECLINE,92500.0,47,-47,0,7911855.0,4347500.0,12259355.0,104500.0,-564000.0,-11.483254,False,163993381.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-23,ENTRY,069260,TKG휴켐스,2022-05-20,ABC_FASTCORE_ENTRY,25450.0,0,196,196,12259355.0,-4988200.0,7271155.0,25450.0,0.0,0.0,False,163993381.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-23,ENTRY,009970,영원무역홀딩스,2022-05-20,ABC_FASTCORE_ENTRY,54500.0,0,91,91,7271155.0,-4959500.0,2311655.0,54500.0,0.0,0.0,False,163993381.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-05-23,ENTRY,128940,한미약품,2022-05-20,ABC_FASTCORE_ENTRY,291474.0,0,7,7,2311655.0,-2040318.0,271337.0,291474.0,0.0,0.0,False,163993381.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-06-07,ENTRY,069960,현대백화점,2022-06-03,ABC_FASTCORE_ENTRY,80200.0,0,3,3,271337.0,-240600.0,30737.0,80200.0,0.0,0.0,False,164854714.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-08,ENTRY,100090,SK오션플랜트,2022-08-05,ABC_FASTCORE_ENTRY,25750.0,0,1,1,30737.0,-25750.0,4987.0,25750.0,0.0,0.0,False,151752155.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-16,FULL_EXIT,056190,SFA,2022-08-12,FUNDAMENTAL_B_SHARP_DECLINE,43200.0,123,-123,0,4987.0,5313600.0,5318587.0,40500.0,332100.0,6.666667,False,154452809.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-16,ENTRY,009830,한화솔루션,2022-08-12,ABC_FASTCORE_ENTRY,55367.0,0,90,90,5318587.0,-4983030.0,335557.0,55367.0,0.0,0.0,False,154452809.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-22,FULL_EXIT,115390,락앤락,2022-08-16,FUNDAMENTAL_A_OPERATING_LOSS,8157.0,321,-321,0,335557.0,2618397.0,2953954.0,15529.0,-2366412.0,-47.472471,False,150108810.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-22,FULL_EXIT,017800,현대엘리베이터,2022-08-16,FUNDAMENTAL_A_OPERATING_LOSS,28300.0,97,-97,0,2953954.0,2745100.0,5699054.0,51400.0,-2240700.0,-44.941634,False,150108810.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-22,FULL_EXIT,115960,연우,2022-08-16,FUNDAMENTAL_B_SHARP_DECLINE,17100.0,182,-182,0,5699054.0,3112200.0,8811254.0,27450.0,-1883700.0,-37.704918,False,150108810.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-22,ENTRY,003670,포스코퓨처엠,2022-08-19,ABC_FASTCORE_ENTRY,149274.0,0,33,33,8811254.0,-4926042.0,3885212.0,149274.0,0.0,0.0,False,150108810.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-08-22,ENTRY,001800,오리온홀딩스,2022-08-19,ABC_FASTCORE_ENTRY,15450.0,0,251,251,3885212.0,-3877950.0,7262.0,15450.0,0.0,0.0,False,150108810.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-11-21,FULL_EXIT,001820,삼화콘덴서,2022-11-14,FUNDAMENTAL_B_SHARP_DECLINE,38900.0,76,-76,0,7262.0,2956400.0,2963662.0,65600.0,-2029200.0,-40.70122,False,142864715.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2022-11-21,ENTRY,079370,제우스,2022-11-18,ABC_FASTCORE_ENTRY,10782.0,0,274,274,2963662.0,-2954268.0,9394.0,10782.0,0.0,0.0,False,142864715.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-01-16,ENTRY,082920,비츠로셀,2023-01-13,ABC_FASTCORE_ENTRY,7847.0,0,1,1,9394.0,-7847.0,1547.0,7847.0,0.0,0.0,False,142905048.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-03-20,FULL_EXIT,000050,경방,2023-03-17,FUNDAMENTAL_B_SHARP_DECLINE,10560.0,326,-326,0,1547.0,3442560.0,3444107.0,15300.0,-1545240.0,-30.980392,False,142436816.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-03-20,ENTRY,004380,삼익THK,2023-03-17,ABC_FASTCORE_ENTRY,20491.0,0,168,168,3444107.0,-3442488.0,1619.0,20491.0,0.0,0.0,False,142436816.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-03-27,FULL_EXIT,072710,농심홀딩스,2023-03-21,FUNDAMENTAL_B_SHARP_DECLINE,66000.0,57,-57,0,1619.0,3762000.0,3763619.0,87700.0,-1236900.0,-24.743444,False,144563514.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-03-27,FULL_EXIT,000660,SK하이닉스,2023-03-21,FUNDAMENTAL_A_OPERATING_LOSS,87500.0,42,-42,0,3763619.0,3675000.0,7438619.0,119000.0,-1323000.0,-26.470588,False,144563514.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-03-27,FULL_EXIT,010780,아이에스동서,2023-03-23,FUNDAMENTAL_B_SHARP_DECLINE,42600.0,90,-90,0,7438619.0,3834000.0,11272619.0,55200.0,-1134000.0,-22.826087,False,144563514.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-03-27,FULL_EXIT,004990,롯데지주,2023-03-23,FUNDAMENTAL_A_OPERATING_LOSS,28150.0,5,-5,0,11272619.0,140750.0,11413369.0,35000.0,-34250.0,-19.571429,False,144563514.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-04-03,ENTRY,000270,기아,2023-03-31,ABC_FASTCORE_ENTRY,81500.0,0,61,61,11413369.0,-4971500.0,6441869.0,81500.0,0.0,0.0,False,147616833.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-04-03,ENTRY,015750,성우하이텍,2023-03-31,ABC_FASTCORE_ENTRY,7410.0,0,674,674,6441869.0,-4994340.0,1447529.0,7410.0,0.0,0.0,False,147616833.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-04-03,ENTRY,086900,메디톡스,2023-03-31,ABC_FASTCORE_ENTRY,220000.0,0,6,6,1447529.0,-1320000.0,127529.0,220000.0,0.0,0.0,False,147616833.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-04-03,ENTRY,195870,해성디에스,2023-03-31,ABC_FASTCORE_ENTRY,52800.0,0,2,2,127529.0,-105600.0,21929.0,52800.0,0.0,0.0,False,147616833.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-04-10,ENTRY,007340,DN오토모티브,2023-04-07,ABC_FASTCORE_ENTRY,15662.0,0,1,1,21929.0,-15662.0,6267.0,15662.0,0.0,0.0,False,148554487.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-05-15,FULL_EXIT,082920,비츠로셀,2023-05-12,FUNDAMENTAL_B_SHARP_DECLINE,8826.0,1,-1,0,6267.0,8826.0,15093.0,7847.0,979.0,12.476106,False,148073437.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-05-22,FULL_EXIT,057050,현대홈쇼핑,2023-05-15,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,49500.0,53,-53,0,15093.0,2623500.0,2638593.0,93000.0,-2305500.0,-46.774194,False,149799379.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-05-22,FULL_EXIT,003800,에이스침대,2023-05-15,FUNDAMENTAL_B_SHARP_DECLINE,31550.0,103,-103,0,2638593.0,3249650.0,5888243.0,48250.0,-1720100.0,-34.611399,False,149799379.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-05-22,FULL_EXIT,053610,프로텍,2023-05-15,FUNDAMENTAL_B_SHARP_DECLINE,25450.0,147,-147,0,5888243.0,3741150.0,9629393.0,34000.0,-1256850.0,-25.147059,False,149799379.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-05-22,ENTRY,200670,휴메딕스,2023-05-19,ABC_FASTCORE_ENTRY,30750.0,0,162,162,9629393.0,-4981500.0,4647893.0,30750.0,0.0,0.0,False,149799379.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-06-05,FULL_EXIT,003670,포스코퓨처엠,2023-05-31,EXIT4_SCORE_DRAWDOWN_GE_15,368823.0,33,-33,0,4647893.0,12171159.0,16819052.0,149274.0,7245117.0,147.077857,False,153076775.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-06-05,ENTRY,017940,E1,2023-06-02,ABC_FASTCORE_ENTRY,50700.0,0,98,98,16819052.0,-4968600.0,11850452.0,50700.0,0.0,0.0,False,153076775.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-06-05,ENTRY,000100,유한양행,2023-06-02,ABC_FASTCORE_ENTRY,58955.0,0,84,84,11850452.0,-4952220.0,6898232.0,58955.0,0.0,0.0,False,153076775.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-06-05,ENTRY,037270,YG PLUS,2023-06-02,ABC_FASTCORE_ENTRY,6570.0,0,761,761,6898232.0,-4999770.0,1898462.0,6570.0,0.0,0.0,False,153076775.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-06-05,ENTRY,112610,씨에스윈드,2023-06-02,ABC_FASTCORE_ENTRY,82300.0,0,23,23,1898462.0,-1892900.0,5562.0,82300.0,0.0,0.0,False,153076775.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-07,FULL_EXIT,015750,성우하이텍,2023-07-31,EXIT4_SCORE_DRAWDOWN_GE_15,11300.0,674,-674,0,5562.0,7616200.0,7621762.0,7410.0,2621860.0,52.496626,False,159008376.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-07,FULL_EXIT,086900,메디톡스,2023-07-31,EXIT4_SCORE_DRAWDOWN_GE_15,203000.0,6,-6,0,7621762.0,1218000.0,8839762.0,220000.0,-102000.0,-7.727273,False,159008376.0
