ticker,name,market,total_trades,first_entry_date,last_exit_date,last_trade_status,sequential_cumulative_return_pct,loss_guard_count,positive_trade_count,win_rate_pct,trade_ids
005940,NH투자증권,KOSPI,4,2017-05-02,2025-05-02,REALIZED,3.64,2,2,50.0,"005940_01,005940_02,005940_03,005940_04"
005960,동부건설,KOSPI,2,2025-09-15,2026-05-04,REALIZED,2.04,1,1,50.0,"005960_01,005960_02"
006040,동원산업,KOSPI,1,2025-01-06,2026-03-03,REALIZED,16.67,0,1,100.0,006040_01
006120,SK디스커버리,KOSPI,1,2025-04-28,2026-03-03,REALIZED,46.84,0,1,100.0,006120_01
006260,LS,KOSPI,3,2018-05-21,2025-12-01,REALIZED,5.41,1,2,66.67,"006260_01,006260_02,006260_03"
006280,녹십자,KOSPI,2,2024-10-21,2026-05-12,REALIZED,-29.95,2,0,0.0,"006280_01,006280_02"
006340,대원전선,KOSPI,1,2025-11-03,2026-05-04,REALIZED,328.24,0,1,100.0,006340_01
006360,GS건설,KOSPI,5,2017-07-24,,OPEN_AT_CUTOFF,64.83,2,3,60.0,"006360_01,006360_02,006360_03,006360_04,006360_05"
006650,대한유화,KOSPI,1,2025-09-01,2026-06-01,REALIZED,2.87,0,1,100.0,006650_01
006730,서부T&D,KOSDAQ,1,2025-06-02,2025-12-01,REALIZED,42.79,0,1,100.0,006730_01
006800,미래에셋증권,KOSPI,1,2024-09-19,2025-08-01,REALIZED,112.51,0,1,100.0,006800_01
006910,보성파워텍,KOSDAQ,1,2025-08-25,2026-02-02,REALIZED,83.82,0,1,100.0,006910_01
007070,GS리테일,KOSPI,2,2025-11-17,,OPEN_AT_CUTOFF,-14.28,1,0,0.0,"007070_01,007070_02"
007160,사조산업,KOSPI,2,2024-08-12,2026-06-09,REALIZED,-31.14,2,0,0.0,"007160_01,007160_02"
007340,DN오토모티브,KOSPI,1,2024-08-19,2025-11-03,REALIZED,25.76,0,1,100.0,007340_01
007660,이수페타시스,KOSPI,1,2025-06-16,2025-11-03,REALIZED,161.84,0,1,100.0,007660_01
007690,국도화학,KOSPI,2,2025-07-21,2026-05-19,REALIZED,-30.6,2,0,0.0,"007690_01,007690_02"
007810,코리아써키트,KOSPI,1,2025-10-13,,OPEN_AT_CUTOFF,234.75,0,1,100.0,007810_01
008060,대덕,KOSPI,1,2024-12-02,2026-03-03,REALIZED,77.61,0,1,100.0,008060_01
008730,율촌화학,KOSPI,1,2025-02-17,2025-02-26,REALIZED,-15.64,1,0,0.0,008730_01
008770,호텔신라,KOSPI,1,2026-04-27,2026-05-28,REALIZED,-15.85,1,0,0.0,008770_01
008930,한미사이언스,KOSPI,2,2025-06-23,2026-03-05,REALIZED,-32.58,2,0,0.0,"008930_01,008930_02"
009070,KCTC,KOSPI,1,2025-07-07,2025-11-18,REALIZED,-16.17,1,0,0.0,009070_01
009150,삼성전기,KOSPI,3,2019-12-16,2026-02-02,REALIZED,61.26,1,2,66.67,"009150_01,009150_02,009150_03"
009160,SIMPAC,KOSPI,1,2025-06-02,2026-06-24,REALIZED,-19.69,1,0,0.0,009160_01
