market,sector_code,internal_sector_name,official_idx_name,source_api,mapping_status,common_date_count,date,pykrx_open,pykrx_high,pykrx_low,pykrx_close,krx_open,krx_high,krx_low,krx_close,open_match,high_match,low_match,close_match
KOSPI,1016,유통,유통,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,629.54,631.11,618.36,629.58,629.54,631.11,618.36,629.58,True,True,True,True
KOSPI,1016,유통,유통,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,610.44,624.33,600.53,621.15,610.44,624.33,600.53,621.15,True,True,True,True
KOSPI,1016,유통,유통,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,616.55,641.7,611.26,638.03,616.55,641.70,611.26,638.03,True,True,True,True
KOSPI,1017,전기·가스,전기·가스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,1079.33,1123.81,1079.33,1090.93,1079.33,1123.81,1079.33,1090.93,True,True,True,True
KOSPI,1017,전기·가스,전기·가스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,1048.46,1075.16,1038.16,1069.15,1048.46,1075.16,1038.16,1069.15,True,True,True,True
KOSPI,1017,전기·가스,전기·가스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,1092.77,1100.07,1076.77,1100.07,1092.77,1100.07,1076.77,1100.07,True,True,True,True
KOSPI,1017,전기·가스,전기·가스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,1048.41,1060.38,1043.4,1057.62,1048.41,1060.38,1043.40,1057.62,True,True,True,True
KOSPI,1017,전기·가스,전기·가스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,1003.77,1030.2,1002.29,1019.51,1003.77,1030.20,1002.29,1019.51,True,True,True,True
KOSPI,1017,전기·가스,전기·가스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,1011.91,1016.77,995.46,1015.17,1011.91,1016.77,995.46,1015.17,True,True,True,True
KOSPI,1018,건설,건설,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,155.8,158.5,151.48,151.95,155.80,158.50,151.48,151.95,True,True,True,True
KOSPI,1018,건설,건설,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,126.17,131.41,124.71,131.38,126.17,131.41,124.71,131.38,True,True,True,True
KOSPI,1018,건설,건설,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,158.6,158.99,149.89,154.26,158.60,158.99,149.89,154.26,True,True,True,True
