krx_idx_name,native_market,native_sector_code,native_idx_name,native_source_api,date,krx_open,krx_high,krx_low,krx_close,native_open,native_high,native_low,native_close,open_match,high_match,low_match,close_match
KRX 300 금융,KOSPI,1019,운송·창고,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,2017.26,2043.70,1999.09,2043.70,False,False,False,False
KRX 300 금융,KOSPI,1019,운송·창고,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,1976.13,2018.48,1976.13,2016.85,False,False,False,False
KRX 300 금융,KOSPI,1019,운송·창고,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,1984.40,1996.27,1958.30,1959.86,False,False,False,False
KRX 300 금융,KOSPI,1019,운송·창고,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,1949.53,1982.54,1930.72,1977.13,False,False,False,False
KRX 300 금융,KOSPI,1020,통신,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,639.40,664.36,629.32,648.44,False,False,False,False
KRX 300 금융,KOSPI,1020,통신,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,593.19,593.19,571.65,577.86,False,False,False,False
KRX 300 금융,KOSPI,1020,통신,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,618.66,620.00,600.63,607.84,False,False,False,False
KRX 300 금융,KOSPI,1020,통신,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,616.68,651.75,615.77,649.90,False,False,False,False
KRX 300 금융,KOSPI,1020,통신,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,631.38,642.42,625.82,628.99,False,False,False,False
KRX 300 금융,KOSPI,1020,통신,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,626.20,655.82,621.22,650.25,False,False,False,False
KRX 300 금융,KOSPI,1021,금융,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,1145.40,1152.36,1111.09,1125.28,False,False,False,False
KRX 300 금융,KOSPI,1021,금융,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,1004.01,1085.69,995.34,1083.23,False,False,False,False
KRX 300 금융,KOSPI,1021,금융,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,1085.58,1091.11,1066.08,1082.46,False,False,False,False
KRX 300 금융,KOSPI,1021,금융,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,1137.83,1146.03,1128.16,1145.93,False,False,False,False
KRX 300 금융,KOSPI,1021,금융,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,1100.75,1113.56,1085.23,1102.85,False,False,False,False
KRX 300 금융,KOSPI,1021,금융,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,1090.31,1115.46,1086.32,1115.46,False,False,False,False
KRX 300 금융,KOSPI,1024,증권,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,5688.28,5688.28,5373.58,5464.58,False,False,False,False
KRX 300 금융,KOSPI,1024,증권,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,5030.59,5295.42,4971.88,5289.07,False,False,False,False
KRX 300 금융,KOSPI,1024,증권,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,5299.62,5330.70,5095.06,5166.39,False,False,False,False
KRX 300 금융,KOSPI,1024,증권,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,5497.68,5535.72,5422.31,5531.96,False,False,False,False
KRX 300 금융,KOSPI,1024,증권,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,5132.93,5358.14,5132.93,5287.55,False,False,False,False
KRX 300 금융,KOSPI,1024,증권,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,5220.15,5244.11,5098.21,5158.04,False,False,False,False
KRX 300 금융,KOSPI,1025,보험,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,47697.94,48364.04,46776.82,47950.69,False,False,False,False
KRX 300 금융,KOSPI,1025,보험,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,43149.09,46992.08,42761.91,46770.23,False,False,False,False
KRX 300 금융,KOSPI,1025,보험,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,44482.34,44955.48,43857.00,44662.49,False,False,False,False
KRX 300 금융,KOSPI,1025,보험,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,47168.59,47744.61,46376.42,47350.39,False,False,False,False
KRX 300 금융,KOSPI,1025,보험,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,46282.68,48235.32,46113.33,47471.18,False,False,False,False
KRX 300 금융,KOSPI,1025,보험,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,46924.84,50634.35,46355.95,50580.16,False,False,False,False
KRX 300 금융,KOSPI,1026,일반서비스,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,1287.23,1326.01,1283.44,1299.02,False,False,False,False
KRX 300 금융,KOSPI,1026,일반서비스,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,1223.65,1235.19,1200.44,1233.28,False,False,False,False
KRX 300 금융,KOSPI,1026,일반서비스,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,1322.21,1325.77,1293.24,1322.67,False,False,False,False
KRX 300 금융,KOSPI,1026,일반서비스,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,1347.42,1362.00,1335.14,1350.76,False,False,False,False
KRX 300 금융,KOSPI,1026,일반서비스,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,1332.92,1344.76,1316.62,1320.52,False,False,False,False
KRX 300 금융,KOSPI,1026,일반서비스,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,1310.93,1310.93,1281.58,1293.14,False,False,False,False
KRX 300 금융,KOSPI,1027,제조,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,20779.54,20779.54,19579.09,19679.13,False,False,False,False
KRX 300 금융,KOSPI,1027,제조,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,16271.65,19665.99,16208.92,19530.98,False,False,False,False
KRX 300 금융,KOSPI,1027,제조,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,18549.17,18730.55,17867.40,18153.36,False,False,False,False
KRX 300 금융,KOSPI,1027,제조,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,20728.22,20757.87,20194.04,20608.24,False,False,False,False
KRX 300 금융,KOSPI,1027,제조,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,19706.18,20491.57,19435.78,20338.08,False,False,False,False
KRX 300 금융,KOSPI,1027,제조,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,20044.70,20688.40,19993.73,20528.83,False,False,False,False
KRX 300 금융,KOSPI,1045,부동산,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,867.08,881.96,866.60,870.42,False,False,False,False
KRX 300 금융,KOSPI,1045,부동산,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,866.33,869.25,853.53,862.27,False,False,False,False
KRX 300 금융,KOSPI,1045,부동산,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,879.13,889.89,878.25,889.89,False,False,False,False
KRX 300 금융,KOSPI,1045,부동산,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,902.99,923.35,900.59,923.35,False,False,False,False
KRX 300 금융,KOSPI,1045,부동산,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,911.87,912.99,899.94,905.93,False,False,False,False
KRX 300 금융,KOSPI,1045,부동산,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,904.71,904.71,889.56,899.22,False,False,False,False
KRX 300 금융,KOSPI,1046,IT 서비스,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,1192.44,1192.44,1138.22,1163.55,False,False,False,False
KRX 300 금융,KOSPI,1046,IT 서비스,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,1157.43,1172.42,1130.39,1162.86,False,False,False,False
KRX 300 금융,KOSPI,1046,IT 서비스,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,1230.11,1254.58,1206.62,1225.01,False,False,False,False
KRX 300 금융,KOSPI,1046,IT 서비스,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,1289.60,1325.51,1283.17,1312.89,False,False,False,False
KRX 300 금융,KOSPI,1046,IT 서비스,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,1220.13,1266.16,1212.27,1250.45,False,False,False,False
KRX 300 금융,KOSPI,1046,IT 서비스,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,1234.96,1240.80,1200.73,1232.48,False,False,False,False
KRX 300 금융,KOSPI,1047,오락·문화,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,939.76,950.33,923.82,944.56,False,False,False,False
KRX 300 금융,KOSPI,1047,오락·문화,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,835.17,842.49,817.81,835.41,False,False,False,False
KRX 300 금융,KOSPI,1047,오락·문화,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,866.75,884.72,860.72,884.68,False,False,False,False
KRX 300 금융,KOSPI,1047,오락·문화,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,852.21,872.45,852.21,866.34,False,False,False,False
