ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,entry_signal_date,entry_signal_information_date,entry_execution_date,entry_open,identity_effective_from,identity_effective_to,v2_exit_reason,v2_exit_signal_date,v2_exit_execution_date,v2_exit_price,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_trade_status,v2_loss_guard_triggered,v0_entry_execution_date,v0_entry_open,v0_exit_reason,v0_exit_signal_date,v0_exit_execution_date,v0_exit_price,v0_terminal_return,v0_mfe,v0_mae,v0_holding_days,v0_trade_status,v0_mfe_tier,v0_hwm,v0_max_hwm_drawdown,v0_fast_state_at_exit,v0_soft_threshold,v0_hard_threshold,v0_unexecuted_exit_signal_date,v0_entry_date_match_control,v0_entry_open_match_control,return_delta_v0_minus_v2,improved_worsened_same,v2_giveback_pp,v0_giveback_pp
005010,휴스틸,KOSPI,KR7005010004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005010_KR7005010004_KOSPI_01,1,2025-03-07,2025-03-07,2025-03-10,6360.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2025-03-25,2025-03-26,5380.0,-15.41,8.18,-16.98,13,REALIZED,True,2025-03-10,6360.0,OPEN_AT_CUTOFF,,,,-43.32,14.78,-51.1,356,OPEN_AT_CUTOFF,BELOW_WINNER_MODE,7300.0,-53.7,,,,,True,True,-27.91,worsened,23.59,58.1
005090,SGC에너지,KOSPI,KR7005090006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005090_KR7005090006_KOSPI_01,1,2021-06-11,2021-06-11,2021-06-14,49000.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,2021-09-30,2021-10-01,52500.0,7.14,14.9,-12.65,76,REALIZED,False,2021-06-14,49000.0,HARD_EXIT,2026-03-18,2026-03-19,54500.0,11.22,36.33,-58.88,1166,REALIZED,MFE_20_TO_50,66800.0,-65.14,EXTENDED,-10.0,-20.0,,True,True,4.08,improved,7.76,25.11
005180,빙그레,KOSPI,KR7005180005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005180_KR7005180005_KOSPI_01,1,2021-04-23,2021-04-23,2021-04-26,64400.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2021-11-19,2021-11-22,55100.0,-14.44,3.73,-15.53,143,REALIZED,True,2021-04-26,64400.0,HARD_EXIT,2024-07-05,2024-07-08,88000.0,36.65,83.85,-43.09,789,REALIZED,MFE_50_TO_100,118400.0,-44.91,EXTENDED,-15.0,-25.0,,True,True,51.09,improved,18.17,47.2
005180,빙그레,KOSPI,KR7005180005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005180_KR7005180005_KOSPI_02,2,2023-11-03,2023-11-03,2023-11-06,55300.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,2024-06-30,2024-07-01,97100.0,75.59,114.1,-8.68,160,REALIZED,False,2023-11-06,55300.0,HARD_EXIT,2024-08-05,2024-08-06,77300.0,39.78,114.1,-8.68,186,REALIZED,MFE_100_TO_200,118400.0,-34.88,EXTENDED,-20.0,-30.0,,True,True,-35.81,worsened,38.51,74.32
005180,빙그레,KOSPI,KR7005180005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005180_KR7005180005_KOSPI_03,3,2026-02-13,2026-02-13,2026-02-19,84800.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2026-03-30,2026-03-31,71100.0,-16.16,3.07,-16.16,28,REALIZED,True,2026-02-19,84800.0,OPEN_AT_CUTOFF,,,,0.0,4.72,-27.48,125,OPEN_AT_CUTOFF,BELOW_WINNER_MODE,88800.0,-29.18,,,,,True,True,16.16,improved,19.23,4.72
005290,동진쎄미켐,KOSDAQ,KR7005290002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005290_KR7005290002_KOSDAQ_01,1,2023-03-03,2023-03-03,2023-03-06,36400.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2023-03-14,2023-03-15,30700.0,-15.66,4.4,-19.09,8,REALIZED,True,2023-03-06,36400.0,SOFT_EXIT,2023-08-04,2023-08-07,37950.0,4.26,23.35,-20.33,107,REALIZED,MFE_20_TO_50,44900.0,-22.63,SETUP,-10.0,-20.0,,True,True,19.92,improved,20.06,19.09
005290,동진쎄미켐,KOSDAQ,KR7005290002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005290_KR7005290002_KOSDAQ_02,2,2023-06-02,2023-06-02,2023-06-05,37900.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2023-10-10,2023-10-11,32700.0,-13.72,18.47,-16.49,86,REALIZED,True,2023-06-05,37900.0,SOFT_EXIT,2024-04-19,2024-04-22,43850.0,15.7,35.88,-20.98,217,REALIZED,MFE_20_TO_50,51500.0,-33.3,SETUP,-10.0,-20.0,,True,True,29.42,improved,32.19,20.18
005290,동진쎄미켐,KOSDAQ,KR7005290002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005290_KR7005290002_KOSDAQ_03,3,2024-05-10,2024-05-10,2024-05-13,46750.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2024-06-25,2024-06-26,39500.0,-15.51,0.21,-17.01,31,REALIZED,True,2024-05-13,46750.0,SOFT_EXIT,2026-02-06,2026-02-09,53900.0,15.29,27.7,-56.79,425,REALIZED,MFE_20_TO_50,59700.0,-56.46,SETUP,-10.0,-20.0,,True,True,30.8,improved,15.72,12.41
005290,동진쎄미켐,KOSDAQ,KR7005290002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005290_KR7005290002_KOSDAQ_04,4,2025-10-10,2025-10-10,2025-10-13,45000.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2025-11-06,2025-11-07,36150.0,-19.67,4.44,-19.67,20,REALIZED,True,2025-10-13,45000.0,SOFT_EXIT,2026-02-06,2026-02-09,53900.0,19.78,32.67,-30.0,83,REALIZED,MFE_20_TO_50,59700.0,-32.77,SETUP,-10.0,-20.0,,True,True,39.45,improved,24.11,12.89
005300,롯데칠성,KOSPI,KR7005300009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005300_KR7005300009_KOSPI_01,1,2021-04-02,2021-04-02,2021-04-05,132500.0,2010-01-04,2026-08-21,NO_EXIT_BEFORE_CUTOFF,,,,-27.09,57.74,-29.13,1319,OPEN_AT_CUTOFF,False,2021-04-05,132500.0,SOFT_EXIT,2021-05-21,2021-05-24,154500.0,16.6,32.45,-2.26,34,REALIZED,MFE_20_TO_50,175500.0,-12.25,SETUP,-10.0,-20.0,,True,True,43.69,improved,84.83,15.85
