ticker,control_category,expected_count,candidate_count,first_expected_date,first_candidate_date,last_expected_date,last_candidate_date,missing_expected_count,unexpected_count,pre_listing_rows,post_delisting_rows,future_rows,coverage_status,reason
037510,EXISTING_EMPTY_CONTROL,16,16,2010-01-04,2010-01-04,2010-01-25,2010-01-25,0,0,0,0,0,COVERAGE_VALID,EXISTING_EMPTY_RECONCILED
045820,EXISTING_EMPTY_CONTROL,9,9,2010-01-04,2010-01-04,2010-01-14,2010-01-14,0,0,0,0,0,COVERAGE_VALID,EXISTING_EMPTY_RECONCILED
000810,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,CURRENT_COMMON_INVALID_OHLC_CONTROL
001040,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,CURRENT_COMMON_INVALID_OHLC_CONTROL
001740,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,CURRENT_COMMON_INVALID_OHLC_CONTROL
002790,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,CURRENT_COMMON_INVALID_OHLC_CONTROL
003540,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,CURRENT_COMMON_INVALID_OHLC_CONTROL
000500,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_ONLY_INVALID_OHLC_CONTROL
000970,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_ONLY_INVALID_OHLC_CONTROL
001250,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_ONLY_INVALID_OHLC_CONTROL
001380,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_ONLY_INVALID_OHLC_CONTROL
001420,EXISTING_OHLC_ANOMALY_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,HISTORICAL_ONLY_INVALID_OHLC_CONTROL
030990,KNOWN_UNSUPPORTED_CONTROL,0,0,,,,,0,0,0,0,0,LEGITIMATE_NO_DATA,DELISTED_SYMBOL_UNSUPPORTED_CONTROL
