date,kospi_close,trading_value,v_kospi200_close,v_level_pct_252,v_z_60,v_change_20,kospi_return_5,kospi_return_20,kospi_return_60,kospi_drawdown_60,participation_pct_252,participation_ratio_20,future_return_20,future_min_return_20,future_risk_event_20,score_balanced_no_participation_v01,score_panic_confirmed_v01,score_downside_heavy_v01
2021-07-29,3242.65,10487014073756.0,15.58,0.11904761904761904,-0.20905189077669742,0.08722958827634342,-0.0023260035505398013,-0.012007702479540194,0.03027289451192594,-0.018927692945380103,0.04365079365079365,0.8696823599363709,-0.03353738454658994,-0.056170107782215095,0.0,20.708675354440587,18.273408597647336,18.446782400289035
2021-07-30,3202.32,12801432029373.0,17.3,0.20238095238095238,0.5409478466909112,0.2590975254730714,-0.01600899699485625,-0.024212470061978575,0.007418033560467441,-0.031129640779254508,0.17857142857142858,0.8622586904046504,-0.01815246446326413,-0.04428351944839992,0.0,31.41244781701223,28.031805953467533,28.37298660231584
2021-08-02,3223.04,10234630301320.0,15.77,0.13095238095238096,-0.12315269356766093,0.2028985507246377,-0.0005922572442983443,-0.021307478114058975,0.008082071812836267,-0.024860750149007238,0.03968253968253968,0.8487014878310101,-0.007375024821286713,-0.05042754666401894,0.0,24.141271819866134,21.758363224990145,22.296691018993105
2021-08-03,3237.14,12487223926394.0,14.78,0.0873015873015873,-0.5374861039249463,0.16286388670338314,0.0014261275224050074,-0.02059475797301835,-0.003742344504970352,-0.02059475797301835,0.15476190476190477,0.8424920669738974,-0.009304509536195549,-0.05456359626089691,0.0,19.67843426006526,17.998253552570773,18.609136164404916
2021-08-04,3280.38,12351762899866.0,14.77,0.0873015873015873,-0.5163183756000326,0.11136192626034624,0.013445128921238503,-0.0015097371961502182,0.02210672923229362,-0.007512381966652604,0.14682539682539683,0.8357067348663384,-0.03186521073778048,-0.06702577140453236,0.0,16.864236816841444,14.66828210095775,14.423511648578458
2021-08-05,3276.13,11852924508783.0,14.53,0.07142857142857142,-0.6075825540033156,0.023960535588442466,0.010324888594205328,0.007209439600575518,0.036205664113155844,-0.008798230672181218,0.11904761904761904,0.8198444134496494,-0.022914231120254702,-0.06581545909350361,0.0,14.160097972114706,12.039900879694981,11.682758022552123
2021-08-06,3270.36,15409940104220.0,14.18,0.04365079365079365,-0.7696535568814831,-0.062169312169312096,0.02124709585550466,0.01628676641961513,0.047483913122855936,-0.010543959385334034,0.44841269841269843,0.8165183480772632,-0.020496214484032382,-0.0641672476424614,0.0,11.153734084898916,9.352709848486404,9.134455880232435
2021-08-09,3260.42,15701910900826.0,14.28,0.051587301587301584,-0.6932917139630489,0.048458149779735615,0.011597746227164363,0.004296974868087666,0.03396420280846857,-0.013551332593087828,0.49206349206349204,0.8305544611124509,-0.02238975346734473,-0.061314186515847635,0.0,13.504095575854578,11.662414919820456,11.513407716504572
2021-08-10,3243.19,21620852149242.0,14.52,0.07738095238095238,-0.5402989143898571,0.15697211155378477,0.0018689336883792596,-0.008617158508030243,0.03466878501333537,-0.018764314521618863,0.9087301587301587,0.8556217183901135,-0.024728739296803526,-0.05632725803915273,0.0,18.009282030366677,16.29366638192217,16.388669618113916
2021-08-11,3220.62,19154527955415.0,15.12,0.13293650793650794,-0.18535748374560215,0.16576715497301464,-0.018217401642492748,-0.013535244011136927,0.014991884779628428,-0.02559292752956699,0.8055555555555556,0.8751832243354885,-0.03288807745092559,-0.04971403021778409,0.0,22.93339095867795,20.71399390519817,20.779611656662244
