date,kospi_close,trading_value,v_kospi200_close
2020-09-17,2406.17,14234109662471.0,22.31
2020-09-18,2412.4,13964213581911.0,21.59
2020-09-21,2389.39,14213603488106.0,23.31
2020-09-22,2332.59,17894886068264.0,25.2
2020-09-23,2333.24,13560135517439.0,24.64
2020-09-24,2272.7,12466127545119.0,27.21
2020-09-25,2278.79,10179942642816.0,26.13
2020-09-28,2308.08,8970007277736.0,25.01
2020-09-29,2327.89,9486371625587.0,24.15
2020-10-05,2358.0,10682047557543.0,23.87
2020-10-06,2365.9,11130928563354.0,22.29
2020-10-07,2386.94,8962606485891.0,21.55
2020-10-08,2391.96,12509267439794.0,21.0
2020-10-12,2403.73,10685773266609.0,20.36
2020-10-13,2403.15,10198454798482.0,20.34
2020-10-14,2380.48,11013960902767.0,20.97
2020-10-15,2361.21,13023936628848.0,21.47
2020-10-16,2341.53,11137606105645.0,22.03
2020-10-19,2346.74,10487900914179.0,22.51
2020-10-20,2358.41,11820971766070.0,22.18
2020-10-21,2370.86,9856120853435.0,21.88
2020-10-22,2355.05,9769752977255.0,22.54
2020-10-23,2360.81,10721334938487.0,21.9
2020-10-26,2343.91,11651445291420.0,22.94
2020-10-27,2330.84,11266811806896.0,23.58
2020-10-28,2345.26,8939095030078.0,23.29
2020-10-29,2326.67,10355821201943.0,25.9
2020-10-30,2267.15,11779783207648.0,31.97
2020-11-02,2300.16,8513148864794.0,28.65
2020-11-03,2343.31,10872450542828.0,26.54
2020-11-04,2357.32,14833481621859.0,24.75
2020-11-05,2413.79,12576935744427.0,22.16
2020-11-06,2416.5,12577987649895.0,21.74
2020-11-09,2447.2,14844887614695.0,21.58
2020-11-10,2452.83,17975776881294.0,21.02
2020-11-11,2485.87,18305084746097.0,20.68
2020-11-12,2475.62,16418011654304.0,19.85
2020-11-13,2493.87,17042430089807.0,19.77
2020-11-16,2543.03,19086569448970.0,20.5
2020-11-17,2539.15,17791862828484.0,19.72
2020-11-18,2545.64,13550145889509.0,19.63
2020-11-19,2547.42,12512601892601.0,19.41
2020-11-20,2553.5,12264273841375.0,19.21
2020-11-23,2602.59,15761677695263.0,19.79
2020-11-24,2617.76,16869471471882.0,19.81
2020-11-25,2601.54,21792337031025.0,20.82
2020-11-26,2625.91,12712149813448.0,20.0
2020-11-27,2633.45,12636664222261.0,19.66
2020-11-30,2591.34,21227904390426.0,20.77
2020-12-01,2634.25,15944459886145.0,20.21
2020-12-02,2675.9,17503062013724.0,20.18
2020-12-03,2696.22,15587239697996.0,20.02
2020-12-04,2731.45,19866776645042.0,21.01
2020-12-07,2745.44,17926464867967.0,21.3
2020-12-08,2700.93,17153410682188.0,20.7
2020-12-09,2755.47,17004612768674.0,20.15
2020-12-10,2746.46,20628442049920.0,20.03
2020-12-11,2770.06,18324690209235.0,19.85
2020-12-14,2762.2,17008916003321.0,21.25
2020-12-15,2756.82,15535005975169.0,21.27
2020-12-16,2771.79,13647466882920.0,20.4
2020-12-17,2770.43,16273166408201.0,19.85
2020-12-18,2772.18,19163199952786.0,19.57
2020-12-21,2778.65,18969209851456.0,20.54
2020-12-22,2733.68,19877052229002.0,22.85
2020-12-23,2759.82,20278404399193.0,21.52
2020-12-24,2806.86,19976615909958.0,21.53
2020-12-28,2808.6,24194619801299.0,23.14
2020-12-29,2820.51,19294966775699.0,21.63
2020-12-30,2873.47,17925010594669.0,22.09
2021-01-04,2944.45,25006031704703.0,24.81
2021-01-05,2990.57,26543936108508.0,26.22
2021-01-06,2968.21,29905616050085.0,27.6
2021-01-07,3031.68,27175213656772.0,26.75
2021-01-08,3152.18,40891636730263.0,29.18
2021-01-11,3148.45,44414035152257.0,35.65
2021-01-12,3125.95,31398902897127.0,34.95
2021-01-13,3148.29,24721940532034.0,32.0
2021-01-14,3149.93,24120076186933.0,29.68
2021-01-15,3085.9,23158146043947.0,31.56
2021-01-18,3013.93,23180787726041.0,33.18
2021-01-19,3092.66,24184944834155.0,34.08
2021-01-20,3114.55,24621471752067.0,33.32
2021-01-21,3160.84,25275084182491.0,30.63
2021-01-22,3140.63,24300291238350.0,29.36
2021-01-25,3208.99,21157448111747.0,28.97
2021-01-26,3140.31,21860194810923.0,29.99
2021-01-27,3122.56,20138214471237.0,29.41
2021-01-28,3069.05,22999057012900.0,33.09
2021-01-29,2976.21,24342277453709.0,35.73
2021-02-01,3056.53,20700971645689.0,34.16
2021-02-02,3096.81,19131531485286.0,33.4
2021-02-03,3129.68,22420660000837.0,31.29
2021-02-04,3087.55,20644286188678.0,32.06
2021-02-05,3120.63,18491192781011.0,28.65
2021-02-08,3091.24,18389220920763.0,27.33
2021-02-09,3084.67,17042132135965.0,25.21
2021-02-10,3100.58,17708513737421.0,26.43
2021-02-15,3147.0,16555085525665.0,26.22
2021-02-16,3163.25,16860957546580.0,25.08
2021-02-17,3133.73,16696860320187.0,25.58
2021-02-18,3086.66,17954188347774.0,26.1
2021-02-19,3107.62,19447148403830.0,26.86
2021-02-22,3079.75,18092513276158.0,27.64
2021-02-23,3070.09,17395876013511.0,27.16
2021-02-24,2994.98,21331609254526.0,28.93
2021-02-25,3099.69,16811491914269.0,27.92
2021-02-26,3012.95,21323007960933.0,31.34
2021-03-02,3043.87,18744440114296.0,30.97
2021-03-03,3082.99,14650222806828.0,28.31
2021-03-04,3043.49,17099652798942.0,29.5
2021-03-05,3026.26,16701109792078.0,29.09
2021-03-08,2996.11,15736247189162.0,29.48
2021-03-09,2976.12,18120579695511.0,29.78
2021-03-10,2958.12,13433672564998.0,28.85
2021-03-11,3013.7,15877622161874.0,26.45
2021-03-12,3054.39,13071418230826.0,25.64
2021-03-15,3045.71,12555319049069.0,25.9
2021-03-16,3067.17,12904855362036.0,24.28
2021-03-17,3047.5,13902724319190.0,24.53
2021-03-18,3066.01,14871480376119.0,22.69
2021-03-19,3039.53,16269593461431.0,23.61
2021-03-22,3035.46,13324071743275.0,23.7
2021-03-23,3004.74,16127665870238.0,23.19
2021-03-24,2996.35,13377722928028.0,22.71
2021-03-25,3008.33,13417129568567.0,21.69
2021-03-26,3041.01,15814116644558.0,20.36
2021-03-29,3036.04,16711873619063.0,21.01
2021-03-30,3070.0,14127556185066.0,20.64
2021-03-31,3061.42,14519703012453.0,20.44
2021-04-01,3087.4,14023234018215.0,19.88
2021-04-02,3112.8,13427148569121.0,19.51
2021-04-05,3120.83,12992023778097.0,18.97
2021-04-06,3127.08,13655086697366.0,18.34
2021-04-07,3137.41,14473400242925.0,17.45
2021-04-08,3143.26,17069627972939.0,16.19
2021-04-09,3131.88,15038516805192.0,16.69
2021-04-12,3135.59,13268281123930.0,16.54
2021-04-13,3169.08,16342010119310.0,17.11
2021-04-14,3182.38,15536173298237.0,16.49
2021-04-15,3194.33,17593497106160.0,17.6
2021-04-16,3198.62,15348734994907.0,17.61
2021-04-19,3198.84,15344666693510.0,18.04
2021-04-20,3220.7,14434382579628.0,17.96
2021-04-21,3171.66,16879778185787.0,18.95
2021-04-22,3177.52,14580558530029.0,17.86
2021-04-23,3186.1,15523519248973.0,18.33
2021-04-26,3217.53,15696320517538.0,18.36
2021-04-27,3215.42,17144525377940.0,18.1
2021-04-28,3181.47,18228632668513.0,18.92
2021-04-29,3174.07,19101151403615.0,18.92
