ticker,filename,raw_match,runtime_metadata_only_delta,normalized_json_sha_canonical,normalized_json_sha_run1,normalized_json_sha_run2,behavioral_match
021240,021240_코웨이.json,False,True,03630c664971bfa8ff23602707dbc1701f2eda5507867d4151479cf1b8e2a0ec,03630c664971bfa8ff23602707dbc1701f2eda5507867d4151479cf1b8e2a0ec,03630c664971bfa8ff23602707dbc1701f2eda5507867d4151479cf1b8e2a0ec,True
024110,024110_기업은행.json,True,False,a1522e103f74b0318c61de73e15e67d76812d74a88b3cf59bb738187b8e87b50,a1522e103f74b0318c61de73e15e67d76812d74a88b3cf59bb738187b8e87b50,a1522e103f74b0318c61de73e15e67d76812d74a88b3cf59bb738187b8e87b50,True
025890,025890_한국주강.json,True,False,aa91cf147b943fe7ec21d1385348dfc0e530f4f47700f75ab87a9262ccc2bc1d,aa91cf147b943fe7ec21d1385348dfc0e530f4f47700f75ab87a9262ccc2bc1d,aa91cf147b943fe7ec21d1385348dfc0e530f4f47700f75ab87a9262ccc2bc1d,True
026910,026910_광진실업.json,True,False,51b8221bbb5358f015e67cf7fd72a1bfd434d31e8f1866c4b96a96561217add0,51b8221bbb5358f015e67cf7fd72a1bfd434d31e8f1866c4b96a96561217add0,51b8221bbb5358f015e67cf7fd72a1bfd434d31e8f1866c4b96a96561217add0,True
028100,028100_동아지질.json,True,False,30b13abe33dfedd3ff5ee4143ccbda2615dd6c7e031ad4cca27ddb5af78a1b81,30b13abe33dfedd3ff5ee4143ccbda2615dd6c7e031ad4cca27ddb5af78a1b81,30b13abe33dfedd3ff5ee4143ccbda2615dd6c7e031ad4cca27ddb5af78a1b81,True
033780,033780_KT&G.json,True,False,52899058834b2e48a9448b62fe891c728a6b1b994b0bd03f5d1f0f364dc89ae4,52899058834b2e48a9448b62fe891c728a6b1b994b0bd03f5d1f0f364dc89ae4,52899058834b2e48a9448b62fe891c728a6b1b994b0bd03f5d1f0f364dc89ae4,True
035610,035610_솔본.json,True,False,84f69cf3164ed9aa3c35d9b443f86fba02bb438d4478d6f8a5a2bebb77f620ea,84f69cf3164ed9aa3c35d9b443f86fba02bb438d4478d6f8a5a2bebb77f620ea,84f69cf3164ed9aa3c35d9b443f86fba02bb438d4478d6f8a5a2bebb77f620ea,True
035720,035720_카카오.json,True,False,daa5ac67adf857aa12caa666b0b178d24cc5c0f7d5fd563dcf77daffb0fb1b09,daa5ac67adf857aa12caa666b0b178d24cc5c0f7d5fd563dcf77daffb0fb1b09,daa5ac67adf857aa12caa666b0b178d24cc5c0f7d5fd563dcf77daffb0fb1b09,True
042420,042420_네오위즈홀딩스.json,True,False,8097b26e45e61e1d930a8e484ceeb23cfba8bb43f07009c7b12ab6d94d7ed1af,8097b26e45e61e1d930a8e484ceeb23cfba8bb43f07009c7b12ab6d94d7ed1af,8097b26e45e61e1d930a8e484ceeb23cfba8bb43f07009c7b12ab6d94d7ed1af,True
069500,069500_KODEX 200.json,True,False,452c446f37f261ca05c6b7f4dc30d125001d9aa0e63f79d3cd16baa6a761e85b,452c446f37f261ca05c6b7f4dc30d125001d9aa0e63f79d3cd16baa6a761e85b,452c446f37f261ca05c6b7f4dc30d125001d9aa0e63f79d3cd16baa6a761e85b,True
071200,071200_인피니트헬스케어.json,True,False,7863548b5e315c18d67bdd2653b594b048c1daab94b0b88ebd19502536681e53,7863548b5e315c18d67bdd2653b594b048c1daab94b0b88ebd19502536681e53,7863548b5e315c18d67bdd2653b594b048c1daab94b0b88ebd19502536681e53,True
073240,073240_금호타이어.json,True,False,0ad7c0d36a0da0dfc0426f95d9e5a2c0eb2f69b7e6fcc97dde509f61da426073,0ad7c0d36a0da0dfc0426f95d9e5a2c0eb2f69b7e6fcc97dde509f61da426073,0ad7c0d36a0da0dfc0426f95d9e5a2c0eb2f69b7e6fcc97dde509f61da426073,True
079550,079550_LIG디펜스앤에어로스페이스.json,True,False,2d8609782aa4871197a9b9d035ffd77bfc68a89596fc5f05ab406535f96c1a18,2d8609782aa4871197a9b9d035ffd77bfc68a89596fc5f05ab406535f96c1a18,2d8609782aa4871197a9b9d035ffd77bfc68a89596fc5f05ab406535f96c1a18,True
080010,080010_이상네트웍스.json,True,False,fba210cdb0c898b16c9eb6c6e662face997eb175f76d9a0428de0ce5ef40c38d,fba210cdb0c898b16c9eb6c6e662face997eb175f76d9a0428de0ce5ef40c38d,fba210cdb0c898b16c9eb6c6e662face997eb175f76d9a0428de0ce5ef40c38d,True
081660,081660_미스토홀딩스.json,True,False,1a9271286d1bf9b0ff7f0318559a635f54df71320a59249f2215416e3eba2592,1a9271286d1bf9b0ff7f0318559a635f54df71320a59249f2215416e3eba2592,1a9271286d1bf9b0ff7f0318559a635f54df71320a59249f2215416e3eba2592,True
091160,091160_KODEX 반도체.json,True,False,b03093fc140d413340feec75ef1014c96ef573a4ae8b36f6164d1e5e7da8cbe2,b03093fc140d413340feec75ef1014c96ef573a4ae8b36f6164d1e5e7da8cbe2,b03093fc140d413340feec75ef1014c96ef573a4ae8b36f6164d1e5e7da8cbe2,True
