naver_sector_code,naver_sector_name,market,krx_sector_code,krx_sector_name,name_match,constituent_overlap_count,naver_count,krx_count,overlap_naver,overlap_krx,jaccard,naver_total_count,naver_count_scope
263,게임엔터테인먼트,KOSPI,1019,운송·창고,False,0,5,24,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1020,통신,False,0,5,5,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1021,금융,False,0,5,77,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1024,증권,False,0,5,18,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1025,보험,False,0,5,11,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1026,일반서비스,False,0,5,32,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1027,제조,False,0,5,8,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1045,부동산,False,0,5,3,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1046,IT 서비스,False,5,5,25,1.0,0.2,0.2,34,COMMON_INTERSECTION_FOR_MARKET
263,게임엔터테인먼트,KOSPI,1047,오락·문화,False,0,5,13,0.0,0.0,0.0,34,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2012,일반서비스,False,0,1,139,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2026,건설,False,0,1,28,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2027,유통,False,0,1,100,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2029,운송·창고,False,0,1,4,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2031,금융,False,0,1,34,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2037,오락·문화,False,0,1,55,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2056,음식료·담배,False,0,1,47,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2058,섬유·의류,False,0,1,22,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2062,종이·목재,False,0,1,9,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2063,출판·매체복제,False,0,1,2,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2065,화학,False,0,1,123,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2066,제약,False,0,1,129,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2067,비금속,False,0,1,15,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2068,금속,False,0,1,74,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2070,기계·장비,False,0,1,182,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2072,전기전자,False,0,1,311,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2074,의료·정밀기기,False,0,1,95,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2075,운송장비·부품,False,0,1,77,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2077,기타제조,False,0,1,15,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2114,통신,False,0,1,9,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSDAQ,2118,IT 서비스,False,0,1,226,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1005,음식료·담배,False,0,11,37,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1006,섬유·의류,False,0,11,27,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1007,종이·목재,False,0,11,18,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1008,화학,False,0,11,103,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1009,제약,False,0,11,48,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1010,비금속,False,0,11,21,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1011,금속,False,0,11,60,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1012,기계·장비,False,0,11,32,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1013,전기전자,False,0,11,69,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1014,의료·정밀기기,False,0,11,8,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1015,운송장비·부품,False,0,11,61,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1016,유통,False,11,11,62,1.0,0.177419,0.177419,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1017,전기·가스,False,0,11,10,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1018,건설,False,0,11,28,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1019,운송·창고,False,0,11,24,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1020,통신,False,0,11,5,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1021,금융,False,0,11,77,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1024,증권,False,0,11,18,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1025,보험,False,0,11,11,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1026,일반서비스,False,0,11,32,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1027,제조,False,0,11,8,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1045,부동산,False,0,11,3,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1046,IT 서비스,False,0,11,25,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
264,백화점과일반상점,KOSPI,1047,오락·문화,False,0,11,13,0.0,0.0,0.0,14,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2012,일반서비스,False,1,10,139,0.1,0.007194,0.006757,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2026,건설,False,0,10,28,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2027,유통,False,8,10,100,0.8,0.08,0.078431,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2029,운송·창고,False,0,10,4,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2031,금융,False,0,10,34,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2037,오락·문화,False,0,10,55,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2056,음식료·담배,False,0,10,47,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2058,섬유·의류,False,0,10,22,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2062,종이·목재,False,0,10,9,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2063,출판·매체복제,False,0,10,2,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2065,화학,False,0,10,123,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2066,제약,False,0,10,129,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2067,비금속,False,0,10,15,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2068,금속,False,0,10,74,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2070,기계·장비,False,0,10,182,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2072,전기전자,False,0,10,311,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2074,의료·정밀기기,False,0,10,95,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2075,운송장비·부품,False,0,10,77,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2077,기타제조,False,0,10,15,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2114,통신,False,0,10,9,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSDAQ,2118,IT 서비스,False,1,10,226,0.1,0.004425,0.004255,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSPI,1005,음식료·담배,False,0,2,37,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSPI,1006,섬유·의류,False,0,2,27,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSPI,1007,종이·목재,False,0,2,18,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSPI,1008,화학,False,0,2,103,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
265,판매업체,KOSPI,1009,제약,False,0,2,48,0.0,0.0,0.0,13,COMMON_INTERSECTION_FOR_MARKET
