date,strategy,equity,position_state,exposure_flag
2024-02-21,V3,0.9630890052,HOLD,1
2024-02-22,V3,0.9780104712,HOLD,1
2024-02-23,V3,0.9793193717,HOLD,1
2024-02-26,V3,0.9795811518,HOLD,1
2024-02-27,V3,0.9583769634,HOLD,1
2024-02-28,V3,0.9748691099,HOLD,1
2024-02-29,V3,0.9719895288,HOLD,1
2024-03-04,V3,0.9963350785,HOLD,1
2024-03-05,V3,0.9884816754,HOLD,1
2024-03-06,V3,0.9808900524,HOLD,1
2024-03-07,V3,0.9892670157,HOLD,1
2024-03-08,V3,1.0117801047,HOLD,1
2024-03-11,V3,1.0010471204,HOLD,1
2024-03-12,V3,1.0209424084,HOLD,1
2024-03-13,V3,1.0206806283,HOLD,1
2024-03-14,V3,1.0128272251,HOLD,1
2024-03-15,V3,0.9945026178,HOLD,1
2024-03-18,V3,1.0107329843,HOLD,1
2024-03-19,V3,1.0068062827,HOLD,1
2024-03-20,V3,1.0109947644,HOLD,1
2024-03-21,V3,1.0455497382,HOLD,1
2024-03-22,V3,1.047382199,HOLD,1
2024-03-25,V3,1.05,HOLD,1
2024-03-26,V3,1.0641361257,HOLD,1
2024-03-27,V3,1.0793193717,HOLD,1
2024-03-28,V3,1.0866492147,HOLD,1
2024-03-29,V3,1.0942408377,HOLD,1
2024-04-01,V3,1.1028795812,HOLD,1
2024-04-02,V3,1.1070680628,HOLD,1
2024-04-03,V3,1.0780104712,HOLD,1
2024-04-04,V3,1.1083769634,HOLD,1
2024-04-05,V3,1.0890052356,HOLD,1
2024-04-08,V3,1.0814136126,HOLD,1
2024-04-09,V3,1.077486911,HOLD,1
2024-04-11,V3,1.0884816754,HOLD,1
2024-04-12,V3,1.0871727749,HOLD,1
2024-04-15,V3,1.0764397906,HOLD,1
2024-04-16,V3,1.0390052356,HOLD,1
2024-04-17,V3,1.0329842932,HOLD,1
2024-04-18,V3,1.054973822,HOLD,1
2024-04-19,V3,1.0243455497,HOLD,1
2024-04-22,V3,1.0204188482,HOLD,1
2024-04-23,V3,1.0104712042,HOLD,1
2024-04-24,V3,1.0497382199,HOLD,1
2024-04-25,V3,1.0235602094,HOLD,1
2024-04-26,V3,1.0376963351,HOLD,1
2024-04-29,V3,1.0413612565,HOLD,1
2024-04-30,V3,1.0465968586,HOLD,1
2024-05-02,V3,1.0465968586,HOLD,1
2024-05-03,V3,1.0442408377,HOLD,1
2024-05-07,V3,1.0738219895,HOLD,1
2024-05-08,V3,1.0691099476,HOLD,1
2024-05-09,V3,1.054973822,HOLD,1
2024-05-10,V3,1.054973822,HOLD,1
2024-05-13,V3,1.0565445026,HOLD,1
2024-05-14,V3,1.0664921466,HOLD,1
2024-05-16,V3,1.0861256545,HOLD,1
2024-05-17,V3,1.0696335079,HOLD,1
2024-05-20,V3,1.0753926702,HOLD,1
2024-05-21,V3,1.0761780105,HOLD,1
2024-05-22,V3,1.0835078534,HOLD,1
2024-05-23,V3,1.0895287958,HOLD,1
2024-05-24,V3,1.0722513089,HOLD,1
2024-05-27,V3,1.0945026178,HOLD,1
2024-05-28,V3,1.0986910995,HOLD,1
2024-05-29,V3,1.0842931937,HOLD,1
2024-05-30,V3,1.0628272251,HOLD,1
2024-05-31,V3,1.0489528796,HOLD,1
2024-06-03,V3,1.0615183246,HOLD,1
2024-06-04,V3,1.057591623,HOLD,1
2024-06-05,V3,1.0693717277,HOLD,1
2024-06-07,V3,1.0968586387,HOLD,1
2024-06-10,V3,1.0942408377,HOLD,1
2024-06-11,V3,1.097382199,HOLD,1
2024-06-12,V3,1.1178010471,HOLD,1
2024-06-13,V3,1.137434555,HOLD,1
2024-06-14,V3,1.1306282723,HOLD,1
2024-06-17,V3,1.1256544503,HOLD,1
2024-06-18,V3,1.1484293194,HOLD,1
2024-06-19,V3,1.1560209424,HOLD,1
2024-06-20,V3,1.1654450262,HOLD,1
2024-06-21,V3,1.1463350785,HOLD,1
2024-06-24,V3,1.127486911,HOLD,1
2024-06-25,V3,1.1282722513,HOLD,1
2024-06-26,V3,1.1536649215,HOLD,1
2024-06-27,V3,1.1458115183,HOLD,1
2024-06-28,V3,1.1497382199,HOLD,1
2024-07-01,V3,1.1565445026,HOLD,1
2024-07-02,V3,1.1410994764,HOLD,1
2024-07-03,V3,1.1510471204,HOLD,1
2024-07-04,V3,1.1562827225,HOLD,1
2024-07-05,V3,1.1787958115,HOLD,1
2024-07-08,V3,1.1756544503,HOLD,1
2024-07-09,V3,1.1863874346,HOLD,1
2024-07-10,V3,1.1835078534,HOLD,1
2024-07-11,V3,1.192408377,HOLD,1
2024-07-12,V3,1.1651832461,HOLD,1
2024-07-15,V3,1.162565445,HOLD,1
2024-07-16,V3,1.1691099476,HOLD,1
2024-07-17,V3,1.1342931937,HOLD,1
2024-07-18,V3,1.117539267,HOLD,1
2024-07-19,V3,1.1054973822,HOLD,1
2024-07-22,V3,1.0732984293,HOLD,1
2024-07-23,V3,1.0712041885,HOLD,1
2024-07-24,V3,1.0704188482,HOLD,1
2024-07-25,V3,1.0264397906,HOLD,1
2024-07-26,V3,1.0269633508,HOLD,1
2024-07-29,V3,1.0371727749,FLAT,0
2024-07-30,V3,1.0371727749,FLAT,0
2024-07-31,V3,1.0371727749,FLAT,0
2024-08-01,V3,1.0371727749,FLAT,0
2024-08-02,V3,1.0371727749,FLAT,0
2024-08-05,V3,1.0371727749,FLAT,0
2024-08-06,V3,1.0371727749,FLAT,0
2024-08-07,V3,1.0371727749,FLAT,0
2024-08-08,V3,1.0371727749,FLAT,0
2024-08-09,V3,1.0371727749,FLAT,0
2024-08-12,V3,1.0371727749,FLAT,0
2024-08-13,V3,1.0371727749,FLAT,0
2024-08-14,V3,1.0371727749,FLAT,0
2024-08-16,V3,1.0371727749,FLAT,0
2024-08-19,V3,1.0371727749,FLAT,0
2024-08-20,V3,1.0371727749,FLAT,0
2024-08-21,V3,1.0371727749,FLAT,0
2024-08-22,V3,1.0371727749,FLAT,0
2024-08-23,V3,1.0371727749,FLAT,0
2024-08-26,V3,1.0371727749,FLAT,0
2024-08-27,V3,1.0371727749,FLAT,0
2024-08-28,V3,1.0371727749,FLAT,0
2024-08-29,V3,1.0371727749,FLAT,0
2024-08-30,V3,1.0371727749,FLAT,0
2024-09-02,V3,1.0371727749,FLAT,0
2024-09-03,V3,1.0371727749,FLAT,0
2024-09-04,V3,1.0371727749,FLAT,0
2024-09-05,V3,1.0371727749,FLAT,0
2024-09-06,V3,1.0371727749,FLAT,0
2024-09-09,V3,1.0371727749,FLAT,0
2024-09-10,V3,1.0371727749,FLAT,0
2024-09-11,V3,1.0371727749,FLAT,0
2024-09-12,V3,1.0371727749,FLAT,0
2024-09-13,V3,1.0371727749,FLAT,0
2024-09-19,V3,1.0371727749,FLAT,0
2024-09-20,V3,1.0371727749,FLAT,0
2024-09-23,V3,1.0371727749,FLAT,0
2024-09-24,V3,1.0371727749,FLAT,0
2024-09-25,V3,1.0371727749,FLAT,0
2024-09-26,V3,1.0371727749,FLAT,0
2024-09-27,V3,1.0371727749,FLAT,0
2024-09-30,V3,1.0371727749,FLAT,0
2024-10-02,V3,1.0371727749,FLAT,0
2024-10-04,V3,1.0371727749,FLAT,0
2024-10-07,V3,1.0371727749,FLAT,0
2024-10-08,V3,1.0371727749,FLAT,0
2024-10-10,V3,1.0371727749,FLAT,0
2024-10-11,V3,1.0371727749,FLAT,0
2024-10-14,V3,1.0371727749,FLAT,0
2024-10-15,V3,1.0371727749,FLAT,0
2024-10-16,V3,1.0371727749,FLAT,0
2024-10-17,V3,1.0371727749,FLAT,0
2024-10-18,V3,1.0371727749,FLAT,0
2024-10-21,V3,1.0371727749,FLAT,0
2024-10-22,V3,1.0371727749,FLAT,0
2024-10-23,V3,1.0371727749,FLAT,0
2024-10-24,V3,1.0371727749,FLAT,0
2024-10-25,V3,1.0371727749,FLAT,0
2024-10-28,V3,1.0371727749,FLAT,0
2024-10-29,V3,1.0371727749,FLAT,0
2024-10-30,V3,1.0371727749,FLAT,0
2024-10-31,V3,1.0371727749,FLAT,0
2024-11-01,V3,1.0371727749,FLAT,0
2024-11-04,V3,1.0371727749,FLAT,0
2024-11-05,V3,1.0371727749,FLAT,0
2024-11-06,V3,1.0371727749,FLAT,0
2024-11-07,V3,1.0371727749,FLAT,0
2024-11-08,V3,1.0371727749,FLAT,0
2024-11-11,V3,1.0371727749,FLAT,0
2024-11-12,V3,1.0371727749,FLAT,0
2024-11-13,V3,1.0371727749,FLAT,0
2024-11-14,V3,1.0371727749,FLAT,0
2024-11-15,V3,1.0371727749,FLAT,0
2024-11-18,V3,1.0371727749,FLAT,0
2024-11-19,V3,1.0371727749,FLAT,0
2024-11-20,V3,1.0371727749,FLAT,0
2024-11-21,V3,1.0371727749,FLAT,0
2024-11-22,V3,1.0371727749,FLAT,0
2024-11-25,V3,1.0371727749,FLAT,0
2024-11-26,V3,1.0371727749,FLAT,0
2024-11-27,V3,1.0371727749,FLAT,0
2024-11-28,V3,1.0371727749,FLAT,0
2024-11-29,V3,1.0371727749,FLAT,0
2024-12-02,V3,1.0371727749,FLAT,0
2024-12-03,V3,1.0371727749,FLAT,0
2024-12-04,V3,1.0371727749,FLAT,0
2024-12-05,V3,1.0371727749,FLAT,0
2024-12-06,V3,1.0371727749,FLAT,0
2024-12-09,V3,1.0371727749,FLAT,0
2024-12-10,V3,1.0371727749,FLAT,0
2024-12-11,V3,1.0371727749,FLAT,0
2024-12-12,V3,1.0371727749,FLAT,0
2024-12-13,V3,1.0371727749,FLAT,0
2024-12-16,V3,1.0371727749,FLAT,0
2024-12-17,V3,1.0371727749,FLAT,0
2024-12-18,V3,1.0371727749,FLAT,0
2024-12-19,V3,1.0371727749,FLAT,0
2024-12-20,V3,1.0371727749,FLAT,0
2024-12-23,V3,1.0371727749,FLAT,0
2024-12-24,V3,1.0371727749,FLAT,0
2024-12-26,V3,1.0371727749,FLAT,0
2024-12-27,V3,1.0371727749,FLAT,0
2024-12-30,V3,1.0371727749,FLAT,0
2025-01-02,V3,1.0371727749,FLAT,0
2025-01-03,V3,1.0371727749,FLAT,0
2025-01-06,V3,1.0371727749,FLAT,0
2025-01-07,V3,1.0371727749,FLAT,0
2025-01-08,V3,1.0371727749,FLAT,0
2025-01-09,V3,1.0371727749,FLAT,0
2025-01-10,V3,1.0371727749,FLAT,0
2025-01-13,V3,1.0371727749,FLAT,0
2025-01-14,V3,1.0371727749,FLAT,0
2025-01-15,V3,1.0371727749,FLAT,0
2025-01-16,V3,1.0371727749,FLAT,0
2025-01-17,V3,1.0371727749,FLAT,0
2025-01-20,V3,1.0371727749,FLAT,0
2025-01-21,V3,1.0371727749,FLAT,0
2025-01-22,V3,1.0371727749,FLAT,0
2025-01-23,V3,1.0371727749,FLAT,0
2025-01-24,V3,1.0371727749,FLAT,0
2025-01-31,V3,1.0371727749,FLAT,0
2025-02-03,V3,1.0371727749,FLAT,0
2025-02-04,V3,1.0371727749,FLAT,0
2025-02-05,V3,1.0371727749,FLAT,0
2025-02-06,V3,1.0371727749,FLAT,0
2025-02-07,V3,1.0371727749,FLAT,0
2025-02-10,V3,1.0371727749,FLAT,0
2025-02-11,V3,1.0371727749,FLAT,0
2025-02-12,V3,1.0371727749,FLAT,0
2025-02-13,V3,1.0371727749,FLAT,0
2025-02-14,V3,1.0371727749,FLAT,0
2025-02-17,V3,1.0371727749,FLAT,0
2025-02-18,V3,1.0371727749,FLAT,0
2025-02-19,V3,1.0371727749,FLAT,0
2025-02-20,V3,1.0371727749,FLAT,0
2025-02-21,V3,1.0371727749,FLAT,0
2025-02-24,V3,1.0371727749,FLAT,0
2025-02-25,V3,1.0371727749,FLAT,0
2025-02-26,V3,1.0371727749,FLAT,0
2025-02-27,V3,1.0371727749,FLAT,0
2025-02-28,V3,1.0371727749,FLAT,0
2025-03-04,V3,1.0371727749,FLAT,0
2025-03-05,V3,1.0371727749,FLAT,0
