ticker,name,strategy,entry_signal_date,entry_execution_date,entry_open,exit_date,exit_type,return,mfe,mae
144960,144960,BASELINE_V2,2025-10-24,2025-10-27,6740.0,2025-11-17,LOSS_GUARD_CLOSE_LE_NEG_15,-18.84,0.0,-19.14
144960,144960,BASELINE_V2,2026-05-08,2026-05-11,7420.0,,NO_EXIT_BEFORE_CUTOFF,50.54,78.98,-11.86
170900,170900,BASELINE_V2,2025-12-12,2025-12-15,54172.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-12.85,4.22,-20.78
195940,195940,BASELINE_V2,2026-03-27,2026-03-30,51100.0,2026-06-04,LOSS_GUARD_CLOSE_LE_NEG_15,-17.12,9.2,-17.91
200670,200670,BASELINE_V2,2024-12-20,2024-12-23,42000.0,2025-01-24,LOSS_GUARD_CLOSE_LE_NEG_15,-15.24,10.6,-15.83
200670,200670,BASELINE_V2,2025-05-23,2025-05-26,54100.0,2026-04-01,EXIT3_PROGRESSED_TO_WEAK,-36.51,42.7,-38.45
203650,203650,BASELINE_V2,2025-01-03,2025-01-06,2031.0,2025-01-14,LOSS_GUARD_CLOSE_LE_NEG_15,-20.04,9.01,-20.04
204320,204320,BASELINE_V2,2025-11-28,2025-12-01,49500.0,2026-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,0.0,59.8,-11.82
207940,207940,BASELINE_V2,2024-02-02,2024-02-05,1252454.0,,NO_EXIT_BEFORE_CUTOFF,23.6,58.65,-15.28
213420,213420,BASELINE_V2,2026-03-27,2026-03-30,50100.0,2026-04-08,LOSS_GUARD_CLOSE_LE_NEG_15,-11.68,6.79,-17.86
214320,214320,BASELINE_V2,2026-02-13,2026-02-19,20350.0,,NO_PROGRESSED_BEFORE_CUTOFF,-5.01,11.3,-13.91
227840,227840,BASELINE_V2,2026-05-08,2026-05-11,13800.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-14.49,0.65,-16.45
232680,232680,BASELINE_V2,2025-12-26,2025-12-29,11300.0,2026-04-01,EXIT4_SCORE_DRAWDOWN_GE_15,24.34,111.95,-2.57
236200,236200,BASELINE_V2,2025-04-25,2025-04-28,31800.0,2026-03-03,EXIT4_SCORE_DRAWDOWN_GE_15,48.43,63.21,-5.03
237690,237690,BASELINE_V2,2026-01-16,2026-01-19,123100.0,,NO_EXIT_BEFORE_CUTOFF,-13.57,39.81,-31.68
241560,241560,BASELINE_V2,2026-04-10,2026-04-13,68500.0,,NO_EXIT_BEFORE_CUTOFF,-3.5,16.35,-17.96
263750,263750,BASELINE_V2,2026-01-23,2026-01-26,46000.0,2026-07-01,EXIT3_PROGRESSED_TO_WEAK,-21.09,68.26,-27.61
264660,264660,BASELINE_V2,2025-12-26,2025-12-29,17180.0,2026-08-03,EXIT3_PROGRESSED_TO_TRANSITION,-29.8,51.92,-42.67
