ticker,signal_reference_date,market_cap_value,source_type,proxy_method,anchor_date,anchor_age_days,anchor_market_cap,anchor_listed_shares,anchor_close,target_price_date,target_close,close_semantics,estimated_market_cap,market_cap_threshold,market_cap_status,near_threshold,confidence_class,posthoc_next_anchor_date,posthoc_next_anchor_shares,posthoc_share_change_flag,failure_reason
174900,2025-10-17,357992793750.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,112,196657374700.0,,10300.0,2025-10-17,18750.0,ADJUSTED_CLOSE,357992793750.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
176750,2026-02-20,315283837600.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,238,292519661600.0,,10280.0,2026-02-20,11080.0,ADJUSTED_CLOSE,315283837600.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
178320,2025-10-17,1403386452300.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,112,1189644227100.0,,21150.0,2025-10-17,24950.0,ADJUSTED_CLOSE,1403386452300.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
178920,2026-04-17,756182791500.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,294,510974002800.0,,17400.0,2026-04-17,25750.0,ADJUSTED_CLOSE,756182791500.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
180400,2026-03-20,242405702600.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,266,93861456824.0,,1907.0,2026-03-20,4925.0,ADJUSTED_CLOSE,242405702600.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
181710,2025-05-02,742854706000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,35,610491503840.0,,18080.0,2025-05-02,22000.0,ADJUSTED_CLOSE,742854706000.0,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,2025-06-27,,,
183190,2025-06-13,452902737420.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,77,382905238320.0,,10120.0,2025-06-13,11970.0,ADJUSTED_CLOSE,452902737420.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
183300,2025-04-18,648571292800.894,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,21,597305056400.0,,29081.0,2025-04-18,31577.0,ADJUSTED_CLOSE,648571292800.894,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,2025-06-27,,,
187870,2025-11-21,99006647989.33517,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,147,79513681700.0,,5776.0,2025-11-21,7192.0,ADJUSTED_CLOSE,99006647989.33517,100000000000.0,FAIL,True,LOW_CONFIDENCE_PROXY,,,,
187870,2025-11-28,100493399655.47092,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,154,79513681700.0,,5776.0,2025-11-28,7300.0,ADJUSTED_CLOSE,100493399655.47092,100000000000.0,PASS,True,LOW_CONFIDENCE_PROXY,,,,
190510,2025-08-01,215720945960.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,35,201329759640.0,,13710.0,2025-08-01,14690.0,ADJUSTED_CLOSE,215720945960.0,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,,,,
190650,2025-05-02,40372160000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,35,38455760000.0,,6020.0,2025-05-02,6320.0,ADJUSTED_CLOSE,40372160000.0,100000000000.0,FAIL,False,HIGH_CONFIDENCE_PROXY,2025-06-27,,,
190650,2025-05-09,39988880000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,42,38455760000.0,,6020.0,2025-05-09,6260.0,ADJUSTED_CLOSE,39988880000.0,100000000000.0,FAIL,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
190650,2025-05-16,41202600000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,49,38455760000.0,,6020.0,2025-05-16,6450.0,ADJUSTED_CLOSE,41202600000.0,100000000000.0,FAIL,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
190650,2025-05-23,42288560000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,56,38455760000.0,,6020.0,2025-05-23,6620.0,ADJUSTED_CLOSE,42288560000.0,100000000000.0,FAIL,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
190650,2025-05-30,43885560000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,63,38455760000.0,,6020.0,2025-05-30,6870.0,ADJUSTED_CLOSE,43885560000.0,100000000000.0,FAIL,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
190650,2025-06-13,47462840000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,77,38455760000.0,,6020.0,2025-06-13,7430.0,ADJUSTED_CLOSE,47462840000.0,100000000000.0,FAIL,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
190650,2025-06-20,49379240000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,84,38455760000.0,,6020.0,2025-06-20,7730.0,ADJUSTED_CLOSE,49379240000.0,100000000000.0,FAIL,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
190650,2025-06-27,51742800000.0,ACTUAL_KRX,,2025-06-27,0,51742800000.0,,,2025-06-27,,ADJUSTED_CLOSE,51742800000.0,100000000000.0,FAIL,False,OFFICIAL_AUTHORITATIVE,,,,
190650,2026-01-30,49698640000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,217,51742800000.0,,8100.0,2026-01-30,7780.0,ADJUSTED_CLOSE,49698640000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
