strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,069500,2024-06-07,2024-06-10,36805.0,2025-04-09,2025-04-10,32740.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-11.04,9.2,-16.21,204,20.24,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-04-10,32740.0
V3,069500,2024-06-07,2024-06-10,36805.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,162.51,314.22,-16.21,520,151.71,6,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-06-14,2024-06-17,37470.0,2024-12-09,2024-12-10,31840.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.03,7.26,-15.93,120,22.29,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-12-10,31840.0
V3,069500,2024-06-14,2024-06-17,37470.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,157.85,306.87,-17.69,515,149.02,7,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-06-21,2024-06-24,37950.0,2024-11-13,2024-11-14,32035.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.59,5.9,-15.84,97,21.49,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-11-14,32035.0
V3,069500,2024-06-21,2024-06-24,37950.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,154.58,301.73,-18.74,510,147.15,8,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-08-02,2024-08-05,35660.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,158.09,168.42,-13.52,379,10.33,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,92035.0
V3,069500,2024-08-02,2024-08-05,35660.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,170.93,327.52,-13.52,480,156.59,9,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-08-16,2024-08-19,37000.0,2025-04-09,2025-04-10,32740.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-11.51,0.28,-16.65,155,11.79,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-04-10,32740.0
V3,069500,2024-08-16,2024-08-19,37000.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,161.12,312.04,-16.65,471,150.92,10,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
