variant,checkpoint,checkpoint_index,recovery_class,metric,count,mean,median,p25,p75
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,weak_share_usable,198,0.993266,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,consecutive_weak_streak,198,2.954545,3.0,3.0,3.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,arm_to_checkpoint_close_delta_pp,151,3.006347,2.267003,-2.700693,7.156474
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,post_arm_additional_close_deterioration_pp,151,4.059291,2.55201,0.0,6.701052
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,post_arm_running_min_close_return_pct,151,-29.900082,-28.489209,-32.594366,-26.293447
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,post_arm_additional_low_deterioration_pp,151,4.907188,3.578529,0.925926,7.639702
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,weak_observation_count,151,3.933775,4.0,4.0,4.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,strong_observation_count,151,0.066225,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,unavailable_observation_count,151,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,weak_share_usable,151,0.983444,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,consecutive_weak_streak,151,3.834437,4.0,4.0,4.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,196,0.884976,0.02555,-3.603622,5.726271
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,post_arm_additional_close_deterioration_pp,196,4.409845,3.473963,0.28669,7.261363
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,post_arm_running_min_close_return_pct,196,-30.695674,-30.052177,-33.83833,-26.869114
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,post_arm_additional_low_deterioration_pp,196,5.312648,4.52669,1.227815,8.113601
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,weak_observation_count,196,3.964286,4.0,4.0,4.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,strong_observation_count,196,0.035714,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,unavailable_observation_count,196,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,weak_share_usable,196,0.991071,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,consecutive_weak_streak,196,3.923469,4.0,4.0,4.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,arm_to_checkpoint_close_delta_pp,148,2.460398,2.401756,-3.369239,6.98095
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,post_arm_additional_close_deterioration_pp,148,5.001191,3.62158,0.551698,7.820678
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,post_arm_running_min_close_return_pct,148,-31.004461,-30.182609,-33.943976,-26.959481
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,post_arm_additional_low_deterioration_pp,148,5.876578,4.615888,1.788749,8.605242
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,weak_observation_count,148,5.905405,6.0,6.0,6.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,strong_observation_count,148,0.094595,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,unavailable_observation_count,148,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,weak_share_usable,148,0.984234,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,consecutive_weak_streak,148,5.77027,6.0,6.0,6.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,195,0.460874,1.0,-3.875805,4.997535
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,post_arm_additional_close_deterioration_pp,195,5.699098,4.608789,0.400444,8.283343
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,post_arm_running_min_close_return_pct,195,-32.022534,-30.939948,-35.182452,-27.507862
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,post_arm_additional_low_deterioration_pp,195,6.684252,5.529954,1.611239,9.81956
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,weak_observation_count,195,5.912821,6.0,6.0,6.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,strong_observation_count,195,0.087179,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,unavailable_observation_count,195,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,weak_share_usable,195,0.98547,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,consecutive_weak_streak,195,5.8,6.0,6.0,6.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,arm_to_checkpoint_close_delta_pp,145,1.797168,0.555247,-4.550626,7.566766
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,post_arm_additional_close_deterioration_pp,145,5.763443,4.21147,0.784754,10.325203
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,post_arm_running_min_close_return_pct,145,-31.84071,-30.600462,-36.144578,-27.223427
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,post_arm_additional_low_deterioration_pp,145,6.602299,5.116062,1.958042,11.083744
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,weak_observation_count,145,7.855172,8.0,8.0,8.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,strong_observation_count,145,0.144828,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,unavailable_observation_count,145,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,weak_share_usable,145,0.981897,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,consecutive_weak_streak,145,7.62069,8.0,8.0,8.0
