variant,checkpoint,checkpoint_index,recovery_class,censor_reason,count,rate_pct,total_count,eligible_count,censored_count
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,RECOVERY_ALREADY_REACHED_MFE20,1,0.847458,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,IDENTITY_OR_SUPPORT_END,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,NONE,179,100.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,RECOVERY_ALREADY_REACHED_MFE20,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,IDENTITY_OR_SUPPORT_END,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,NONE,117,99.152542,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,RECOVERY_ALREADY_REACHED_MFE20,1,0.847458,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,IDENTITY_OR_SUPPORT_END,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,NONE,179,100.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,RECOVERY_ALREADY_REACHED_MFE20,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,IDENTITY_OR_SUPPORT_END,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,NONE,117,99.152542,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,RECOVERY_ALREADY_REACHED_MFE20,1,0.847458,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,IDENTITY_OR_SUPPORT_END,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,NONE,175,97.765363,179,175,4
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,RECOVERY_ALREADY_REACHED_MFE20,0,0.0,179,175,4
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,IDENTITY_OR_SUPPORT_END,0,0.0,179,175,4
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,NO_COMPLETED_WEEKLY_OBSERVATION,4,2.234637,179,175,4
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,NONE,117,99.152542,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,RECOVERY_ALREADY_REACHED_MFE20,1,0.847458,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,IDENTITY_OR_SUPPORT_END,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,118,117,1
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,NONE,170,94.972067,179,170,9
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,RECOVERY_ALREADY_REACHED_MFE20,0,0.0,179,170,9
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,IDENTITY_OR_SUPPORT_END,0,0.0,179,170,9
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,NO_COMPLETED_WEEKLY_OBSERVATION,9,5.027933,179,170,9
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,NONE,116,98.305085,118,116,2
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,RECOVERY_ALREADY_REACHED_MFE20,2,1.694915,118,116,2
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,IDENTITY_OR_SUPPORT_END,0,0.0,118,116,2
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,118,116,2
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,NONE,160,89.385475,179,160,19
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,RECOVERY_ALREADY_REACHED_MFE20,0,0.0,179,160,19
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,IDENTITY_OR_SUPPORT_END,0,0.0,179,160,19
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,NO_COMPLETED_WEEKLY_OBSERVATION,19,10.614525,179,160,19
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,NONE,113,95.762712,118,113,5
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,RECOVERY_ALREADY_REACHED_MFE20,5,4.237288,118,113,5
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,IDENTITY_OR_SUPPORT_END,0,0.0,118,113,5
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,118,113,5
