variant,checkpoint,checkpoint_index,recovery_class,fast_state,fast_bucket,count,rate_pct,eligible_denominator
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,SETUP,WEAK,67,34.358974,195
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,TREND,STRONG,4,2.051282,195
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,TRIGGER,STRONG,2,1.025641,195
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,195
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,NEVER_WINNER,WATCH,WEAK,122,62.564103,195
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,EXTENDED,STRONG,0,0.0,145
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,SETUP,WEAK,50,34.482759,145
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,TREND,STRONG,3,2.068966,145
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,TRIGGER,STRONG,3,2.068966,145
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,145
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,WATCH,WEAK,89,61.37931,145
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,EXTENDED,STRONG,0,0.0,179
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,SETUP,WEAK,60,33.519553,179
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,TREND,STRONG,5,2.793296,179
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,TRIGGER,STRONG,3,1.675978,179
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,179
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,WATCH,WEAK,111,62.011173,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,EXTENDED,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,SETUP,WEAK,29,24.786325,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,TREND,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,TRIGGER,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,WATCH,WEAK,88,75.213675,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,EXTENDED,STRONG,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,SETUP,WEAK,50,27.932961,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,TREND,STRONG,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,TRIGGER,STRONG,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,WATCH,WEAK,129,72.067039,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,EXTENDED,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,SETUP,WEAK,30,25.641026,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,TREND,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,TRIGGER,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,RECOVERY,WATCH,WEAK,87,74.358974,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,EXTENDED,STRONG,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,SETUP,WEAK,47,26.256983,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,TREND,STRONG,1,0.558659,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,TRIGGER,STRONG,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,WATCH,WEAK,131,73.184358,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,EXTENDED,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,SETUP,WEAK,31,26.495726,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,TREND,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,TRIGGER,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,117
