ticker,probe_iteration,requested_start,requested_end,row_count,violating_date_count,violating_dates,violating_values,response_hash,same_as_previous_iteration,error_classification
001060,2,2010-01-04,2026-08-21,2996,95,"['2014-06-12', '2014-06-13', '2014-06-30', '2014-07-04', '2014-08-28']","[{'date': '2014-06-12', 'open': 12347.0, 'high': 12347.0, 'low': 12085.0, 'close': 12352.0, 'violation': 'close > high'}, {'date': '2014-06-13', 'open': 12347.0, 'high': 12423.0, 'low': 12196.0, 'close': 12427.0, 'violation': 'close > high'}, {'date': '2014-06-30', 'open': 12085.0, 'high': 12423.0, 'low': 12010.0, 'close': 12427.0, 'violation': 'close > high'}]",c59615c86760f1a72a8620805dc091c0c8de49e67a486411661ade3ee1b1fae2,True,PROVIDER_INVALID_ADJUSTED_OHLC
001060,3,2010-01-04,2026-08-21,2996,95,"['2014-06-12', '2014-06-13', '2014-06-30', '2014-07-04', '2014-08-28']","[{'date': '2014-06-12', 'open': 12347.0, 'high': 12347.0, 'low': 12085.0, 'close': 12352.0, 'violation': 'close > high'}, {'date': '2014-06-13', 'open': 12347.0, 'high': 12423.0, 'low': 12196.0, 'close': 12427.0, 'violation': 'close > high'}, {'date': '2014-06-30', 'open': 12085.0, 'high': 12423.0, 'low': 12010.0, 'close': 12427.0, 'violation': 'close > high'}]",c59615c86760f1a72a8620805dc091c0c8de49e67a486411661ade3ee1b1fae2,True,PROVIDER_INVALID_ADJUSTED_OHLC
001260,1,2010-01-04,2026-08-21,2996,16,"['2014-06-24', '2014-06-27', '2014-06-30', '2014-09-15', '2014-09-16']","[{'date': '2014-06-24', 'open': 223536.0, 'high': 245748.0, 'low': 222147.0, 'close': 245752.0, 'violation': 'close > high'}, {'date': '2014-06-27', 'open': 190208.0, 'high': 190208.0, 'low': 190208.0, 'close': 190215.0, 'violation': 'close > high'}, {'date': '2014-06-30', 'open': 161748.0, 'high': 161748.0, 'low': 161748.0, 'close': 161752.0, 'violation': 'close > high'}]",5ddf02cebcc3b0848209dd3ebd412c73ccb3ff343eec19b1c94a8c5bba8516f9,True,PROVIDER_INVALID_ADJUSTED_OHLC
001260,2,2010-01-04,2026-08-21,2996,16,"['2014-06-24', '2014-06-27', '2014-06-30', '2014-09-15', '2014-09-16']","[{'date': '2014-06-24', 'open': 223536.0, 'high': 245748.0, 'low': 222147.0, 'close': 245752.0, 'violation': 'close > high'}, {'date': '2014-06-27', 'open': 190208.0, 'high': 190208.0, 'low': 190208.0, 'close': 190215.0, 'violation': 'close > high'}, {'date': '2014-06-30', 'open': 161748.0, 'high': 161748.0, 'low': 161748.0, 'close': 161752.0, 'violation': 'close > high'}]",5ddf02cebcc3b0848209dd3ebd412c73ccb3ff343eec19b1c94a8c5bba8516f9,True,PROVIDER_INVALID_ADJUSTED_OHLC
001260,3,2010-01-04,2026-08-21,2996,16,"['2014-06-24', '2014-06-27', '2014-06-30', '2014-09-15', '2014-09-16']","[{'date': '2014-06-24', 'open': 223536.0, 'high': 245748.0, 'low': 222147.0, 'close': 245752.0, 'violation': 'close > high'}, {'date': '2014-06-27', 'open': 190208.0, 'high': 190208.0, 'low': 190208.0, 'close': 190215.0, 'violation': 'close > high'}, {'date': '2014-06-30', 'open': 161748.0, 'high': 161748.0, 'low': 161748.0, 'close': 161752.0, 'violation': 'close > high'}]",5ddf02cebcc3b0848209dd3ebd412c73ccb3ff343eec19b1c94a8c5bba8516f9,True,PROVIDER_INVALID_ADJUSTED_OHLC
001340,1,2010-01-04,2026-08-21,2996,15,"['2014-06-19', '2014-07-02', '2014-07-08', '2014-07-09', '2014-07-31']","[{'date': '2014-06-19', 'open': 3583.0, 'high': 3655.0, 'low': 3505.0, 'close': 3657.0, 'violation': 'close > high'}, {'date': '2014-07-02', 'open': 3259.0, 'high': 3321.0, 'low': 3202.0, 'close': 3323.0, 'violation': 'close > high'}, {'date': '2014-07-08', 'open': 3228.0, 'high': 3363.0, 'low': 3228.0, 'close': 3365.0, 'violation': 'close > high'}]",079b02c41a66bc21c4bff6ad24619869b41f5633aae888b827ae1d2ec2e92080,True,PROVIDER_INVALID_ADJUSTED_OHLC
001340,2,2010-01-04,2026-08-21,2996,15,"['2014-06-19', '2014-07-02', '2014-07-08', '2014-07-09', '2014-07-31']","[{'date': '2014-06-19', 'open': 3583.0, 'high': 3655.0, 'low': 3505.0, 'close': 3657.0, 'violation': 'close > high'}, {'date': '2014-07-02', 'open': 3259.0, 'high': 3321.0, 'low': 3202.0, 'close': 3323.0, 'violation': 'close > high'}, {'date': '2014-07-08', 'open': 3228.0, 'high': 3363.0, 'low': 3228.0, 'close': 3365.0, 'violation': 'close > high'}]",079b02c41a66bc21c4bff6ad24619869b41f5633aae888b827ae1d2ec2e92080,True,PROVIDER_INVALID_ADJUSTED_OHLC
001340,3,2010-01-04,2026-08-21,2996,15,"['2014-06-19', '2014-07-02', '2014-07-08', '2014-07-09', '2014-07-31']","[{'date': '2014-06-19', 'open': 3583.0, 'high': 3655.0, 'low': 3505.0, 'close': 3657.0, 'violation': 'close > high'}, {'date': '2014-07-02', 'open': 3259.0, 'high': 3321.0, 'low': 3202.0, 'close': 3323.0, 'violation': 'close > high'}, {'date': '2014-07-08', 'open': 3228.0, 'high': 3363.0, 'low': 3228.0, 'close': 3365.0, 'violation': 'close > high'}]",079b02c41a66bc21c4bff6ad24619869b41f5633aae888b827ae1d2ec2e92080,True,PROVIDER_INVALID_ADJUSTED_OHLC
001360,1,2010-01-04,2026-08-21,2996,24,"['2014-07-16', '2014-08-14', '2014-08-18', '2014-09-24', '2014-10-14']","[{'date': '2014-07-16', 'open': 2192.0, 'high': 2207.0, 'low': 2031.0, 'close': 2208.0, 'violation': 'close > high'}, {'date': '2014-08-14', 'open': 2180.0, 'high': 2519.0, 'low': 2168.0, 'close': 2520.0, 'violation': 'close > high'}, {'date': '2014-08-18', 'open': 2595.0, 'high': 2889.0, 'low': 2591.0, 'close': 2890.0, 'violation': 'close > high'}]",6c6e75c81489a55736c25946e985cc7ff1021cbce8179cd5a3c8fba7dc5b9b27,True,PROVIDER_INVALID_ADJUSTED_OHLC
001360,2,2010-01-04,2026-08-21,2996,24,"['2014-07-16', '2014-08-14', '2014-08-18', '2014-09-24', '2014-10-14']","[{'date': '2014-07-16', 'open': 2192.0, 'high': 2207.0, 'low': 2031.0, 'close': 2208.0, 'violation': 'close > high'}, {'date': '2014-08-14', 'open': 2180.0, 'high': 2519.0, 'low': 2168.0, 'close': 2520.0, 'violation': 'close > high'}, {'date': '2014-08-18', 'open': 2595.0, 'high': 2889.0, 'low': 2591.0, 'close': 2890.0, 'violation': 'close > high'}]",6c6e75c81489a55736c25946e985cc7ff1021cbce8179cd5a3c8fba7dc5b9b27,True,PROVIDER_INVALID_ADJUSTED_OHLC
