ticker,isu_cd,market,currently_common,historical_only,requested_start,requested_end,attempt_count,retry_count,acquisition_status,error_type,error_message_sanitized,root_cause_category,classification_reason,probe_required
005420,KR7005420005,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-16 00:00:00'), Timestamp('2014-07-02 00:00:00'), Timestamp('2015-04-03 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005620,KR7005620000,KOSPI,False,True,2010-01-04,2017-08-24,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-02-12 00:00:00'), Timestamp('2010-02-16 00:00:00'), Timestamp('2010-02-18 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
005740,KR7005740006,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2015-05-12 00:00:00')],CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005880,KR7005880000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2020-04-14 00:00:00')],CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005960,KR7005960000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-08-26 00:00:00'), Timestamp('2014-10-29 00:00:00'), Timestamp('2014-11-06 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005980,KR7005980008,KOSPI,False,True,2010-01-04,2018-10-02,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-01-05 00:00:00'), Timestamp('2010-04-26 00:00:00'), Timestamp('2010-06-10 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
006120,KR7006120000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-09-19 00:00:00'), Timestamp('2014-10-02 00:00:00')]",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
006350,KR7006350003,KOSPI,False,True,2010-01-04,2013-07-17,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-08-16 00:00:00'), Timestamp('2010-09-03 00:00:00'), Timestamp('2010-09-09 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
006390,KR7006390009,KOSPI,False,True,2010-01-04,2025-11-20,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2013-08-29 00:00:00'), Timestamp('2013-09-05 00:00:00'), Timestamp('2013-12-20 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
006730,KR7006730006,KOSDAQ,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-11 00:00:00'), Timestamp('2014-06-16 00:00:00'), Timestamp('2014-06-30 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
