ticker,isu_cd,market,currently_common,historical_only,gap_classification,expected_count,actual_count,first_expected_date,last_expected_date,first_actual_date,last_actual_date,leading_missing_count,internal_missing_count,trailing_missing_count,actual_row_count_near_provider_cap,provider_cap_pattern_match,suspension_authority_match_count,internal_missing_count_not_explained_by_suspension,root_cause_category,root_cause_confidence,root_cause_evidence
000830,KR7000830000,KOSPI,False,True,TRAILING_GAP,1414,1401,2010-01-04,2015-09-14,2010-01-04,2015-08-26,0,0,13,False,False,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,MEDIUM,General leading missing pattern (0 dates)
000850,KR7000850008,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000860,KR7000860007,KOSPI,True,False,MIXED_GAP,4095,2987,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,9,0,True,True,0,9,MIXED,MEDIUM,Cap-pattern leading gap with 9 unexplained internal and 0 trailing missing
000880,KR7000880005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000890,KR7000890004,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000910,KR7000910000,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
000950,KR7000950006,KOSPI,True,False,MIXED_GAP,4095,2995,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,1,0,True,True,0,1,MIXED,MEDIUM,Cap-pattern leading gap with 1 unexplained internal and 0 trailing missing
000970,KR7000970004,KOSPI,True,False,MIXED_GAP,4095,2995,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,1,0,True,True,0,1,MIXED,MEDIUM,Cap-pattern leading gap with 1 unexplained internal and 0 trailing missing
000990,KR7000990002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001000,KR7001000009,KOSDAQ,True,False,MIXED_GAP,4095,2979,2010-01-04,2026-08-21,2014-06-09,2026-08-20,1099,16,1,True,True,0,16,MIXED,MEDIUM,Cap-pattern leading gap with 16 unexplained internal and 1 trailing missing
001020,KR7001020007,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001040,KR7001040005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001070,KR7001070002,KOSPI,True,False,MIXED_GAP,4095,2973,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,23,0,True,True,0,23,MIXED,MEDIUM,Cap-pattern leading gap with 23 unexplained internal and 0 trailing missing
001080,KR7001080001,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001120,KR7001120005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001130,KR7001130004,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001200,KR7001200005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001210,KR7001210004,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001230,KR7001230002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001250,KR7001250000,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001270,KR7001270008,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001300,KR7001300003,KOSPI,False,True,TRAILING_GAP,1125,1113,2010-01-04,2014-07-14,2010-01-04,2014-06-26,0,0,12,False,False,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,MEDIUM,General leading missing pattern (0 dates)
001310,KR7001310002,KOSPI,False,True,INTERNAL_GAP,593,588,2010-01-04,2012-05-17,2010-01-04,2012-05-17,0,5,0,False,False,0,5,PROVIDER_DATA_GAP,MEDIUM,Internal missing dates (5) with 5 dates unexplained by suspension authority
001380,KR7001380005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001390,KR7001390004,KOSPI,True,False,MIXED_GAP,4095,2992,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,4,0,True,True,0,4,MIXED,MEDIUM,Cap-pattern leading gap with 4 unexplained internal and 0 trailing missing
001420,KR7001420009,KOSPI,True,False,MIXED_GAP,4095,2995,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,1,0,True,True,0,1,MIXED,MEDIUM,Cap-pattern leading gap with 1 unexplained internal and 0 trailing missing
001430,KR7001430008,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001450,KR7001450006,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001460,KR7001460005,KOSPI,True,False,MIXED_GAP,4095,2991,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,5,0,True,True,0,5,MIXED,MEDIUM,Cap-pattern leading gap with 5 unexplained internal and 0 trailing missing
001470,KR7001470004,KOSPI,True,False,MIXED_GAP,4095,2588,2010-01-04,2026-08-21,2014-06-09,2025-03-31,1099,68,340,True,True,0,68,MIXED,MEDIUM,Cap-pattern leading gap with 68 unexplained internal and 340 trailing missing
001500,KR7001500008,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001510,KR7001510007,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001520,KR7001520006,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001530,KR7001530005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001540,KR7001540004,KOSDAQ,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001550,KR7001550003,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001560,KR7001560002,KOSPI,True,False,MIXED_GAP,4095,2995,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,1,0,True,True,0,1,MIXED,MEDIUM,Cap-pattern leading gap with 1 unexplained internal and 0 trailing missing
001570,KR7001570001,KOSPI,True,False,MIXED_GAP,4095,2649,2010-01-04,2026-08-21,2014-06-09,2025-03-21,1099,1,346,True,True,0,1,MIXED,MEDIUM,Cap-pattern leading gap with 1 unexplained internal and 346 trailing missing
001600,KR7001600006,KOSPI,False,True,INTERNAL_GAP,71,61,2010-01-04,2010-04-14,2010-01-04,2010-04-14,0,10,0,False,False,0,10,PROVIDER_DATA_GAP,MEDIUM,Internal missing dates (10) with 10 dates unexplained by suspension authority
001620,KR7001620004,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001630,KR7001630003,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001680,KR7001680008,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001720,KR7001720002,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001740,KR7001740000,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001750,KR7001750009,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001770,KR7001770007,KOSPI,True,False,MIXED_GAP,4095,2943,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,53,0,True,True,0,53,MIXED,MEDIUM,Cap-pattern leading gap with 53 unexplained internal and 0 trailing missing
001780,KR7001780006,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001800,KR7001800002,KOSPI,True,False,MIXED_GAP,4095,2969,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,27,0,True,True,0,27,MIXED,MEDIUM,Cap-pattern leading gap with 27 unexplained internal and 0 trailing missing
001810,KR7001810001,KOSDAQ,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001820,KR7001820000,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
001840,KR7001840008,KOSDAQ,True,False,MIXED_GAP,4095,2856,2010-01-04,2026-08-21,2014-06-09,2026-01-23,1099,0,140,True,True,0,0,MIXED,MEDIUM,Cap-pattern leading gap with 0 unexplained internal and 140 trailing missing
001880,KR7001880004,KOSPI,False,True,MIXED_GAP,3494,2974,2010-01-04,2024-02-29,2011-12-23,2024-02-07,494,12,14,True,True,0,12,MIXED,MEDIUM,Cap-pattern leading gap with 12 unexplained internal and 14 trailing missing
001940,KR7001940006,KOSPI,True,False,MIXED_GAP,4095,2993,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,3,0,True,True,0,3,MIXED,MEDIUM,Cap-pattern leading gap with 3 unexplained internal and 0 trailing missing
002000,KR7002000008,KOSPI,False,True,INTERNAL_GAP,2209,2183,2010-01-04,2018-12-12,2010-01-04,2018-12-12,0,26,0,False,False,0,26,PROVIDER_DATA_GAP,MEDIUM,Internal missing dates (26) with 26 dates unexplained by suspension authority
002020,KR7002020006,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
002030,KR7002030005,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
002070,KR7002070001,KOSPI,True,False,LEADING_HISTORY_GAP,4095,2996,2010-01-04,2026-08-21,2014-06-09,2026-08-21,1099,0,0,True,True,0,0,PROVIDER_PAGINATION_OR_COUNT_LIMIT,HIGH,Actual rows (2996) near cap starting at 2014-06-09 with 0 unexplained internal missing
