ticker,market,canonical_sector_code,canonical_sector_name,naver_sector_names,naver_sector_count,mapped_naver_sector_codes,classification,possible_reference_date_drift
077970,KOSPI,1012,기계·장비,조선,1,1015,SECTOR_CONFLICT,True
078070,KOSDAQ,2031,금융,통신장비,1,2072,SECTOR_CONFLICT,True
078150,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
079370,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
079550,KOSPI,1011,금속,우주항공과국방,1,1015,SECTOR_CONFLICT,True
079950,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
079980,KOSPI,1008,화학,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
081000,KOSPI,1008,화학,비철금속,1,1011,SECTOR_CONFLICT,True
081180,KOSDAQ,2070,기계·장비,전자장비와기기,1,2072,SECTOR_CONFLICT,True
081660,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
082210,KOSDAQ,2074,의료·정밀기기,전자장비와기기,1,2072,SECTOR_CONFLICT,True
082270,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
082740,KOSPI,1012,기계·장비,조선,1,1015,SECTOR_CONFLICT,True
082850,KOSDAQ,2056,음식료·담배,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
083310,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
083450,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
083470,KOSDAQ,2065,화학,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
083500,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
083640,KOSDAQ,2027,유통,전자장비와기기,1,2072,SECTOR_CONFLICT,True
083930,KOSDAQ,2070,기계·장비,전기제품,1,2072,SECTOR_CONFLICT,True
084180,KOSDAQ,2070,기계·장비,출판,1,2037,SECTOR_CONFLICT,True
084370,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
084440,KOSDAQ,2118,IT 서비스,교육서비스,1,2012,SECTOR_CONFLICT,True
084670,KOSPI,1019,운송·창고,도로와철도운송,1,1026,SECTOR_CONFLICT,True
084680,KOSPI,1027,제조,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
084690,KOSPI,1021,금융,식품,1,1005,SECTOR_CONFLICT,True
084990,KOSDAQ,2012,일반서비스,생물공학,1,2066,SECTOR_CONFLICT,True
085310,KOSPI,1011,금속,조선,1,1015,SECTOR_CONFLICT,True
085660,KOSDAQ,2066,제약,건강관리업체및서비스,1,2056,SECTOR_CONFLICT,True
085810,KOSDAQ,2118,IT 서비스,건설,1,2026,SECTOR_CONFLICT,True
086060,KOSDAQ,2027,유통,제약,1,2066,SECTOR_CONFLICT,True
086390,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
086520,KOSDAQ,2031,금융,화학,1,2065,SECTOR_CONFLICT,True
087260,KOSDAQ,2118,IT 서비스,자동차부품,1,2075,SECTOR_CONFLICT,True
088130,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
088390,KOSDAQ,2075,운송장비·부품,레저용장비와제품,1,2027,SECTOR_CONFLICT,True
088790,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
089010,KOSDAQ,2065,화학,전자장비와기기,1,2072,SECTOR_CONFLICT,True
089030,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
089150,KOSDAQ,2118,IT 서비스,컴퓨터와주변기기,1,2072,SECTOR_CONFLICT,True
089470,KOSPI,1008,화학,자동차부품,1,1015,SECTOR_CONFLICT,True
089790,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
089850,KOSDAQ,2118,IT 서비스,전자제품,1,2072,SECTOR_CONFLICT,True
089890,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
089970,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
089980,KOSDAQ,2065,화학,전자장비와기기,1,2072,SECTOR_CONFLICT,True
090350,KOSPI,1008,화학,건축자재,1,1010,SECTOR_CONFLICT,True
090370,KOSPI,1006,섬유·의류,상업서비스와공급품,1,1046,SECTOR_CONFLICT,True
090410,KOSDAQ,2068,금속,건축자재,1,2067,SECTOR_CONFLICT,True
090470,KOSDAQ,2070,기계·장비,전자장비와기기,1,2072,SECTOR_CONFLICT,True
092040,KOSDAQ,2056,음식료·담배,생물공학,1,2066,SECTOR_CONFLICT,True
092070,KOSDAQ,2065,화학,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
092870,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
093380,KOSDAQ,2068,금속,자동차부품,1,2075,SECTOR_CONFLICT,True
093520,KOSDAQ,2027,유통,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
094280,KOSPI,1026,일반서비스,상업서비스와공급품,1,1046,SECTOR_CONFLICT,True
095190,KOSDAQ,2068,금속,기계,1,2070,SECTOR_CONFLICT,True
095270,KOSDAQ,2074,의료·정밀기기,우주항공과국방,1,2075,SECTOR_CONFLICT,True
095340,KOSDAQ,2027,유통,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
095500,KOSDAQ,2065,화학,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
095610,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
095700,KOSDAQ,2012,일반서비스,생물공학,1,2066,SECTOR_CONFLICT,True
096350,KOSDAQ,2068,금속,조선,1,2075,SECTOR_CONFLICT,True
096530,KOSDAQ,2066,제약,생명과학도구및서비스,1,2012,SECTOR_CONFLICT,True
096760,KOSPI,1021,금융,제약,1,1009,SECTOR_CONFLICT,True
098460,KOSDAQ,2070,기계·장비,전자장비와기기,1,2072,SECTOR_CONFLICT,True
099430,KOSDAQ,2066,제약,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
100220,KOSPI,1047,오락·문화,교육서비스,1,1026,SECTOR_CONFLICT,True
100250,KOSPI,1008,화학,자동차부품,1,1015,SECTOR_CONFLICT,True
100700,KOSDAQ,2066,제약,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
101000,KOSDAQ,2070,기계·장비,조선,1,2075,SECTOR_CONFLICT,True
101140,KOSPI,1016,유통,전자장비와기기,1,1013,SECTOR_CONFLICT,True
101330,KOSDAQ,2072,전기전자,자동차부품,1,2075,SECTOR_CONFLICT,True
101360,KOSDAQ,2072,전기전자,화학,1,2065,SECTOR_CONFLICT,True
101670,KOSDAQ,2068,금속,전기제품,1,2072,SECTOR_CONFLICT,True
102710,KOSDAQ,2065,화학,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
103230,KOSDAQ,2070,기계·장비,조선,1,2075,SECTOR_CONFLICT,True
104200,KOSDAQ,2118,IT 서비스,방송과엔터테인먼트,1,2037,SECTOR_CONFLICT,True
105330,KOSDAQ,2075,운송장비·부품,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
105550,KOSDAQ,2072,전기전자,자동차부품,1,2075,SECTOR_CONFLICT,True
