ticker,name,fast_trigger_event_date,fast_trigger_event_sequence,fast_trigger_event_status,fast_score_at_event,fast_monthly_state_at_event,fast_daily_risk_at_event,pattern_a_status_at_fast_event,pattern_a_active_at_fast_event,pattern_a_was_active_before_fast_event,pattern_a_prior_active_date,pattern_a_prior_candidate_event_date,pattern_a_next_candidate_event_date,pair_status,lead_days,lead_weeks,analysis_end,censor_status
006260,LS,2020-12-18,2,OBSERVED,72.74,PERMITTED_REGIME,ELEVATED,READY,True,YES,2020-12-11,2020-11-06,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2021-01-22,3,OBSERVED,69.04,LATE_OR_EXTENDED_REGIME,NORMAL,READY,True,YES,2021-01-15,2020-11-06,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2022-06-03,4,OBSERVED,75.54,PERMITTED_REGIME,NORMAL,READY,True,YES,2022-05-27,2022-03-04,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2022-07-01,5,OBSERVED,76.04,PERMITTED_REGIME,NORMAL,READY,True,YES,2022-06-24,2022-03-04,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2022-08-12,6,OBSERVED,70.79,PERMITTED_REGIME,NORMAL,READY,True,YES,2022-08-05,2022-03-04,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2022-11-25,7,OBSERVED,77.99,PERMITTED_REGIME,NORMAL,READY,False,YES,2022-10-28,2022-03-04,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2023-12-22,NOT_CENSORED
006260,LS,2022-12-16,8,OBSERVED,69.04,LATE_OR_EXTENDED_REGIME,NORMAL,READY,True,YES,2022-12-09,2022-12-02,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2023-01-13,9,OBSERVED,78.49,PERMITTED_REGIME,NORMAL,READY,True,YES,2023-01-06,2022-12-02,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2023-01-27,10,OBSERVED,78.49,PERMITTED_REGIME,NORMAL,READY,True,YES,2023-01-20,2022-12-02,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2023-03-31,11,OBSERVED,68.54,LATE_OR_EXTENDED_REGIME,NORMAL,READY,True,YES,2023-03-24,2022-12-02,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
006260,LS,2023-05-12,12,OBSERVED,80.99,PERMITTED_REGIME,NORMAL,READY,True,YES,2023-04-28,2022-12-02,,PATTERN_A_ALREADY_ACTIVE,,,2023-12-22,NOT_CENSORED
008490,서흥,2025-05-23,1,OBSERVED,61.07,EARLY_REGIME,NORMAL,READY,False,NO,,,2025-09-05,FAST_EARLIER_PATTERN_A_LATER,105.0,15.0,2026-03-27,NOT_CENSORED
008490,서흥,2025-08-22,2,OBSERVED,66.17,PERMITTED_REGIME,EXTREME,READY,False,NO,,,2025-09-05,FAST_EARLIER_PATTERN_A_LATER,14.0,2.0,2026-03-27,NOT_CENSORED
009150,삼성전기,2024-07-05,1,OBSERVED,72.1,LATE_OR_EXTENDED_REGIME,NORMAL,READY,True,YES,2024-06-07,2024-05-17,2024-07-05,SAME_WEEK,0.0,0.0,2026-08-14,NOT_CENSORED
009150,삼성전기,2025-08-08,2,OBSERVED,72.74,PERMITTED_REGIME,ELEVATED,READY,True,YES,2025-08-01,2025-07-11,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
009470,삼화전기,2024-03-08,1,OBSERVED,66.82,EARLY_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-06-26,DATA_UNAVAILABLE
009470,삼화전기,2024-04-26,2,OBSERVED,76.0,PERMITTED_REGIME,ELEVATED,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-06-26,DATA_UNAVAILABLE
009470,삼화전기,2024-06-14,3,OBSERVED,79.0,PERMITTED_REGIME,ELEVATED,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-06-26,DATA_UNAVAILABLE
009470,삼화전기,2025-09-19,4,OBSERVED,54.04,EARLY_REGIME,ELEVATED,READY,False,YES,2025-07-25,2025-07-04,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-06-26,NOT_CENSORED
009470,삼화전기,2025-10-10,5,OBSERVED,68.54,PERMITTED_REGIME,ELEVATED,READY,True,YES,2025-07-25,2025-07-04,2025-10-10,SAME_WEEK,0.0,0.0,2026-06-26,NOT_CENSORED
009470,삼화전기,2026-01-30,6,OBSERVED,57.62,EARLY_REGIME,EXTREME,READY,False,YES,2025-12-26,2025-10-10,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-06-26,NOT_CENSORED
009830,한화솔루션,2025-05-16,1,OBSERVED,67.49,PERMITTED_REGIME,ELEVATED,READY,False,YES,2024-02-02,2024-01-05,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-03-27,NOT_CENSORED
009830,한화솔루션,2025-07-25,2,OBSERVED,70.24,PERMITTED_REGIME,ELEVATED,READY,False,YES,2024-02-02,2024-01-05,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-03-27,NOT_CENSORED
009830,한화솔루션,2026-02-06,3,OBSERVED,71.69,PERMITTED_REGIME,ELEVATED,READY,True,YES,2024-02-02,2024-01-05,2026-02-06,SAME_WEEK,0.0,0.0,2026-03-27,NOT_CENSORED
011070,LG이노텍,2019-12-13,1,OBSERVED,81.55,PERMITTED_REGIME,NORMAL,READY,True,YES,2019-12-06,2019-12-06,,PATTERN_A_ALREADY_ACTIVE,,,2021-09-24,NOT_CENSORED
011070,LG이노텍,2020-06-12,2,OBSERVED,73.94,PERMITTED_REGIME,ELEVATED,READY,True,YES,2020-06-05,2019-12-06,,PATTERN_A_ALREADY_ACTIVE,,,2021-09-24,NOT_CENSORED
011070,LG이노텍,2020-08-07,3,OBSERVED,77.74,PERMITTED_REGIME,NORMAL,READY,True,YES,2020-07-31,2019-12-06,,PATTERN_A_ALREADY_ACTIVE,,,2021-09-24,NOT_CENSORED
011070,LG이노텍,2020-09-11,4,OBSERVED,77.74,PERMITTED_REGIME,NORMAL,READY,True,YES,2020-09-04,2019-12-06,,PATTERN_A_ALREADY_ACTIVE,,,2021-09-24,NOT_CENSORED
011070,LG이노텍,2021-07-16,5,OBSERVED,68.54,LATE_OR_EXTENDED_REGIME,NORMAL,READY,False,YES,2020-09-25,2019-12-06,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2021-09-24,NOT_CENSORED
