feature_name,count,missing_count,mean,median,std,min,max,p25,p75,BORDERLINE_TRIGGER_n,BORDERLINE_TRIGGER_median,BORDERLINE_TRIGGER_iqr,FALSE_TRIGGER_n,FALSE_TRIGGER_median,FALSE_TRIGGER_iqr,GOOD_TRIGGER_n,GOOD_TRIGGER_median,GOOD_TRIGGER_iqr,NO_SETUP_n,NO_SETUP_median,NO_SETUP_iqr,TOO_EARLY_n,TOO_EARLY_median,TOO_EARLY_iqr,TOO_EXTENDED_n,TOO_EXTENDED_median,TOO_EXTENDED_iqr,TOO_LATE_n,TOO_LATE_median,TOO_LATE_iqr,GROUP_POSITIVE_STRUCTURE_n,GROUP_POSITIVE_STRUCTURE_median,GROUP_POSITIVE_STRUCTURE_iqr,GROUP_FAILED_STRUCTURE_n,GROUP_FAILED_STRUCTURE_median,GROUP_FAILED_STRUCTURE_iqr,GROUP_EARLY_OR_NONE_n,GROUP_EARLY_OR_NONE_median,GROUP_EARLY_OR_NONE_iqr,GROUP_LATE_OR_EXTENDED_n,GROUP_LATE_OR_EXTENDED_median,GROUP_LATE_OR_EXTENDED_iqr,cliffs_delta_GOOD_TRIGGER_vs_NO_SETUP,median_diff_GOOD_TRIGGER_vs_NO_SETUP,standardized_effect_GOOD_TRIGGER_vs_NO_SETUP,cliffs_delta_GOOD_TRIGGER_vs_TOO_EARLY,median_diff_GOOD_TRIGGER_vs_TOO_EARLY,standardized_effect_GOOD_TRIGGER_vs_TOO_EARLY,cliffs_delta_GOOD_TRIGGER_vs_FALSE_TRIGGER,median_diff_GOOD_TRIGGER_vs_FALSE_TRIGGER,standardized_effect_GOOD_TRIGGER_vs_FALSE_TRIGGER,cliffs_delta_GOOD_TRIGGER_vs_TOO_EXTENDED,median_diff_GOOD_TRIGGER_vs_TOO_EXTENDED,standardized_effect_GOOD_TRIGGER_vs_TOO_EXTENDED,cliffs_delta_SETUP_GOOD_vs_WATCH_EARLY_NONE,median_diff_SETUP_GOOD_vs_WATCH_EARLY_NONE,standardized_effect_SETUP_GOOD_vs_WATCH_EARLY_NONE,n_SETUP_GOOD,n_WATCH_EARLY_NONE
close_vs_ma24_pct,40,0,0.18711034116922406,-0.027584988778668607,0.909971708624262,-0.723433037727341,3.8001683285211634,-0.19686734834099592,0.1387874129888071,6,-0.013744525658340279,0.0794747199038417,4,-0.12747496304848505,0.21051385493968372,9,0.12574850299401197,0.13665522704905375,9,-0.32612876876061836,0.30094156360665514,8,-0.06857261944561682,0.1346545624444944,3,1.5895542136791203,1.615192961603406,1,3.8001683285211634,0.0,15,0.03982729099977678,0.17503427858781467,4,-0.12747496304848505,0.21051385493968372,17,-0.16547037994066416,0.2826357919455905,4,2.6274118004655,2.3981075962985936,0.654320987654321,0.4518772717546303,0.9255934132475518,0.9166666666666666,0.1943211224396288,1.1018228007264437,0.7777777777777778,0.253223466042497,1.1721003741226568,-0.8518518518518519,-1.4638057106851083,-2.5254851915821366,0.7321428571428571,0.2505305708880984,0.8074761651116376,7,16
ma6_slope_1m,40,0,0.02995079721853484,0.0007669992469319098,0.15486760785068335,-0.13183890577507607,0.8040221629386413,-0.02378105403758579,0.020310472885479713,6,-0.0028517805788657036,0.035994155249009174,4,0.0028396781656419567,0.030527149626206673,9,0.017462165308498312,0.025069638814745998,9,-0.05883067947003762,0.08348769945728118,8,-0.0037461923396374663,0.03551409905131431,3,0.20809248554913307,0.37136846196310447,1,0.45186070331171035,0.0,15,0.011210296865268754,0.031186115176151663,4,0.0028396781656419567,0.030527149626206673,17,-0.020096235493914594,0.06827701769173833,4,0.3299765944304217,0.3685103943034852,0.7530864197530864,0.07629284477853593,1.028004108234775,0.5555555555555556,0.02120835764813578,0.8461573376402611,0.2777777777777778,0.014622487142856355,0.4328316184230206,-0.8518518518518519,-0.19063032024063475,-2.781827358177425,0.625,0.05048491275921857,0.7441671454603784,7,16
ma12_slope_1m,40,0,0.018897597190376723,0.002081751242345442,0.0945783607842464,-0.10864720303097841,0.4272610921501707,-0.017956577214210623,0.02255897974290333,6,-0.00017168532787553703,0.018295038889035914,4,-0.020931878761878575,0.062428293194041085,9,0.021907501659659268,0.03154646020659402,9,-0.030543196404565154,0.049343097057173546,8,-0.005389603887438199,0.01433258778604704,3,0.1443768996960486,0.18530810598793934,1,0.3281202418758429,0.0,15,0.007201646090534863,0.024961893725299,4,-0.020931878761878575,0.062428293194041085,17,-0.00911766403139258,0.0285434069087227,4,0.23624857078594574,0.23046155962881537,0.7037037037037037,0.05245069806422442,0.9891906714518344,0.8611111111111112,0.027297105547097467,1.0405673888145546,0.7222222222222222,0.04283938042153784,1.6728950275501064,-0.9259259259259259,-0.12246939803638934,-2.61481319518799,0.7321428571428571,0.027639273652587282,0.7201738880880652,7,16
ma24_slope_1m,40,0,0.0061483818830883556,-0.002956848772326326,0.054143443401668,-0.0898317622845759,0.22676169443886773,-0.01717475396551829,0.0023553702378802943,6,-0.004677609880127831,0.014868911856384198,4,-0.009288692653308839,0.019615445628695688,9,0.0005079752108096969,0.009837021148640046,9,-0.026713560823690585,0.030824169098546017,8,-0.007909162827164473,0.007480202978408734,3,0.0801673509692844,0.07096992497770527,1,0.22676169443886773,0.0,15,-0.00028837142239213076,0.005344010113943032,4,-0.009288692653308839,0.019615445628695688,17,-0.009629000283205902,0.023172245477990794,4,0.13195466205790551,0.12392085944486958,0.5555555555555556,0.027221536034500282,1.019316246335992,0.7777777777777778,0.00841713803797417,0.8758771691200481,0.6111111111111112,0.009796667864118536,2.3743048777319586,-0.8518518518518519,-0.0796593757584747,-1.6931073782859645,0.6071428571428571,0.011546230601362839,0.5187099748079985,7,16
ma_alignment_score,40,0,0.0,0.0,0.816496580927726,-1.0,1.0,-1.0,1.0,6,0.0,1.5,4,-0.5,1.0,9,1.0,1.0,9,-1.0,1.0,8,-0.5,1.0,3,1.0,0.0,1,1.0,0.0,15,0.0,1.0,4,-0.5,1.0,17,-1.0,1.0,4,1.0,0.0,0.5802469135802469,2.0,1.1428571428571428,0.7777777777777778,1.5,1.5,0.7777777777777778,1.5,1.5,-0.4444444444444444,0.0,0.0,0.625,1.0,1.0,7,16
ma_spread_pct,40,0,0.23853980944889627,0.14289044342507648,0.33353043162818186,0.008832565284178143,1.959963768115942,0.06382471668370818,0.26492450498303904,6,0.093227473150064,0.14318431057000913,4,0.27799293340019127,0.14841727488148165,9,0.0713159968479117,0.12650937689050218,9,0.3025800105338167,0.5299639844108206,8,0.08797042896550941,0.12302549182946161,3,0.23516350798959496,0.07042408007786116,1,0.20590541593609973,0.0,15,0.0713159968479117,0.14342234079031121,4,0.27799293340019127,0.14841727488148165,17,0.14621666666666672,0.20463400114414532,4,0.22053446196284734,0.05715560907905198,-0.6790123456790124,-0.23126401368590502,-0.8228008998032359,-0.027777777777777776,-0.016654432117597706,-0.1316458315339948,-0.5,-0.20667693655227956,-1.019678874433022,-0.48148148148148145,-0.16384751114168325,-0.9136726127313732,-0.5,-0.10324226190476199,-0.4752076084008101,7,16
max_ma_gap_pct,40,0,0.23853980944889627,0.14289044342507648,0.33353043162818186,0.008832565284178143,1.959963768115942,0.06382471668370818,0.26492450498303904,6,0.093227473150064,0.14318431057000913,4,0.27799293340019127,0.14841727488148165,9,0.0713159968479117,0.12650937689050218,9,0.3025800105338167,0.5299639844108206,8,0.08797042896550941,0.12302549182946161,3,0.23516350798959496,0.07042408007786116,1,0.20590541593609973,0.0,15,0.0713159968479117,0.14342234079031121,4,0.27799293340019127,0.14841727488148165,17,0.14621666666666672,0.20463400114414532,4,0.22053446196284734,0.05715560907905198,-0.6790123456790124,-0.23126401368590502,-0.8228008998032359,-0.027777777777777776,-0.016654432117597706,-0.1316458315339948,-0.5,-0.20667693655227956,-1.019678874433022,-0.48148148148148145,-0.16384751114168325,-0.9136726127313732,-0.5,-0.10324226190476199,-0.4752076084008101,7,16
min_ma_gap_pct,40,0,0.08209796125687573,0.05513727852231086,0.11943032648700815,0.0019128409846971173,0.7175724637681158,0.016970258243529476,0.10690142669460084,6,0.02962743147929188,0.04747951347297267,4,0.07802535637160989,0.06705614343891628,9,0.017508865248226917,0.05065033272837259,9,0.14596832253419717,0.11519220541036215,8,0.013684067531023308,0.04143871585716441,3,0.07553883314752878,0.035847677999176486,1,0.08905854276251704,0.0,15,0.01968174204355115,0.0536629455342545,4,0.07802535637160989,0.06705614343891628,17,0.058466666666666715,0.12486740510300451,4,0.0822986879550229,0.02806362121082944,-0.7283950617283951,-0.12845945728597025,-0.9899633699095267,0.1111111111111111,0.0038247977172036086,0.07541153830598386,-0.6111111111111112,-0.06051649112338297,-0.7486286423782283,-0.4074074074074074,-0.058029967899301864,-0.8606087670135231,-0.5,-0.04833055555555568,-0.3731186519845724,7,16
close_above_ma_count,40,0,1.475,1.5,1.3202078313465337,0.0,3.0,0.0,3.0,6,1.5,1.75,4,1.5,1.5,9,3.0,1.0,9,0.0,0.0,8,0.5,1.25,3,3.0,0.0,1,3.0,0.0,15,2.0,2.0,4,1.5,1.5,17,0.0,1.0,4,3.0,0.0,0.5061728395061729,3.0,1.0,0.6111111111111112,2.5,0.8333333333333334,0.3055555555555556,1.5,0.75,-0.4444444444444444,0.0,0.0,0.44642857142857145,2.0,1.0,7,16
close_below_ma_count,40,0,1.525,1.5,1.3202078313465337,0.0,3.0,0.0,3.0,6,1.5,1.75,4,1.5,1.5,9,0.0,1.0,9,3.0,0.0,8,2.5,1.25,3,0.0,0.0,1,0.0,0.0,15,1.0,2.0,4,1.5,1.5,17,3.0,1.0,4,0.0,0.0,-0.5061728395061729,-3.0,-1.0,-0.6111111111111112,-2.5,-0.8333333333333334,-0.3055555555555556,-1.5,-0.75,0.4444444444444444,0.0,0.0,-0.44642857142857145,-2.0,-1.0,7,16
range_position_12m,40,0,0.44133740339350513,0.3988607300627761,0.3149744432376046,0.008695652173913044,1.0,0.15420170916983178,0.7145007560991128,6,0.4991992679020819,0.3264730552745723,4,0.4330376805849189,0.414721400782728,9,0.6581196581196581,0.25609983408706427,9,0.07414104882459313,0.13276088236868877,8,0.26287128255364767,0.22962599925643365,3,0.9301752464403067,0.14420410427065988,1,0.9104494970052917,0.0,15,0.5840366530021702,0.3671660103764483,4,0.4330376805849189,0.414721400782728,17,0.13917525773195877,0.2583754881079162,4,0.9203123717227992,0.0868963642115913,0.8518518518518519,0.583978609295065,1.0464490035574945,0.8888888888888888,0.39524837556601045,1.0159694524003593,0.5,0.22508197753473919,0.5862553580168279,-0.6296296296296297,-0.2720555883206486,-0.7740211819225765,0.8214285714285714,0.43484376097829613,0.9886509316449017,7,16
range_position_24m,40,0,0.39638593818051576,0.3465682481100065,0.29383060235792935,0.008695652173913044,1.0,0.16775522136090787,0.606699476042561,6,0.38187007809153517,0.22370949890369096,4,0.3031502046315434,0.28823867793847324,9,0.6462264150943396,0.13927016187740726,9,0.0425531914893617,0.1638880887521638,8,0.23450286700439793,0.22400622034071,3,0.9308005427408412,0.12584704743465636,1,0.911417888984757,0.0,15,0.5379537953795379,0.26463368526356235,4,0.3031502046315434,0.28823867793847324,17,0.1361079865016873,0.2415998257024353,4,0.9211092158627991,0.07746051403439136,0.8518518518518519,0.603673223604978,1.052437759343259,1.0,0.4117235480899417,1.072916431439127,0.7777777777777778,0.34307621046279624,1.4311010352843223,-0.8518518518518519,-0.2845741276465016,-1.2860203806885457,0.8928571428571429,0.4387141781107406,0.8528738878436806,7,16
range_position_36m,40,0,0.33449312735658576,0.2242242356020575,0.3038944855716487,0.007396298442346365,1.0,0.0754068624283433,0.5435721855384364,6,0.1786886017003963,0.16582282757252026,4,0.1535683758820092,0.08707040297266691,9,0.5811240721102863,0.11300672931398614,9,0.02061111225731911,0.21006316199557773,8,0.20670914542728636,0.18986230333850948,3,0.9308005427408412,0.11403508771929827,1,0.9116212338593974,0.0,15,0.41839080459770117,0.4069166938250912,4,0.1535683758820092,0.08707040297266691,17,0.047337278106508875,0.21432821687883194,4,0.9212108883001193,0.07140202552073194,0.8518518518518519,0.5605129598529671,1.0120074367476999,0.8611111111111112,0.3744149266829999,0.9994997193547601,0.8888888888888888,0.42755569622827705,1.0040191707708852,-0.8518518518518519,-0.34967647063055496,-1.1914769896304462,0.8214285714285714,0.4555467141643975,0.9899645973559427,7,16
months_since_12m_low,40,0,5.475,5.5,4.242565140850401,0.0,11.0,1.0,10.0,6,4.5,4.75,4,3.5,3.75,9,9.0,3.0,9,0.0,2.0,8,4.0,7.25,3,11.0,0.5,1,10.0,0.0,15,8.0,5.5,4,3.5,3.75,17,1.0,8.0,4,10.5,1.0,0.7037037037037037,9.0,0.9,0.5833333333333334,5.0,0.8333333333333334,0.7777777777777778,5.5,1.1,-0.6296296296296297,-2.0,-0.6153846153846154,0.5446428571428571,6.5,0.7647058823529411,7,16
months_since_24m_low,40,0,10.5,10.0,7.622503794854031,0.0,23.0,4.75,16.25,6,8.5,8.5,4,6.0,5.75,9,11.0,10.0,9,0.0,10.0,8,11.0,8.0,3,15.0,5.0,1,23.0,0.0,15,11.0,9.5,4,6.0,5.75,17,8.0,15.0,4,18.0,7.5,0.5432098765432098,11.0,0.7457627118644068,0.1111111111111111,0.0,0.0,0.5555555555555556,5.0,0.4166666666666667,-0.3333333333333333,-4.0,-0.41025641025641024,0.3482142857142857,4.0,0.2962962962962963,7,16
higher_monthly_low_count_12m,40,0,5.4,6.0,1.7364862842489184,2.0,10.0,4.0,6.0,6,5.0,1.5,4,5.5,1.5,9,6.0,1.0,9,4.0,2.0,8,5.5,2.0,3,7.0,1.5,1,8.0,0.0,15,6.0,1.5,4,5.5,1.5,17,4.0,3.0,4,7.5,1.5,0.7407407407407407,2.0,0.7272727272727273,0.5833333333333334,0.5,0.5,0.5555555555555556,0.5,0.25,-0.5555555555555556,-1.0,-0.8,0.6696428571428571,1.5,0.75,7,16
ma12_slope_change_3m,40,0,0.019556699663752668,0.006027700723994667,0.0865002270626555,-0.12054359702248407,0.42926088164601317,-0.008588116318272998,0.022733671456727278,6,0.006349480152299025,0.01489300772130947,4,0.013745633564165749,0.0538465909921578,9,0.00737852873035183,0.024996233933312073,9,-0.008974000416599237,0.02972433846431133,8,-0.0029257861689743203,0.020588349403577483,3,0.06276986893647551,0.19557274622468362,1,0.2815166548118688,0.0,15,0.00737852873035183,0.021914718906589303,4,0.013745633564165749,0.0538465909921578,17,-0.006800649736957709,0.023110840820750767,4,0.17214326187417217,0.26184646251888677,0.5555555555555556,0.016352529146951067,0.683077459277911,0.3333333333333333,0.01030431489932615,0.4820933514589517,-0.05555555555555555,-0.006367104833813919,-0.25472256543929134,-1.0,-0.055391340206123685,-1.4822504117093278,0.32142857142857145,0.0060961347890780004,0.2957899567025225,7,16
