date,strategy,equity,position_state,exposure_flag
2016-06-28,Buy & Hold,0.8959580838,HOLD,1
2016-06-29,Buy & Hold,0.9066242515,HOLD,1
2016-06-30,Buy & Hold,0.9131736527,HOLD,1
2016-07-01,Buy & Hold,0.9206586826,HOLD,1
2016-07-04,Buy & Hold,0.9238398204,HOLD,1
2016-07-05,Buy & Hold,0.9227170659,HOLD,1
2016-07-06,Buy & Hold,0.9041916168,HOLD,1
2016-07-07,Buy & Hold,0.9144835329,HOLD,1
2016-07-08,Buy & Hold,0.9098053892,HOLD,1
2016-07-11,Buy & Hold,0.9232784431,HOLD,1
2016-07-12,Buy & Hold,0.9232784431,HOLD,1
2016-07-13,Buy & Hold,0.9294535928,HOLD,1
2016-07-14,Buy & Hold,0.9311377246,HOLD,1
2016-07-15,Buy & Hold,0.9358158683,HOLD,1
2016-07-18,Buy & Hold,0.9375,HOLD,1
2016-07-19,Buy & Hold,0.9361901198,HOLD,1
2016-07-20,Buy & Hold,0.934505988,HOLD,1
2016-07-21,Buy & Hold,0.9354416168,HOLD,1
2016-07-22,Buy & Hold,0.9348802395,HOLD,1
2016-07-25,Buy & Hold,0.9354416168,HOLD,1
2016-07-26,Buy & Hold,0.9436751497,HOLD,1
2016-07-27,Buy & Hold,0.9431137725,HOLD,1
2016-07-28,Buy & Hold,0.9406811377,HOLD,1
2016-07-29,Buy & Hold,0.9399326347,HOLD,1
2016-08-01,Buy & Hold,0.9476047904,HOLD,1
2016-08-02,Buy & Hold,0.9403068862,HOLD,1
2016-08-03,Buy & Hold,0.9283308383,HOLD,1
2016-08-04,Buy & Hold,0.9303892216,HOLD,1
2016-08-05,Buy & Hold,0.940494012,HOLD,1
2016-08-08,Buy & Hold,0.9476047904,HOLD,1
2016-08-09,Buy & Hold,0.9549026946,HOLD,1
2016-08-10,Buy & Hold,0.9517215569,HOLD,1
2016-08-11,Buy & Hold,0.9528443114,HOLD,1
2016-08-12,Buy & Hold,0.9562125749,HOLD,1
2016-08-16,Buy & Hold,0.9556511976,HOLD,1
2016-08-17,Buy & Hold,0.9549026946,HOLD,1
2016-08-18,Buy & Hold,0.9618263473,HOLD,1
2016-08-19,Buy & Hold,0.9640718563,HOLD,1
2016-08-22,Buy & Hold,0.9584580838,HOLD,1
2016-08-23,Buy & Hold,0.963510479,HOLD,1
2016-08-24,Buy & Hold,0.9590194611,HOLD,1
2016-08-25,Buy & Hold,0.9607035928,HOLD,1
2016-08-26,Buy & Hold,0.9569610778,HOLD,1
2016-08-29,Buy & Hold,0.9571482036,HOLD,1
2016-08-30,Buy & Hold,0.9610778443,HOLD,1
2016-08-31,Buy & Hold,0.9575224551,HOLD,1
2016-09-01,Buy & Hold,0.9550898204,HOLD,1
2016-09-02,Buy & Hold,0.9569610778,HOLD,1
2016-09-05,Buy & Hold,0.9691242515,HOLD,1
2016-09-06,Buy & Hold,0.9726796407,HOLD,1
2016-09-07,Buy & Hold,0.9708083832,HOLD,1
2016-09-08,Buy & Hold,0.9706212575,HOLD,1
2016-09-09,Buy & Hold,0.9592065868,HOLD,1
2016-09-12,Buy & Hold,0.9350673653,HOLD,1
2016-09-13,Buy & Hold,0.9384356287,HOLD,1
2016-09-19,Buy & Hold,0.9481661677,HOLD,1
2016-09-20,Buy & Hold,0.9496631737,HOLD,1
2016-09-21,Buy & Hold,0.9560254491,HOLD,1
2016-09-22,Buy & Hold,0.9644461078,HOLD,1
2016-09-23,Buy & Hold,0.9636976048,HOLD,1
2016-09-26,Buy & Hold,0.9605164671,HOLD,1
2016-09-27,Buy & Hold,0.9670658683,HOLD,1
2016-09-28,Buy & Hold,0.964258982,HOLD,1
2016-09-29,Buy & Hold,0.970995509,HOLD,1
2016-09-30,Buy & Hold,0.9605164671,HOLD,1
2016-10-04,Buy & Hold,0.9661302395,HOLD,1
2016-10-05,Buy & Hold,0.9655688623,HOLD,1
2016-10-06,Buy & Hold,0.9723053892,HOLD,1
2016-10-07,Buy & Hold,0.9693113772,HOLD,1
2016-10-10,Buy & Hold,0.9708083832,HOLD,1
2016-10-11,Buy & Hold,0.9573353293,HOLD,1
2016-10-12,Buy & Hold,0.9565868263,HOLD,1
2016-10-13,Buy & Hold,0.9481661677,HOLD,1
2016-10-14,Buy & Hold,0.9530314371,HOLD,1
2016-10-17,Buy & Hold,0.9545284431,HOLD,1
2016-10-18,Buy & Hold,0.9610778443,HOLD,1
2016-10-19,Buy & Hold,0.9622005988,HOLD,1
2016-10-20,Buy & Hold,0.9631362275,HOLD,1
2016-10-21,Buy & Hold,0.9584580838,HOLD,1
2016-10-24,Buy & Hold,0.965755988,HOLD,1
2016-10-25,Buy & Hold,0.964258982,HOLD,1
2016-10-26,Buy & Hold,0.9524700599,HOLD,1
2016-10-27,Buy & Hold,0.9567739521,HOLD,1
2016-10-28,Buy & Hold,0.9573353293,HOLD,1
2016-10-31,Buy & Hold,0.9554640719,HOLD,1
2016-11-01,Buy & Hold,0.9558383234,HOLD,1
2016-11-02,Buy & Hold,0.9433008982,HOLD,1
2016-11-03,Buy & Hold,0.9464820359,HOLD,1
2016-11-04,Buy & Hold,0.9431137725,HOLD,1
2016-11-07,Buy & Hold,0.9522829341,HOLD,1
2016-11-08,Buy & Hold,0.9543413174,HOLD,1
2016-11-09,Buy & Hold,0.9346931138,HOLD,1
2016-11-10,Buy & Hold,0.9532185629,HOLD,1
2016-11-11,Buy & Hold,0.9436751497,HOLD,1
2016-11-14,Buy & Hold,0.9361901198,HOLD,1
2016-11-15,Buy & Hold,0.9328218563,HOLD,1
2016-11-16,Buy & Hold,0.9361901198,HOLD,1
2016-11-17,Buy & Hold,0.9356287425,HOLD,1
2016-11-18,Buy & Hold,0.935254491,HOLD,1
2016-11-21,Buy & Hold,0.9333832335,HOLD,1
2016-11-22,Buy & Hold,0.9440494012,HOLD,1
2016-11-23,Buy & Hold,0.9476047904,HOLD,1
2016-11-24,Buy & Hold,0.942739521,HOLD,1
2016-11-25,Buy & Hold,0.9431137725,HOLD,1
2016-11-28,Buy & Hold,0.9459206587,HOLD,1
2016-11-29,Buy & Hold,0.9462949102,HOLD,1
2016-11-30,Buy & Hold,0.9509730539,HOLD,1
2016-12-01,Buy & Hold,0.9517215569,HOLD,1
2016-12-02,Buy & Hold,0.9449850299,HOLD,1
2016-12-05,Buy & Hold,0.9438622754,HOLD,1
2016-12-06,Buy & Hold,0.9552769461,HOLD,1
2016-12-07,Buy & Hold,0.9578967066,HOLD,1
2016-12-08,Buy & Hold,0.9741766467,HOLD,1
2016-12-09,Buy & Hold,0.974738024,HOLD,1
2016-12-12,Buy & Hold,0.9734281437,HOLD,1
2016-12-13,Buy & Hold,0.9752994012,HOLD,1
2016-12-14,Buy & Hold,0.9762350299,HOLD,1
2016-12-15,Buy & Hold,0.9758607784,HOLD,1
2016-12-16,Buy & Hold,0.9782934132,HOLD,1
2016-12-19,Buy & Hold,0.9790419162,HOLD,1
2016-12-20,Buy & Hold,0.9812874251,HOLD,1
2016-12-21,Buy & Hold,0.9799775449,HOLD,1
2016-12-22,Buy & Hold,0.9794161677,HOLD,1
2016-12-23,Buy & Hold,0.9781062874,HOLD,1
2016-12-26,Buy & Hold,0.9799775449,HOLD,1
2016-12-27,Buy & Hold,0.9814745509,HOLD,1
2016-12-28,Buy & Hold,0.9846556886,HOLD,1
2016-12-29,Buy & Hold,0.9852170659,HOLD,1
2017-01-02,Buy & Hold,0.9885853293,HOLD,1
2017-01-03,Buy & Hold,0.9964446108,HOLD,1
2017-01-04,Buy & Hold,0.9975673653,HOLD,1
2017-01-05,Buy & Hold,0.9936377246,HOLD,1
2017-01-06,Buy & Hold,0.9979416168,HOLD,1
2017-01-09,Buy & Hold,1.0003742515,HOLD,1
2017-01-10,Buy & Hold,0.9990643713,HOLD,1
2017-01-11,Buy & Hold,1.0170284431,HOLD,1
2017-01-12,Buy & Hold,1.0196482036,HOLD,1
2017-01-13,Buy & Hold,1.0170284431,HOLD,1
2017-01-16,Buy & Hold,1.0114146707,HOLD,1
2017-01-17,Buy & Hold,1.0153443114,HOLD,1
2017-01-18,Buy & Hold,1.0147829341,HOLD,1
2017-01-19,Buy & Hold,1.0153443114,HOLD,1
2017-01-20,Buy & Hold,1.0138473054,HOLD,1
2017-01-23,Buy & Hold,1.0129116766,HOLD,1
2017-01-24,Buy & Hold,1.0130988024,HOLD,1
2017-01-25,Buy & Hold,1.0168413174,HOLD,1
2017-01-26,Buy & Hold,1.0250748503,HOLD,1
2017-01-31,Buy & Hold,1.0194610778,HOLD,1
2017-02-01,Buy & Hold,1.0224550898,HOLD,1
2017-02-02,Buy & Hold,1.0185254491,HOLD,1
2017-02-03,Buy & Hold,1.0192739521,HOLD,1
2017-02-06,Buy & Hold,1.0217065868,HOLD,1
2017-02-07,Buy & Hold,1.0207709581,HOLD,1
2017-02-08,Buy & Hold,1.0159056886,HOLD,1
2017-02-09,Buy & Hold,1.0174026946,HOLD,1
2017-02-10,Buy & Hold,1.0192739521,HOLD,1
2017-02-13,Buy & Hold,1.0198353293,HOLD,1
2017-02-14,Buy & Hold,1.0170284431,HOLD,1
2017-02-15,Buy & Hold,1.0202095808,HOLD,1
2017-02-16,Buy & Hold,1.0196482036,HOLD,1
2017-02-17,Buy & Hold,1.0196482036,HOLD,1
2017-02-20,Buy & Hold,1.0230164671,HOLD,1
2017-02-21,Buy & Hold,1.0323727545,HOLD,1
2017-02-22,Buy & Hold,1.0344311377,HOLD,1
2017-02-23,Buy & Hold,1.0348053892,HOLD,1
2017-02-24,Buy & Hold,1.0269461078,HOLD,1
2017-02-27,Buy & Hold,1.0222679641,HOLD,1
2017-02-28,Buy & Hold,1.0241392216,HOLD,1
2017-03-02,Buy & Hold,1.0336826347,HOLD,1
2017-03-03,Buy & Hold,1.0237649701,HOLD,1
2017-03-06,Buy & Hold,1.0248877246,HOLD,1
2017-03-07,Buy & Hold,1.0310628743,HOLD,1
2017-03-08,Buy & Hold,1.0329341317,HOLD,1
2017-03-09,Buy & Hold,1.0308757485,HOLD,1
2017-03-10,Buy & Hold,1.0316242515,HOLD,1
2017-03-13,Buy & Hold,1.0432260479,HOLD,1
2017-03-14,Buy & Hold,1.0527694611,HOLD,1
2017-03-15,Buy & Hold,1.0540793413,HOLD,1
2017-03-16,Buy & Hold,1.061751497,HOLD,1
2017-03-17,Buy & Hold,1.0664296407,HOLD,1
2017-03-20,Buy & Hold,1.0651197605,HOLD,1
2017-03-21,Buy & Hold,1.0754116766,HOLD,1
2017-03-22,Buy & Hold,1.0718562874,HOLD,1
2017-03-23,Buy & Hold,1.0735404192,HOLD,1
2017-03-24,Buy & Hold,1.0718562874,HOLD,1
2017-03-27,Buy & Hold,1.0651197605,HOLD,1
2017-03-28,Buy & Hold,1.0675523952,HOLD,1
2017-03-29,Buy & Hold,1.0711077844,HOLD,1
2017-03-30,Buy & Hold,1.0701721557,HOLD,1
2017-03-31,Buy & Hold,1.0681137725,HOLD,1
2017-04-03,Buy & Hold,1.0707335329,HOLD,1
2017-04-04,Buy & Hold,1.068488024,HOLD,1
2017-04-05,Buy & Hold,1.0666167665,HOLD,1
2017-04-06,Buy & Hold,1.0625,HOLD,1
2017-04-07,Buy & Hold,1.0606287425,HOLD,1
2017-04-10,Buy & Hold,1.0544535928,HOLD,1
2017-04-11,Buy & Hold,1.0501497006,HOLD,1
2017-04-12,Buy & Hold,1.0507110778,HOLD,1
2017-04-13,Buy & Hold,1.0606287425,HOLD,1
2017-04-14,Buy & Hold,1.0559505988,HOLD,1
2017-04-17,Buy & Hold,1.0581961078,HOLD,1
2017-04-18,Buy & Hold,1.0576347305,HOLD,1
2017-04-19,Buy & Hold,1.0529565868,HOLD,1
2017-04-20,Buy & Hold,1.0574476048,HOLD,1
2017-04-21,Buy & Hold,1.066242515,HOLD,1
2017-04-24,Buy & Hold,1.0718562874,HOLD,1
2017-04-25,Buy & Hold,1.0827095808,HOLD,1
2017-04-26,Buy & Hold,1.089258982,HOLD,1
2017-04-27,Buy & Hold,1.0735404192,HOLD,1
2017-04-28,Buy & Hold,1.0757859281,HOLD,1
2017-05-02,Buy & Hold,1.0842065868,HOLD,1
2017-05-04,Buy & Hold,1.0950598802,HOLD,1
2017-05-08,Buy & Hold,1.1236901198,HOLD,1
2017-05-10,Buy & Hold,1.1115269461,HOLD,1
2017-05-11,Buy & Hold,1.1253742515,HOLD,1
2017-05-12,Buy & Hold,1.120508982,HOLD,1
2017-05-15,Buy & Hold,1.1231287425,HOLD,1
2017-05-16,Buy & Hold,1.1246257485,HOLD,1
2017-05-17,Buy & Hold,1.1240643713,HOLD,1
2017-05-18,Buy & Hold,1.1218188623,HOLD,1
2017-05-19,Buy & Hold,1.1195733533,HOLD,1
2017-05-22,Buy & Hold,1.1285553892,HOLD,1
2017-05-23,Buy & Hold,1.1319236527,HOLD,1
2017-05-24,Buy & Hold,1.1330464072,HOLD,1
2017-05-25,Buy & Hold,1.1463323353,HOLD,1
2017-05-26,Buy & Hold,1.1534431138,HOLD,1
2017-05-29,Buy & Hold,1.1523203593,HOLD,1
2017-05-30,Buy & Hold,1.1444610778,HOLD,1
