requested_date,sector_code,market,attempt_count,retry_count,success,empty_response,ticker_count,error_type,elapsed_seconds
2026-02-06,2029,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.118
2026-02-06,2031,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.114
2026-02-06,2037,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.091
2026-02-06,2056,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.099
2026-02-06,2058,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.092
2026-02-06,2062,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.077
2026-02-06,2063,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.135
2026-02-06,2065,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.192
2026-02-06,2066,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.14
2026-02-06,2067,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.074
2026-02-06,2068,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.09
2026-02-06,2070,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.083
2026-02-06,2072,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.082
2026-02-06,2074,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.12
2026-02-06,2075,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.086
2026-02-06,2077,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.088
2026-02-06,2114,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.082
2026-02-06,2118,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.087
2025-08-01,1005,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.161
2025-08-01,1006,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.125
2025-08-01,1007,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.076
2025-08-01,1008,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.189
2025-08-01,1009,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.079
2025-08-01,1010,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.172
2025-08-01,1011,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.089
2025-08-01,1012,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.075
2025-08-01,1013,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.081
2025-08-01,1014,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.075
2025-08-01,1015,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.073
2025-08-01,1016,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.081
2025-08-01,1017,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.187
2025-08-01,1018,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.155
2025-08-01,1019,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.095
2025-08-01,1020,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.099
2025-08-01,1021,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.073
2025-08-01,1024,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.074
