effective_date,ticker,market,sector_codes,sector_names
2025-08-14,016790,['KOSDAQ'],"['2024', '2056']","['음식료·담배', '제조']"
2025-08-14,017040,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,017180,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,017250,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,017370,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,017480,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,017510,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,017550,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,017650,['KOSDAQ'],"['2024', '2062']","['제조', '종이·목재']"
2025-08-14,017800,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,017810,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,017860,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,017890,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,017900,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,017960,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,018000,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,018120,['KOSDAQ'],"['2024', '2056']","['음식료·담배', '제조']"
2025-08-14,018250,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,018290,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,018310,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,018470,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,018500,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,018620,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,018680,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,018880,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,019170,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,019180,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,019210,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,019440,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,019490,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,019540,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,019770,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,019990,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,020000,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,020150,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,020400,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,020760,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,021040,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,021050,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,021650,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,021820,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,022220,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,023000,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,023150,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,023160,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,023410,['KOSDAQ'],"['2024', '2067']","['비금속', '제조']"
2025-08-14,023440,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,023450,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,023600,['KOSDAQ'],"['2024', '2062']","['제조', '종이·목재']"
2025-08-14,023790,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,023800,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,023810,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,023900,['KOSDAQ'],"['2024', '2056']","['음식료·담배', '제조']"
2025-08-14,023910,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,024070,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,024090,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,024120,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,024740,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,024810,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,024830,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,024840,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,024850,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,024880,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,024890,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,024900,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,024910,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,025000,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,025320,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,025440,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,025540,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,025550,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,025560,['KOSPI'],"['1014', '1027']","['의료·정밀기기', '제조']"
2025-08-14,025620,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,025750,['KOSPI'],"['1007', '1027']","['제조', '종이·목재']"
2025-08-14,025820,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,025860,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,025880,['KOSDAQ'],"['2024', '2056']","['음식료·담배', '제조']"
2025-08-14,025890,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,025900,['KOSDAQ'],"['2024', '2062']","['제조', '종이·목재']"
2025-08-14,026040,['KOSDAQ'],"['2024', '2077']","['기타제조', '제조']"
2025-08-14,026910,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,026940,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,027040,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,027050,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,027580,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,027710,['KOSDAQ'],"['2024', '2056']","['음식료·담배', '제조']"
2025-08-14,027740,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,027970,['KOSPI'],"['1007', '1027']","['제조', '종이·목재']"
2025-08-14,028300,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,029460,['KOSPI'],"['1014', '1027']","['의료·정밀기기', '제조']"
2025-08-14,029480,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,029530,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,030210,['KOSPI'],"['1021', '1024']","['금융', '증권']"
2025-08-14,030530,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,030610,['KOSPI'],"['1021', '1024']","['금융', '증권']"
2025-08-14,030960,['KOSDAQ'],"['2024', '2063']","['제조', '출판·매체복제']"
2025-08-14,031210,['KOSPI'],"['1021', '1025']","['금융', '보험']"
2025-08-14,031510,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,031980,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,032080,['KOSDAQ'],"['2024', '2058']","['섬유·의류', '제조']"
2025-08-14,032300,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,032500,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,032540,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,032560,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,032580,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
