ticker,name,market,asset_type,is_common_stock,metadata_source,effective_date,classification_authority,asset_type_source,source_security_type
084370,유진테크,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
001200,유진투자증권,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
178780,유테크,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
221800,유투바이오,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
179900,유티아이,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
263050,유틸렉스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
000100,유한양행,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
000105,유한양행우,KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
003460,유화증권,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
003465,유화증권우,KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
191410,육일씨엔에쓰,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
008730,율촌화학,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
072770,율호,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
008250,이건산업,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
039020,이건홀딩스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
025820,이구산업,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
060230,이그잭스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
067920,이글루시큐리티,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
044960,이글벳,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
302430,이노메트리,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
279060,이노벡스,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
214320,이노션,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
073490,이노와이어리스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
086250,이노와이즈,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
215790,이노인스트루먼트,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
344860,이노진,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
246960,이노테라피,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
088390,이녹스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
272290,이녹스첨단소재,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
053350,이니텍,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
258610,이더블유케이,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
336040,이도바이오,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
215090,이디티,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
041520,이라이콤,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
264850,이랜시스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
054210,이랜텍,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
164060,이루다,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
065440,이루온,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
088260,이리츠코크렙,KOSPI,REIT,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
139480,이마트,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
036260,이매진아시아,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
115610,이미지스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
349720,이베스트스팩5호,KOSDAQ,SPAC,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
323210,이베스트이안스팩1호,KOSDAQ,SPAC,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
078020,이베스트투자증권,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
208850,이비테크,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
