ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,identity_lifecycle,identity_effective_from,identity_effective_to,entry_signal_date,entry_execution_date,entry_open,full_path_raw_mfe,full_path_raw_mae,full_path_mfe_cohort,v2_exit_reason,v2_exit_category,v2_exit_signal_date,v2_exit_execution_date,v2_exit_price,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_trade_status,v2_giveback,v4_exit_reason,v4_exit_signal_date,v4_exit_execution_date,v4_exit_price,v4_terminal_return,v4_strategy_path_mfe,v4_strategy_path_mae,v4_holding_days,v4_trade_status,v4_fast_state_at_exit,v4_active_soft_threshold,v4_active_hard_threshold,v4_mfe_tier,v4_phase_at_exit,v4_max_hwm_drawdown_pct,v4_final_valuation_date,v4_final_valuation_price,v4_unexecuted_exit_signal_date,v4_unexecuted_exit_reason,v4_giveback,v3_exit_reason,v3_terminal_return,v3_strategy_path_mfe,v3_giveback,entry_signal_date_match,entry_execution_date_match,entry_open_match,return_delta_v4_minus_v2,improved_worsened_same
000150,두산,KOSPI,KR7000150003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_03,3,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2023-03-10,2023-03-13,107200.0,2221.828358,-32.742537,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2023-05-03,2023-05-04,91300.0,-14.83,3.92,-15.11,38,REALIZED,18.75,WINNER_HARD_EXIT,2023-09-19,2023-09-20,123500.0,15.21,55.41,-21.55,133,REALIZED,EXTENDED,-15.0,-25.0,MFE_50_TO_100,WINNER,-28.81,2023-09-20,123500.0,,,40.2,SOFT_EXIT,29.38,55.41,26.03,True,True,True,30.04,improved
000210,DL,KOSPI,KR7000210005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2025-07-04,2025-07-07,50100.0,55.08982,-32.335329,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2025-08-11,2025-08-12,40100.0,-19.96,12.57,-22.36,27,REALIZED,32.53,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2025-10-10,2025-10-13,35600.0,-28.94,12.57,-30.14,65,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-37.68,2025-10-13,35600.0,,,41.51,SOFT_EXIT,22.95,34.13,11.18,True,True,True,-8.98,worsened
000210,DL,KOSPI,KR7000210005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2026-02-27,2026-03-03,50000.0,55.4,-22.0,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-03-04,2026-03-05,43500.0,-13.0,4.2,-19.8,3,REALIZED,17.2,WINNER_HARD_EXIT,2026-05-18,2026-05-19,58200.0,16.4,55.4,-19.9,54,REALIZED,SETUP,-15.0,-25.0,MFE_50_TO_100,WINNER,-26.13,2026-05-19,58200.0,,,39.0,SOFT_EXIT,23.2,34.4,11.2,True,True,True,29.4,improved
000210,DL,KOSPI,KR7000210005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_03,3,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2026-03-27,2026-03-30,58500.0,32.820513,-33.333333,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-06-08,2026-06-09,46100.0,-21.2,32.82,-22.48,48,REALIZED,54.02,WINNER_HARD_EXIT,2026-05-12,2026-05-13,61800.0,5.64,32.82,-3.59,31,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,WINNER,-20.59,2026-05-13,61800.0,,,27.18,SOFT_EXIT,9.06,32.82,23.76,True,True,True,26.84,improved
000240,한국앤컴퍼니,KOSPI,KR7000240002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000240_KR7000240002_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2023-12-01,2023-12-04,15710.0,132.017823,-14.958625,WINNER_CAPABLE_GE_20,EXIT3_PROGRESSED_TO_EARLY_TREND,EXIT3,2025-11-30,2025-12-01,29850.0,90.01,92.87,-14.96,484,REALIZED,2.86,WINNER_HARD_EXIT,2023-12-15,2023-12-18,20600.0,31.13,51.18,-0.7,11,REALIZED,SETUP,-15.0,-25.0,MFE_50_TO_100,WINNER,-33.26,2023-12-18,20600.0,,,20.05,HARD_EXIT,31.13,51.18,20.05,True,True,True,-58.88,worsened
000270,기아,KOSPI,KR7000270009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2023-03-31,2023-04-03,81500.0,160.736196,-6.01227,WINNER_CAPABLE_GE_20,EXIT3_PROGRESSED_TO_TRANSITION,EXIT3,2025-01-31,2025-02-03,100200.0,22.94,65.64,-6.01,446,REALIZED,42.7,WINNER_HARD_EXIT,2024-08-05,2024-08-06,100900.0,23.8,65.64,-6.01,331,REALIZED,SETUP,-15.0,-25.0,MFE_50_TO_100,WINNER,-28.67,2024-08-06,100900.0,,,41.84,SOFT_EXIT,8.83,23.8,14.97,True,True,True,0.86,improved
000270,기아,KOSPI,KR7000270009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000270_KR7000270009_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2025-10-24,2025-10-27,115400.0,84.142114,-5.632582,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2026-05-31,2026-06-01,170500.0,47.75,84.14,-5.63,146,REALIZED,36.39,WINNER_HARD_EXIT,2026-03-04,2026-03-05,171600.0,48.7,84.14,-5.63,87,REALIZED,EXTENDED,-15.0,-25.0,MFE_50_TO_100,WINNER,-26.26,2026-03-05,171600.0,,,35.44,HARD_EXIT,48.7,84.14,35.44,True,True,True,0.95,improved
000370,한화손해보험,KOSPI,KR7000370007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000370_KR7000370007_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2025-06-13,2025-06-16,5510.0,96.00726,-8.348457,WINNER_CAPABLE_GE_20,NO_EXIT_BEFORE_CUTOFF,OPEN_AT_CUTOFF,,,,33.39,96.01,-8.35,291,OPEN_AT_CUTOFF,62.62,WINNER_HARD_EXIT,2025-07-23,2025-07-24,6530.0,18.51,47.91,-3.81,29,REALIZED,EXTENDED,-10.0,-20.0,MFE_20_TO_50,WINNER,-20.25,2025-07-24,6530.0,,,29.4,HARD_EXIT,18.51,47.91,29.4,True,True,True,-14.88,worsened
000430,대원강업,KOSPI,KR7000430009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000430_KR7000430009_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2026-06-12,2026-06-15,5170.0,2.514507,-39.26499,PRE_WINNER_LT_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-06-22,2026-06-23,4285.0,-17.12,2.51,-17.41,7,REALIZED,19.63,OPEN_AT_CUTOFF,,,,-22.73,2.51,-39.26,48,OPEN_AT_CUTOFF,,,,,,-39.43,2026-08-21,3995.0,,,25.24,OPEN_AT_CUTOFF,-22.73,2.51,25.24,True,True,True,-5.61,worsened
000480,CR홀딩스,KOSPI,KR7000480004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000480_KR7000480004_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-05-07,2021-05-10,9410.0,155.579171,-52.709883,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-01-07,2022-01-10,7990.0,-15.09,4.46,-15.52,168,REALIZED,19.55,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2022-01-07,2022-01-10,7990.0,-15.09,4.46,-15.52,168,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-18.72,2022-01-10,7990.0,,,19.55,SOFT_EXIT,11.58,30.71,19.13,True,True,True,0.0,same
000480,CR홀딩스,KOSPI,KR7000480004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000480_KR7000480004_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2023-03-31,2023-04-03,9410.0,155.579171,-52.709883,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2023-09-11,2023-09-12,7860.0,-16.47,155.58,-16.68,86,REALIZED,172.05,WINNER_HARD_EXIT,2023-04-24,2023-04-25,11520.0,22.42,64.72,-11.58,12,REALIZED,TRIGGER,-15.0,-25.0,MFE_50_TO_100,WINNER,-25.68,2023-04-25,11520.0,,,42.3,SOFT_EXIT,11.58,30.71,19.13,True,True,True,38.89,improved
000490,대동,KOSPI,KR7000490003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000490_KR7000490003_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2025-02-14,2025-02-17,13280.0,4.216867,-58.810241,PRE_WINNER_LT_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2025-03-21,2025-03-24,11010.0,-17.09,4.22,-17.24,25,REALIZED,21.31,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2025-05-16,2025-05-19,11000.0,-17.17,4.22,-32.15,62,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-33.53,2025-05-19,11000.0,,,21.39,OPEN_AT_CUTOFF,-43.15,4.22,47.37,True,True,True,-0.08,worsened
000640,동아쏘시오홀딩스,KOSPI,KR7000640003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000640_KR7000640003_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-07-16,2021-07-19,127839.0,3.321365,-43.321678,PRE_WINNER_LT_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2021-08-19,2021-08-20,105668.0,-17.34,3.32,-18.82,24,REALIZED,20.66,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2021-10-08,2021-10-12,102837.0,-19.56,3.32,-21.77,56,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-22.14,2021-10-12,102837.0,,,22.88,OPEN_AT_CUTOFF,-29.6,3.32,32.92,True,True,True,-2.22,worsened
000640,동아쏘시오홀딩스,KOSPI,KR7000640003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000640_KR7000640003_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2023-09-22,2023-09-25,90761.0,34.294466,-17.916286,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-06-23,2026-06-24,76300.0,-15.93,34.29,-15.93,665,REALIZED,50.22,WINNER_SOFT_WATCH_EXIT,2024-05-24,2024-05-27,98968.0,9.04,26.2,-7.69,161,REALIZED,WATCH,-10.0,-20.0,MFE_20_TO_50,WINNER,-18.99,2024-05-27,98968.0,,,17.16,SOFT_EXIT,10.5,26.2,15.7,True,True,True,24.97,improved
000660,SK하이닉스,KOSPI,KR7000660001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000660_KR7000660001_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2022-03-04,2022-03-07,119000.0,2410.084034,-38.571429,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-06-13,2022-06-14,96900.0,-18.57,5.04,-18.57,68,REALIZED,23.61,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2022-06-13,2022-06-14,96900.0,-18.57,5.04,-18.57,68,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-20.8,2022-06-14,96900.0,,,23.61,HARD_EXIT,41.18,108.82,67.64,True,True,True,0.0,same
000660,SK하이닉스,KOSPI,KR7000660001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000660_KR7000660001_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2023-06-02,2023-06-05,110100.0,2612.988193,-3.088102,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2024-04-30,2024-05-02,169000.0,53.5,73.84,-3.09,224,REALIZED,20.34,WINNER_HARD_EXIT,2024-08-02,2024-08-05,168000.0,52.59,125.7,-3.09,288,REALIZED,SETUP,-20.0,-30.0,MFE_100_TO_200,WINNER,-30.3,2024-08-05,168000.0,,,73.11,HARD_EXIT,52.59,125.7,73.11,True,True,True,-0.91,worsened
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-04-30,2021-05-03,63794.0,33.38245,-58.641879,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-06-20,2022-06-21,53806.0,-15.66,13.74,-17.13,280,REALIZED,29.4,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2022-07-01,2022-07-04,50790.0,-20.38,13.74,-22.75,289,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-31.95,2022-07-04,50790.0,,,34.12,SOFT_EXIT,15.07,33.38,18.31,True,True,True,-4.72,worsened
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2022-09-23,2022-09-26,68882.0,23.530095,-61.696815,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-10-20,2022-10-21,58329.0,-15.32,2.05,-16.96,18,REALIZED,17.37,WINNER_HARD_EXIT,2022-12-06,2022-12-07,67092.0,-2.6,23.53,-19.97,51,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,WINNER,-21.04,2022-12-07,67092.0,,,26.13,SOFT_EXIT,6.57,23.53,16.96,True,True,True,12.72,improved
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_03,3,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2022-11-11,2022-11-14,71144.0,19.602496,-62.914652,PRE_WINNER_LT_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-12-23,2022-12-26,59365.0,-16.56,19.6,-17.09,31,REALIZED,36.16,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2022-12-23,2022-12-26,59365.0,-16.56,19.6,-17.09,31,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-29.9,2022-12-26,59365.0,,,36.16,OPEN_AT_CUTOFF,-47.57,19.6,67.17,True,True,True,0.0,same
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_04,4,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2025-11-14,2025-11-17,55064.0,30.388275,-43.701874,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-01-02,2026-01-05,45500.0,-17.37,30.39,-18.28,33,REALIZED,47.76,WINNER_HARD_EXIT,2025-12-16,2025-12-17,56426.0,2.47,30.39,-2.65,23,REALIZED,TRIGGER,-10.0,-20.0,MFE_20_TO_50,WINNER,-21.41,2025-12-17,56426.0,,,27.92,HARD_EXIT,2.47,30.39,27.92,True,True,True,19.84,improved
000670,영풍,KOSPI,KR7000670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000670_KR7000670000_KOSPI_05,5,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2026-01-30,2026-02-02,59700.0,18.927973,-48.073702,PRE_WINNER_LT_20,EXIT3_PROGRESSED_TO_WEAK,EXIT3,2026-07-31,2026-08-03,32450.0,-45.64,18.93,-48.07,122,REALIZED,64.57,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2026-06-26,2026-06-29,41350.0,-30.74,18.93,-37.1,98,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-45.85,2026-06-29,41350.0,,,49.67,OPEN_AT_CUTOFF,-37.52,18.93,56.45,True,True,True,14.9,improved
000720,현대건설,KOSPI,KR7000720003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000720_KR7000720003_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-04-30,2021-05-03,48551.0,308.642458,-50.361476,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2021-09-30,2021-10-01,51200.0,5.46,24.05,-3.51,102,REALIZED,18.59,WINNER_HARD_EXIT,2021-08-19,2021-08-20,47772.0,-1.6,24.05,-2.11,75,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,WINNER,-20.76,2021-08-20,47772.0,,,25.65,SOFT_EXIT,10.22,24.05,13.83,True,True,True,-7.06,worsened
000720,현대건설,KOSPI,KR7000720003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000720_KR7000720003_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2025-03-07,2025-03-10,35650.0,456.521739,-11.220196,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2025-09-30,2025-10-01,54500.0,52.88,138.71,-11.22,142,REALIZED,85.83,WINNER_HARD_EXIT,2025-08-20,2025-08-21,60100.0,68.58,138.71,-11.22,113,REALIZED,EXTENDED,-20.0,-30.0,MFE_100_TO_200,WINNER,-30.9,2025-08-21,60100.0,,,70.13,HARD_EXIT,68.58,138.71,70.13,True,True,True,15.7,improved
000810,삼성화재,KOSPI,KR7000810002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000810_KR7000810002_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-07-02,2021-07-05,223000.0,239.461883,-20.627803,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-03-02,2022-03-03,189000.0,-15.25,13.45,-16.14,163,REALIZED,28.7,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2022-03-11,2022-03-14,184000.0,-17.49,13.45,-20.63,169,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-28.46,2022-03-14,184000.0,,,30.94,SOFT_EXIT,10.31,23.09,12.78,True,True,True,-2.24,worsened
