case_type,rank,ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,entry_signal_date,entry_execution_date,entry_open,full_path_raw_mfe,full_path_mfe_cohort,v2_exit_category,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_giveback,v3_exit_reason,v3_terminal_return,v4_exit_reason,v4_terminal_return,v4_strategy_path_mfe,v4_strategy_path_mae,v4_holding_days,v4_giveback,return_delta_v4_minus_v2
V4_SOFT_STILL_DAMAGES_WINNER,2,316140,우리금융지주,KOSPI,KR7316140003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_316140_KR7316140003_KOSPI_02,2,2023-10-06,2023-10-10,12470.0,232.798717,WINNER_CAPABLE_GE_20,EXIT4,125.34,134.56,-6.98,544,9.22,SOFT_EXIT,12.27,WINNER_SOFT_WATCH_EXIT,12.11,24.3,-6.98,170,12.19,-113.23
V4_SOFT_STILL_DAMAGES_WINNER,3,017800,현대엘리베이터,KOSPI,KR7017800004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_017800_KR7017800004_KOSPI_02,2,2023-06-30,2023-07-03,39700.0,185.642317,WINNER_CAPABLE_GE_20,EXIT4,115.11,185.64,-5.42,668,70.53,SOFT_EXIT,12.72,WINNER_SOFT_WATCH_EXIT,3.78,26.95,-4.28,127,23.17,-111.33
V4_SOFT_STILL_DAMAGES_WINNER,4,066570,LG전자,KOSPI,KR7066570003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_066570_KR7066570003_KOSPI_02,2,2025-11-07,2025-11-10,89000.0,392.134831,WINNER_CAPABLE_GE_20,OPEN_AT_CUTOFF,118.54,392.13,-5.62,192,273.59,SOFT_EXIT,12.47,WINNER_SOFT_WATCH_EXIT,12.47,25.39,-5.62,56,12.92,-106.07
V4_SOFT_STILL_DAMAGES_WINNER,5,039490,키움증권,KOSPI,KR7039490008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_039490_KR7039490008_KOSPI_01,1,2024-02-16,2024-02-19,119300.0,333.361274,WINNER_CAPABLE_GE_20,EXIT4,107.04,136.8,-10.31,396,29.76,SOFT_EXIT,7.38,WINNER_SOFT_WATCH_EXIT,10.98,22.72,-3.94,156,11.74,-96.06
V4_SOFT_STILL_DAMAGES_WINNER,6,086790,하나금융지주,KOSPI,KR7086790003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_086790_KR7086790003_KOSPI_02,2,2023-10-06,2023-10-10,43150.0,230.243337,WINNER_CAPABLE_GE_20,EXIT4,119.0,134.3,-9.73,523,15.3,SOFT_EXIT,26.3,WINNER_SOFT_WATCH_EXIT,29.32,60.6,-9.73,369,31.28,-89.68
V4_SOFT_STILL_DAMAGES_WINNER,7,033780,KT&G,KOSPI,KR7033780008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_033780_KR7033780008_KOSPI_01,1,2022-09-23,2022-09-26,86100.0,123.461092,WINNER_CAPABLE_GE_20,EXIT4,103.95,123.46,-5.92,941,19.51,SOFT_EXIT,25.78,WINNER_SOFT_WATCH_EXIT,21.25,46.81,-5.92,590,25.56,-82.7
V4_SOFT_STILL_DAMAGES_WINNER,8,018670,SK가스,KOSPI,KR7018670000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_018670_KR7018670000_KOSPI_02,2,2023-06-02,2023-06-05,128000.0,135.9375,WINNER_CAPABLE_GE_20,EXIT4,92.58,107.03,-7.97,444,14.45,SOFT_EXIT,16.33,WINNER_SOFT_WATCH_EXIT,15.23,36.48,-7.97,146,21.25,-77.35
V4_SOFT_STILL_DAMAGES_WINNER,9,086280,현대글로비스,KOSPI,KR7086280005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_086280_KR7086280005_KOSPI_02,2,2023-06-16,2023-06-19,96388.0,207.092169,WINNER_CAPABLE_GE_20,EXIT4,93.59,102.2,-15.52,578,8.61,SOFT_EXIT,16.72,WINNER_SOFT_WATCH_EXIT,19.83,34.35,-15.52,319,14.52,-73.76
V4_SOFT_STILL_DAMAGES_WINNER,10,272210,한화시스템,KOSPI,KR7272210006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_272210_KR7272210006_KOSPI_02,2,2024-03-08,2024-03-11,18010.0,921.654636,WINNER_CAPABLE_GE_20,EXIT4,75.18,108.22,-10.22,237,33.04,SOFT_EXIT,4.83,WINNER_SOFT_WATCH_EXIT,4.83,24.65,-10.22,76,19.82,-70.35
V4_HARD_DAMAGES_WINNER,1,080220,제주반도체,KOSDAQ,KR7080220007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_080220_KR7080220007_KOSDAQ_01,1,2025-09-19,2025-09-22,19250.0,616.883117,WINNER_CAPABLE_GE_20,OPEN_AT_CUTOFF,281.82,616.88,-9.19,222,335.06,HARD_EXIT,-0.05,WINNER_HARD_EXIT,-0.05,25.45,-7.01,31,25.5,-281.87
V4_HARD_DAMAGES_WINNER,2,307950,현대오토에버,KOSPI,KR7307950006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_307950_KR7307950006_KOSPI_01,1,2023-04-14,2023-04-17,126000.0,746.031746,WINNER_CAPABLE_GE_20,EXIT4,288.89,330.95,-15.08,698,42.06,SOFT_EXIT,15.08,WINNER_HARD_EXIT,46.27,108.73,-9.13,108,62.46,-242.62
V4_HARD_DAMAGES_WINNER,3,319660,피에스케이,KOSDAQ,KR7319660007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_319660_KR7319660007_KOSDAQ_03,3,2025-08-29,2025-09-01,24000.0,814.583333,WINNER_CAPABLE_GE_20,EXIT4,250.0,273.33,-6.46,141,23.33,HARD_EXIT,25.83,WINNER_HARD_EXIT,25.83,72.5,-6.46,56,46.67,-224.17
V4_HARD_DAMAGES_WINNER,4,281820,케이씨텍,KOSPI,KR7281820001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_281820_KR7281820001_KOSPI_02,2,2025-10-17,2025-10-20,38350.0,225.423729,WINNER_CAPABLE_GE_20,EXIT4,197.26,203.52,-8.47,172,6.26,SOFT_EXIT,0.26,WINNER_HARD_EXIT,-6.13,20.34,-8.08,41,26.47,-203.39
V4_HARD_DAMAGES_WINNER,5,047050,포스코인터내셔널,KOSPI,KR7047050000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_047050_KR7047050000_KOSPI_02,2,2023-04-14,2023-04-17,27450.0,252.276867,WINNER_CAPABLE_GE_20,EXIT4,191.07,252.28,-4.92,95,61.21,HARD_EXIT,0.91,WINNER_HARD_EXIT,0.91,26.05,-2.0,8,25.14,-190.16
V4_HARD_DAMAGES_WINNER,6,034020,두산에너빌리티,KOSPI,KR7034020008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_034020_KR7034020008_KOSPI_03,3,2025-01-24,2025-01-31,23500.0,492.340426,WINNER_CAPABLE_GE_20,EXIT4,188.51,207.23,-15.06,102,18.72,SOFT_EXIT,5.32,WINNER_HARD_EXIT,-0.21,31.49,-3.4,41,31.7,-188.72
