ticker,trade_sequence,legacy_trade_sequence,current_trade_sequence,legacy_present,current_present,legacy_entry_signal_date,current_entry_signal_date,market_cap_reference_date,market_cap_source,source_available_in_legacy_generation,source_available_in_current_generation,delta_classification
007660,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
008060,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
008930,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
009160,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
009450,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
009680,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
009830,1,,1,False,True,,2022-06-10,2022-06-10,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220610.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
009970,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
010130,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
010660,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
010950,1,,1,False,True,,2024-04-05,2024-04-05,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240405.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
