trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_source_isu_cd,control_lifecycle_event_type,control_unresolved_reason,control_lifecycle_evidence_id,control_terminal_reason,control_lifecycle_state,control_certification_class,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_lifecycle_state,candidate_certification_class,pair_certification_class,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source,candidate_source_isu_cd,candidate_lifecycle_event_type,candidate_unresolved_reason,candidate_lifecycle_evidence_id,trade_status,terminal_reason
000670_01,000670|KR7000670000|KOSPI|2010-01-04|2026-08-21|000670_01,000670,KR7000670000|KOSPI|2010-01-04|2026-08-21,2022-09-26,2022-09-23,68882.00000000,2022-10-21,nan,-15.32000000,18,False,2022-10-21,nan,-15.32000000,18,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000670000,,,,,,,,,,,,,,,,,,,KR7000670000,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000670_02,000670|KR7000670000|KOSPI|2010-01-04|2026-08-21|000670_02,000670,KR7000670000|KOSPI|2010-01-04|2026-08-21,2022-11-14,2022-11-11,71144.00000000,2022-12-26,nan,-16.56000000,31,False,2022-12-26,nan,-16.56000000,31,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000670000,,,,,,,,,,,,,,,,,,,KR7000670000,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000700_01,000700|KR7000700005|KOSPI|2010-01-04|2026-08-21|000700_01,000700,KR7000700005|KOSPI|2010-01-04|2026-08-21,2022-08-22,2022-08-19,6340.00000000,2024-04-17,nan,-15.30000000,408,False,2024-04-17,nan,-15.30000000,408,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000700005,,,,,,,,,,,,,,,,,,,KR7000700005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000720_01,000720|KR7000720003|KOSPI|2010-01-04|2026-08-21|000720_01,000720,KR7000720003|KOSPI|2010-01-04|2026-08-21,2025-03-10,2025-03-07,35650.00000000,2025-05-30,nan,78.96000000,57,True,2025-05-30,nan,78.96000000,57,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000720003,,,,,,,,,,,,,,,,,,,KR7000720003,,,,CONTROL=OPEN_AT_CUTOFF;CANDIDATE=OPEN_AT_CUTOFF,CONTROL=nan;CANDIDATE=nan
000760_01,000760|KR7000760009|KOSPI|2010-01-04|2026-08-21|000760_01,000760,KR7000760009|KOSPI|2010-01-04|2026-08-21,2022-04-11,2022-04-08,18000.00000000,2022-06-23,nan,-16.39000000,51,False,2022-06-23,nan,-16.39000000,51,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000760009,,,,,,,,,,,,,,,,,,,KR7000760009,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000810_01,000810|KR7000810002|KOSPI|2010-01-04|2026-08-21|000810_01,000810,KR7000810002|KOSPI|2010-01-04|2026-08-21,2022-12-19,2022-12-16,212000.00000000,2024-07-01,nan,80.90000000,376,False,2024-07-01,nan,80.90000000,376,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000810002,,,,,,,,,,,,,,,,,,,KR7000810002,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000850_01,000850|KR7000850008|KOSPI|2010-01-04|2026-08-21|000850_01,000850,KR7000850008|KOSPI|2010-01-04|2026-08-21,2022-06-07,2022-06-03,37350.00000000,2022-06-24,nan,-16.06000000,14,False,2022-06-24,nan,-16.06000000,14,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000850008,,,,,,,,,,,,,,,,,,,KR7000850008,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000860_01,000860|KR7000860007|KOSPI|2010-01-04|2026-08-21|000860_01,000860,KR7000860007|KOSPI|2010-01-04|2026-08-21,2024-03-11,2024-03-08,11129.00000000,2025-05-30,nan,12.14000000,288,True,2025-05-30,nan,12.14000000,288,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000860007,,,,,,,,,,,,,,,,,,,KR7000860007,,,,CONTROL=OPEN_AT_CUTOFF;CANDIDATE=OPEN_AT_CUTOFF,CONTROL=nan;CANDIDATE=nan
000880_01,000880|KR7000880005|KOSPI|2010-01-04|2026-08-21|000880_01,000880,KR7000880005|KOSPI|2010-01-04|2026-08-21,2023-06-05,2023-06-02,37034.00000000,2023-08-18,nan,-17.02000000,53,False,2023-08-18,nan,-17.02000000,53,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000880005,,,,,,,,,,,,,,,,,,,KR7000880005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
000880_02,000880|KR7000880005|KOSPI|2010-01-04|2026-08-21|000880_02,000880,KR7000880005|KOSPI|2010-01-04|2026-08-21,2024-02-05,2024-02-02,37334.00000000,2024-04-17,nan,-15.11000000,49,False,2024-04-17,nan,-15.11000000,49,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7000880005,,,,,,,,,,,,,,,,,,,KR7000880005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
