run,path,category,bytes,sha256,git_tracked,in_origin_main,modified_vs_head,over_size_limit
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/sample_benchmark.json,preflight_validation,11454,ceb08fda2e346bc69a9a7b24625072b8b5f01b0d1a2dd040625727342ce35c28,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/summary.json,summary,9917,ab3dc724153fb38c49e76191bfe7c04f5f1cada8c654ed01ae506ee6493cf45a,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260925_corrective_full_recert_v02/unresolved_inventory.json,exclusion_identity_audit,8307,ce201da3b17d72f3d293c1fe39bfd4c8d44d1bc65006f1f3abe03b932a7df36b,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/preflight_raw_mcap_source_correction_v01/raw_mcap_exact_lookup_audit.csv,pit_mcap_audit,903704,dd5deacf24207689bb84a3694548a722e6f846f16eb49684f63931d1a664e977,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/preflight_raw_mcap_source_correction_v01/raw_mcap_source_correction_report.md,final_report,2468,b1623667db4cd4d7efdaf476da28fffc446e0f11318137cb79f3a77b5ba6f1b6,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/preflight_raw_mcap_source_correction_v01/raw_mcap_source_correction_summary.json,pit_mcap_audit,2624,b9acb1e49429e2c3398713b12c260b08112d7e495330ed3c66975304a1c14b33,False,False,False,False
SIMPLE_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/preflight_raw_mcap_source_correction_v01/raw_store_coverage_evidence.json,pit_mcap_audit,10329,3e0c7e03fdcaca65c4e3d6e711ee9c6dad82e470fedb2cd173df015e0d93dd75,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/candidate_trades.csv,candidate_ledger,1236820,5005a8b13ad80e10a061b8a88677ca3344c65049ab085bbb3c9d1136e8ce1cf7,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/control_trades.csv,control_ledger,1067300,b58b27d326b79625bbdce775ab155d52486a11b1bcccfe2acf203d55a1b675f1,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/p2_2_matched_trades.csv,paired_identity_audit,803354,9bf27c79224abd3407e87718f89efbae1b066fa1f1bd2aedafe81b78d5ed0012,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/p2_2_soft_events.csv,lifecycle_soft_event,453213,a6bfd53a3c675d0df101008969d5bdbb94955c66a3a9c9d01ca0cab1b075e282,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/p2_2_summary.json,summary,22423,cc04b7f1608d5e7a27e8f3739916f5d83aa9374100684d40f54a7ca1ab773409,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/paired_trades.csv,paired_identity_audit,2163120,fca992c5128ca4e9a5cde76a5da259e50a272363378f1e3d906209f7c717714a,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/run_manifest.json,manifest,858,e025e852ba92605d3e68e6e9c5831f42daaa9f53975dddc02e5b650c19742a35,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/sample_benchmark_p2_2_pit_extension_v01.json,preflight_validation,6061,d5123eb305b732b315791f90f4a218d747a4542f5b761ae9db6d3079958783d1,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260924_final_corrective_v01/summary.json,summary,22423,cc04b7f1608d5e7a27e8f3739916f5d83aa9374100684d40f54a7ca1ab773409,False,False,False,False
SIMPLE_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/lifecycle_settlement_evidence_v01.json,lifecycle_soft_event,1236,980ca61914ceb8ff454efeb1fc6a37105503edc34840ab84455e1e9c0b6732eb,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/candidate_trades.csv,candidate_ledger,605272,b35b7df72b9f83b37b2b66154e67fc45ba6c81716ac14ede43ebab6a1c0ae19e,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/control_trades.csv,control_ledger,526492,333caeae854f69981d6ab3dd2d235eb798c25c7e1086ba7d4ea7d3da109c5b1e,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/p3_1_matched_trades.csv,paired_identity_audit,461328,7601fe019ee22dd9ac173c50ceba4f2c1ca48c032613d08eb424fb057e1cb8c8,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/p3_1_soft_events.csv,lifecycle_soft_event,61764,0132c4642476e0fe5c8efb7488dc95851e9f17d4c542a9acd99cfdeb6700a4eb,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/p3_1_summary.json,summary,20688,6d2757f521130f2455b1489361bab3c40f224b8025458be2d45d040dd990b156,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/paired_trades.csv,paired_identity_audit,1064121,2b7b2cfc5f86eefbcfa803427b10e93f2730f18d206b09987f6b060497dde7eb,False,False,False,False
