ticker,population_class,currently_common,historical_only,alpha_ticker,control_category,selection_reason,authority_source_path,authority_identity_hash_or_reference,listing_start,listing_end
0015S0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0015S0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-12-10,2026-08-21
0017J0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0017J0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-06-10,2026-08-21
0039P0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0039P0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-07-01,2026-08-21
0082N0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0082N0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-03-16,2026-08-21
0088M0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0088M0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-03-26,2026-08-21
0117P0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0117P0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-06-08,2026-08-21
0156T0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0156T0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-07-24,2026-08-21
0218L0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0218L0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2026-07-27,2026-08-21
0120G0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0120G0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-11-24,2026-08-21
0126Z0,ALPHA_TICKER,True,False,True,ALPHA_23_FULL_SET,ALPHA_23_POPULATION_CONTROL_0126Z0,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,pit_common_denominator_v01.json,2025-11-24,2026-08-21
005930,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_005930_STOCK_SPLIT_50_TO_1,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=STOCK_SPLIT_50_TO_1,date=2018-05-04,window=[2018-01-02,2018-12-28]",2010-01-04,2026-08-21
035420,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_035420_STOCK_SPLIT_5_TO_1,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=STOCK_SPLIT_5_TO_1,date=2018-10-12,window=[2018-01-02,2018-12-28]",2010-01-04,2026-08-21
035720,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_035720_STOCK_SPLIT_5_TO_1,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=STOCK_SPLIT_5_TO_1,date=2021-04-15,window=[2021-01-04,2021-12-30]",2010-01-04,2026-08-21
003670,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_003670_RIGHTS_OFFERING,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=RIGHTS_OFFERING,date=2021-02-09,window=[2020-06-01,2021-06-30]",2010-01-04,2026-08-21
028260,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_028260_MERGER,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=MERGER,date=2015-09-01,window=[2015-01-02,2016-12-30]",2014-12-18,2026-08-21
000100,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_000100_BONUS_ISSUE_STOCK_DIVIDEND,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=BONUS_ISSUE_STOCK_DIVIDEND,date=2020-04-01,window=[2020-01-02,2021-12-30]",2010-01-04,2026-08-21
004020,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_004020_MERGER,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=MERGER,date=2015-07-01,window=[2015-01-02,2015-12-30]",2010-01-04,2026-08-21
010130,CURRENT_COMMON,True,False,False,CORPORATE_ACTION_CONTROL,CORP_ACTION_010130_RIGHTS_OFFERING,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,"event=RIGHTS_OFFERING,date=2022-08-30,window=[2022-01-03,2023-12-28]",2010-01-04,2026-08-21
000610,CURRENT_COMMON,True,False,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_000610,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,empty_ticker_investigation.csv,2010-01-04,2010-01-19
015940,CURRENT_COMMON,True,False,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_015940,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,empty_ticker_investigation.csv,2010-01-04,2010-01-14
037510,CURRENT_COMMON,True,False,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_037510,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,empty_ticker_investigation.csv,2010-01-04,2010-01-25
