ticker,control_category,population_class,expected_count,candidate_count,missing_expected_count,raw_unexpected_count,reconciled_unexpected_count,unreconciled_unexpected_count,first_expected_date,last_expected_date,first_candidate_date,last_candidate_date,pre_listing_rows,post_delisting_rows,future_rows,coverage_status,error_detail
0218L0,ALPHA_23_FULL_SET,ALPHA_TICKER,19,19,0,0,0,0,2026-07-27,2026-08-21,2026-07-27,2026-08-21,0,0,0,COVERAGE_VALID,
0120G0,ALPHA_23_FULL_SET,ALPHA_TICKER,182,182,0,0,0,0,2025-11-24,2026-08-21,2025-11-24,2026-08-21,0,0,0,COVERAGE_VALID,
0126Z0,ALPHA_23_FULL_SET,ALPHA_TICKER,182,182,0,0,0,0,2025-11-24,2026-08-21,2025-11-24,2026-08-21,0,0,0,COVERAGE_VALID,
005930,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
035420,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
035720,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,4092,4095,0,3,3,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
003670,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
028260,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,2864,2864,0,0,0,0,2014-12-18,2026-08-21,2014-12-18,2026-08-21,0,0,0,COVERAGE_VALID,
000100,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
004020,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
010130,CORPORATE_ACTION_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
