date,strategy_id,valuation_basis_date,cash,pending_sale_proceeds,invested_market_value,equity,drawdown,exposure,cash_ratio,open_positions,valuation_is_execution_support_only
2022-06-16,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-16,97362466.00096838,4161164.5481219995,92230748.0,193754378.5490904,-0.03240944366416654,0.4760189095630272,0.5239810904369727,19,False
2022-06-17,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-17,101523630.54909039,0.0,91451529.0,192975159.5490904,-0.03630078770172296,0.4739031138188328,0.5260968861811672,19,False
2022-06-20,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-20,101523630.54909039,4238536.88034,85859414.0,191621581.42943037,-0.04306042542270494,0.44806755773289536,0.5519324422671047,18,False
2022-06-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-21,105762167.42943038,0.0,87272607.0,193034774.42943037,-0.03600307677686021,0.4521082134447496,0.5478917865552505,18,False
2022-06-22,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-22,105762167.42943038,0.0,85160474.0,190922641.42943037,-0.04655086392793861,0.44604701339980873,0.5539529866001913,18,False
2022-06-23,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-23,105762167.42943038,0.0,83594763.0,189356930.42943037,-0.0543698726589712,0.4414666144535657,0.5585333855464344,18,False
2022-06-24,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-24,105762167.42943038,8379610.93107,76328131.0,190469909.3605004,-0.04881176392786313,0.4007359023599604,0.5992640976400395,16,False
2022-06-27,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-27,114141778.36050038,4249475.0400312,72948896.0,191340149.4005316,-0.04446586965293109,0.3812524252152451,0.6187475747847548,15,False
2022-06-28,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-28,118391253.40053158,0.0,74348168.0,192739421.4005316,-0.03747804112960251,0.38574448060367034,0.6142555193963296,15,False
2022-06-29,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-29,118391253.40053158,0.0,74172050.0,192563303.4005316,-0.038357557323645985,0.38518268377294174,0.6148173162270582,15,False
2022-06-30,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-06-30,118391253.40053158,0.0,73560612.0,191951865.4005316,-0.04141101933578295,0.38322426222066963,0.6167757377793303,15,False
2022-07-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-01,118391253.40053158,7372495.025099999,66248149.0,192011897.42563158,-0.04111122523048616,0.34502106321645337,0.6549789367835466,14,False
2022-07-04,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-04,115946121.65447937,0.0,74808902.0,190755023.65447938,-0.04738793082330939,0.3921726440898549,0.607827355910145,16,False
2022-07-05,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-05,115946121.65447937,0.0,75310679.0,191256800.65447938,-0.04488210519902036,0.3937673261410177,0.6062326738589822,16,False
2022-07-06,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-06,115946121.65447937,0.0,71419164.0,187365285.65447938,-0.06431595331143969,0.38117607405517046,0.6188239259448295,16,False
