pair_id,control_trade_id,control_ticker,control_isu_cd,control_market,control_entry_signal_date,control_entry_execution_date,candidate_trade_id,candidate_ticker,candidate_isu_cd,candidate_market,candidate_entry_signal_date,candidate_entry_execution_date,identity_and_entry_match
003090|KR7003090008|KOSPI|2010-01-04|2026-09-01|003090_01,003090_01,3090,KR7003090008,KOSPI,2024-10-11,2024-10-14,003090_01,3090,KR7003090008,KOSPI,2024-10-11,2024-10-14,True
003090|KR7003090008|KOSPI|2010-01-04|2026-09-01|003090_02,003090_02,3090,KR7003090008,KOSPI,2025-05-30,2025-06-02,003090_02,3090,KR7003090008,KOSPI,2025-05-30,2025-06-02,True
003090|KR7003090008|KOSPI|2010-01-04|2026-09-01|003090_03,003090_03,3090,KR7003090008,KOSPI,2026-02-13,2026-02-19,003090_03,3090,KR7003090008,KOSPI,2026-02-13,2026-02-19,True
003240|KR7003240009|KOSPI|2010-01-04|2026-09-01|003240_01,003240_01,3240,KR7003240009,KOSPI,2024-02-02,2024-02-05,003240_01,3240,KR7003240009,KOSPI,2024-02-02,2024-02-05,True
003240|KR7003240009|KOSPI|2010-01-04|2026-09-01|003240_02,003240_02,3240,KR7003240009,KOSPI,2026-02-13,2026-02-19,003240_02,3240,KR7003240009,KOSPI,2026-02-13,2026-02-19,True
003380|KR7003380003|KOSDAQ|2017-06-30|2026-09-01|003380_01,003380_01,3380,KR7003380003,KOSDAQ,2023-02-03,2023-02-06,003380_01,3380,KR7003380003,KOSDAQ,2023-02-03,2023-02-06,True
003490|KR7003490000|KOSPI|2010-01-04|2026-09-01|003490_01,003490_01,3490,KR7003490000,KOSPI,2025-01-17,2025-01-20,003490_01,3490,KR7003490000,KOSPI,2025-01-17,2025-01-20,True
003490|KR7003490000|KOSPI|2010-01-04|2026-09-01|003490_02,003490_02,3490,KR7003490000,KOSPI,2025-07-18,2025-07-21,003490_02,3490,KR7003490000,KOSPI,2025-07-18,2025-07-21,True
003490|KR7003490000|KOSPI|2010-01-04|2026-09-01|003490_03,003490_03,3490,KR7003490000,KOSPI,2026-02-27,2026-03-03,003490_03,3490,KR7003490000,KOSPI,2026-02-27,2026-03-03,True
003540|KR7003540002|KOSPI|2010-01-04|2026-09-01|003540_01,003540_01,3540,KR7003540002,KOSPI,2025-07-04,2025-07-07,003540_01,3540,KR7003540002,KOSPI,2025-07-04,2025-07-07,True
003550|KR7003550001|KOSPI|2010-01-04|2026-09-01|003550_01,003550_01,3550,KR7003550001,KOSPI,2022-08-12,2022-08-16,003550_01,3550,KR7003550001,KOSPI,2022-08-12,2022-08-16,True
003550|KR7003550001|KOSPI|2010-01-04|2026-09-01|003550_02,003550_02,3550,KR7003550001,KOSPI,2024-02-02,2024-02-05,003550_02,3550,KR7003550001,KOSPI,2024-02-02,2024-02-05,True
003550|KR7003550001|KOSPI|2010-01-04|2026-09-01|003550_03,003550_03,3550,KR7003550001,KOSPI,2026-01-23,2026-01-26,003550_03,3550,KR7003550001,KOSPI,2026-01-23,2026-01-26,True
003670|KR7003670007|KOSPI|2019-05-29|2026-09-01|003670_01,003670_01,3670,KR7003670007,KOSPI,2022-08-12,2022-08-16,003670_01,3670,KR7003670007,KOSPI,2022-08-12,2022-08-16,True
003670|KR7003670007|KOSPI|2019-05-29|2026-09-01|003670_02,003670_02,3670,KR7003670007,KOSPI,2026-05-08,2026-05-11,003670_02,3670,KR7003670007,KOSPI,2026-05-08,2026-05-11,True
003690|KR7003690005|KOSPI|2010-01-04|2026-09-01|003690_01,003690_01,3690,KR7003690005,KOSPI,2022-04-08,2022-04-12,003690_01,3690,KR7003690005,KOSPI,2022-04-08,2022-04-12,True
003690|KR7003690005|KOSPI|2010-01-04|2026-09-01|003690_02,003690_02,3690,KR7003690005,KOSPI,2023-02-24,2023-02-27,003690_02,3690,KR7003690005,KOSPI,2023-02-24,2023-02-27,True
003690|KR7003690005|KOSPI|2010-01-04|2026-09-01|003690_03,003690_03,3690,KR7003690005,KOSPI,2023-09-15,2023-09-18,003690_03,3690,KR7003690005,KOSPI,2023-09-15,2023-09-18,True
004000|KR7004000006|KOSPI|2010-01-04|2026-09-01|004000_01,004000_01,4000,KR7004000006,KOSPI,2026-04-17,2026-04-20,004000_01,4000,KR7004000006,KOSPI,2026-04-17,2026-04-20,True
004020|KR7004020004|KOSPI|2010-01-04|2026-09-01|004020_01,004020_01,4020,KR7004020004,KOSPI,2025-07-04,2025-07-07,004020_01,4020,KR7004020004,KOSPI,2025-07-04,2025-07-07,True
004020|KR7004020004|KOSPI|2010-01-04|2026-09-01|004020_02,004020_02,4020,KR7004020004,KOSPI,2026-02-20,2026-02-23,004020_02,4020,KR7004020004,KOSPI,2026-02-20,2026-02-23,True
004170|KR7004170007|KOSPI|2010-01-04|2026-09-01|004170_01,004170_01,4170,KR7004170007,KOSPI,2025-06-20,2025-06-23,004170_01,4170,KR7004170007,KOSPI,2025-06-20,2025-06-23,True
004370|KR7004370003|KOSPI|2010-01-04|2026-09-01|004370_01,004370_01,4370,KR7004370003,KOSPI,2022-02-04,2022-02-07,004370_01,4370,KR7004370003,KOSPI,2022-02-04,2022-02-07,True
004370|KR7004370003|KOSPI|2010-01-04|2026-09-01|004370_02,004370_02,4370,KR7004370003,KOSPI,2022-12-02,2022-12-05,004370_02,4370,KR7004370003,KOSPI,2022-12-02,2022-12-05,True
004370|KR7004370003|KOSPI|2010-01-04|2026-09-01|004370_03,004370_03,4370,KR7004370003,KOSPI,2024-05-31,2024-06-03,004370_03,4370,KR7004370003,KOSPI,2024-05-31,2024-06-03,True
004370|KR7004370003|KOSPI|2010-01-04|2026-09-01|004370_04,004370_04,4370,KR7004370003,KOSPI,2025-04-04,2025-04-07,004370_04,4370,KR7004370003,KOSPI,2025-04-04,2025-04-07,True
004490|KR7004490009|KOSPI|2010-01-04|2026-09-01|004490_01,004490_01,4490,KR7004490009,KOSPI,2024-02-16,2024-02-19,004490_01,4490,KR7004490009,KOSPI,2024-02-16,2024-02-19,True
004800|KR7004800009|KOSPI|2010-01-04|2026-09-01|004800_01,004800_01,4800,KR7004800009,KOSPI,2025-05-30,2025-06-02,004800_01,4800,KR7004800009,KOSPI,2025-05-30,2025-06-02,True
004990|KR7004990008|KOSPI|2010-01-04|2026-09-01|004990_01,004990_01,4990,KR7004990008,KOSPI,2022-04-29,2022-05-02,004990_01,4990,KR7004990008,KOSPI,2022-04-29,2022-05-02,True
004990|KR7004990008|KOSPI|2010-01-04|2026-09-01|004990_02,004990_02,4990,KR7004990008,KOSPI,2024-02-23,2024-02-26,004990_02,4990,KR7004990008,KOSPI,2024-02-23,2024-02-26,True
004990|KR7004990008|KOSPI|2010-01-04|2026-09-01|004990_03,004990_03,4990,KR7004990008,KOSPI,2025-05-30,2025-06-02,004990_03,4990,KR7004990008,KOSPI,2025-05-30,2025-06-02,True
005290|KR7005290002|KOSDAQ|2010-01-04|2026-09-01|005290_01,005290_01,5290,KR7005290002,KOSDAQ,2023-03-03,2023-03-06,005290_01,5290,KR7005290002,KOSDAQ,2023-03-03,2023-03-06,True
005290|KR7005290002|KOSDAQ|2010-01-04|2026-09-01|005290_02,005290_02,5290,KR7005290002,KOSDAQ,2023-06-02,2023-06-05,005290_02,5290,KR7005290002,KOSDAQ,2023-06-02,2023-06-05,True
005290|KR7005290002|KOSDAQ|2010-01-04|2026-09-01|005290_03,005290_03,5290,KR7005290002,KOSDAQ,2024-05-10,2024-05-13,005290_03,5290,KR7005290002,KOSDAQ,2024-05-10,2024-05-13,True
005290|KR7005290002|KOSDAQ|2010-01-04|2026-09-01|005290_04,005290_04,5290,KR7005290002,KOSDAQ,2025-10-10,2025-10-13,005290_04,5290,KR7005290002,KOSDAQ,2025-10-10,2025-10-13,True
005300|KR7005300009|KOSPI|2010-01-04|2026-09-01|005300_01,005300_01,5300,KR7005300009,KOSPI,2023-11-10,2023-11-13,005300_01,5300,KR7005300009,KOSPI,2023-11-10,2023-11-13,True
005300|KR7005300009|KOSPI|2010-01-04|2026-09-01|005300_02,005300_02,5300,KR7005300009,KOSPI,2025-07-11,2025-07-14,005300_02,5300,KR7005300009,KOSPI,2025-07-11,2025-07-14,True
005380|KR7005380001|KOSPI|2010-01-04|2026-09-01|005380_01,005380_01,5380,KR7005380001,KOSPI,2023-04-07,2023-04-10,005380_01,5380,KR7005380001,KOSPI,2023-04-07,2023-04-10,True
005380|KR7005380001|KOSPI|2010-01-04|2026-09-01|005380_02,005380_02,5380,KR7005380001,KOSPI,2025-10-17,2025-10-20,005380_02,5380,KR7005380001,KOSPI,2025-10-17,2025-10-20,True
005490|KR7005490008|KOSPI|2010-01-04|2026-09-01|005490_01,005490_01,5490,KR7005490008,KOSPI,2023-03-03,2023-03-06,005490_01,5490,KR7005490008,KOSPI,2023-03-03,2023-03-06,True
005490|KR7005490008|KOSPI|2010-01-04|2026-09-01|005490_02,005490_02,5490,KR7005490008,KOSPI,2026-02-27,2026-03-03,005490_02,5490,KR7005490008,KOSPI,2026-02-27,2026-03-03,True
005490|KR7005490008|KOSPI|2010-01-04|2026-09-01|005490_03,005490_03,5490,KR7005490008,KOSPI,2026-04-17,2026-04-20,005490_03,5490,KR7005490008,KOSPI,2026-04-17,2026-04-20,True
005830|KR7005830005|KOSPI|2010-01-04|2026-09-01|005830_01,005830_01,5830,KR7005830005,KOSPI,2022-12-23,2022-12-26,005830_01,5830,KR7005830005,KOSPI,2022-12-23,2022-12-26,True
005850|KR7005850003|KOSPI|2010-01-04|2026-09-01|005850_01,005850_01,5850,KR7005850003,KOSPI,2024-06-07,2024-06-10,005850_01,5850,KR7005850003,KOSPI,2024-06-07,2024-06-10,True
005850|KR7005850003|KOSPI|2010-01-04|2026-09-01|005850_02,005850_02,5850,KR7005850003,KOSPI,2025-03-28,2025-03-31,005850_02,5850,KR7005850003,KOSPI,2025-03-28,2025-03-31,True
005850|KR7005850003|KOSPI|2010-01-04|2026-09-01|005850_03,005850_03,5850,KR7005850003,KOSPI,2025-11-28,2025-12-01,005850_03,5850,KR7005850003,KOSPI,2025-11-28,2025-12-01,True
005880|KR7005880000|KOSPI|2010-01-04|2026-09-01|005880_01,005880_01,5880,KR7005880000,KOSPI,2022-05-27,2022-05-30,005880_01,5880,KR7005880000,KOSPI,2022-05-27,2022-05-30,True
005930|KR7005930003|KOSPI|2010-01-04|2026-09-01|005930_01,005930_01,5930,KR7005930003,KOSPI,2023-06-02,2023-06-05,005930_01,5930,KR7005930003,KOSPI,2023-06-02,2023-06-05,True
005930|KR7005930003|KOSPI|2010-01-04|2026-09-01|005930_02,005930_02,5930,KR7005930003,KOSPI,2025-08-29,2025-09-01,005930_02,5930,KR7005930003,KOSPI,2025-08-29,2025-09-01,True
005940|KR7005940002|KOSPI|2010-01-04|2026-09-01|005940_01,005940_01,5940,KR7005940002,KOSPI,2024-02-23,2024-02-26,005940_01,5940,KR7005940002,KOSPI,2024-02-23,2024-02-26,True
006040|KR7006040000|KOSPI|2010-01-04|2026-09-01|006040_01,006040_01,6040,KR7006040000,KOSPI,2022-12-02,2022-12-05,006040_01,6040,KR7006040000,KOSPI,2022-12-02,2022-12-05,True
006040|KR7006040000|KOSPI|2010-01-04|2026-09-01|006040_02,006040_02,6040,KR7006040000,KOSPI,2025-01-03,2025-01-06,006040_02,6040,KR7006040000,KOSPI,2025-01-03,2025-01-06,True
006260|KR7006260004|KOSPI|2010-01-04|2026-09-01|006260_01,006260_01,6260,KR7006260004,KOSPI,2022-06-03,2022-06-07,006260_01,6260,KR7006260004,KOSPI,2022-06-03,2022-06-07,True
