ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
007660,38700,2447636415300,4905960,189407463550,63246419,2025-01-31
001440,13090,2440595157000,2362854,31062988050,186447300,2025-01-31
011170,56800,2429643799200,95975,5431938700,42775419,2025-01-31
081660,39250,2358761680750,197060,7783554100,60095839,2025-01-31
026960,23250,2318025000000,125641,2955818450,99700000,2025-01-31
000880,30500,2286241417500,248066,7619218000,74958735,2025-01-31
950160,28700,2283416341500,137931,3983412500,79561545,2025-01-31
087010,97700,2276151095000,372647,36675072000,23297350,2025-01-31
012750,59700,2268550926600,88681,5266676300,37999178,2025-01-31
068760,53200,2213310828400,88011,4715857800,41603587,2025-01-31
001450,24750,2212650000000,529541,13041322148,89400000,2025-01-31
002380,248500,2208288043500,24393,6098067000,8886471,2025-01-31
062040,72200,2198143440000,5967378,404702337500,30445200,2025-01-31
004990,20850,2187357591450,57164,1192868800,104909237,2025-01-31
020560,10560,2175261908160,159859,1691275980,205990711,2025-01-31
088350,2495,2166982350000,1275420,3151622535,868530000,2025-01-31
009420,40750,2128805998500,522854,21109646500,52240638,2025-01-31
004370,349000,2122842058000,17009,5914381500,6082642,2025-01-31
051600,46500,2092500000000,202284,9387675150,45000000,2025-01-31
204320,44500,2089591840000,227392,10065035800,46957120,2025-01-31
012510,68700,2087297260800,499790,34510035900,30382784,2025-01-31
017800,53000,2071896405000,180143,9454065600,39092385,2025-01-31
018670,217000,2002962948000,9404,2071362000,9230244,2025-01-31
002790,24150,1991365047000,109882,2642313600,82458180,2025-01-31
328130,68300,1976800070000,3071612,212554565000,28942900,2025-01-31
030000,17180,1976408245500,253388,4327078210,115041225,2025-01-31
041510,83500,1950027854500,128773,10829149000,23353627,2025-01-31
111770,43950,1947489018600,110171,4819325050,44311468,2025-01-31
082740,22800,1902594837600,1647547,38256855650,83447142,2025-01-31
008930,27700,1894445935000,54665,1519883350,68391550,2025-01-31
257720,30850,1887153361800,624948,19479378500,61171908,2025-01-31
263750,29050,1866400187750,241520,6933266250,64247855,2025-01-31
192820,164400,1865859279600,51448,8456401100,11349509,2025-01-31
000120,79800,1820425051200,72513,5834972400,22812344,2025-01-31
139480,64500,1797990325500,101342,6515394000,27875819,2025-01-31
282330,103600,1790612661600,24009,2480535400,17283906,2025-01-31
028670,3325,1777443627400,1320138,4378052690,534569512,2025-01-31
