strategy_id,ticker,name,entry_execution_date,entry_open,exit_execution_date,exit_price,terminal_return,exit_type,rank_group
FASTCORE,047040,대우건설,2026-01-26,5100.0,2026-05-04,35000.0,586.27,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,000100,유한양행,2013-01-14,26079.0,2024-11-01,138500.0,431.08,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,058610,에스피지,2025-10-27,31550.0,2026-02-02,150000.0,375.44,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,010780,아이에스동서,2013-07-01,14500.0,2021-05-03,66700.0,360.0,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,131290,티에스이,2025-10-13,52900.0,,,347.07,NO_EXIT_BEFORE_CUTOFF,BEST
FASTCORE,003000,부광약품,2014-01-06,5426.0,2020-10-05,24137.0,344.84,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,039030,이오테크닉스,2013-03-11,35400.0,2024-01-02,152900.0,331.92,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,002790,아모레퍼시픽홀딩스,2013-11-25,40905.0,2016-07-01,167114.0,308.54,EXIT3_PROGRESSED_TO_EARLY_TREND,BEST
FASTCORE,010060,OCI홀딩스,2021-01-11,90193.0,2026-05-04,366500.0,306.35,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,014820,동원시스템즈,2014-08-25,14900.0,2016-10-04,59000.0,295.97,EXIT3_PROGRESSED_TO_TRANSITION,BEST
FASTCORE,307950,현대오토에버,2023-04-17,126000.0,2026-03-03,490000.0,288.89,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,005930,삼성전자,2025-09-01,68400.0,,,273.54,NO_EXIT_BEFORE_CUTOFF,BEST
FASTCORE,080220,제주반도체,2025-09-22,19250.0,,,272.99,NO_EXIT_BEFORE_CUTOFF,BEST
FASTCORE,319660,피에스케이,2025-09-01,24000.0,2026-04-01,84000.0,250.0,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
FASTCORE,025980,아난티,2018-04-09,7600.0,2019-02-01,25900.0,240.79,EXIT4_SCORE_DRAWDOWN_GE_15,BEST
