strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_market_cap,entry_avg_trading_value_20d,entry_signal_close,entry_market_cap_pass,entry_trading_value_pass,entry_close_pass,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_state,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,loss_guard_triggered,loss_guard_signal_date,loss_guard_signal_close,loss_guard_return_at_signal,loss_guard_execution_date,loss_guard_execution_price,loss_guard_realized_return,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,holding_trading_days,holding_weeks,trade_status,cutoff_date,cutoff_valuation_price,mark_to_cutoff_return
JULIA,023410,KR7023410004,유진기업,KOSDAQ,JULIA_023410_01,1,2017-04-21,2017-04-24,5700.0,419580000000.0,2455434764.5,5670.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,79.3,READY,2018-07-31,2018-07-31,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-44.04,92.11,-52.63,136.15,2295,459.0,OPEN_AT_CUTOFF,2026-09-04,3190.0,-44.04
JULIA,023160,KR7023160005,태광,KOSDAQ,JULIA_023160_01,1,2013-09-13,2013-09-16,25206.0,662500000000.0,2892954600.0,26500.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,73.82,PARTIAL,2018-04-30,2018-04-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_TRANSITION,2018-12-31,2019-01-02,11750.0,-53.38,1.88,-68.34,55.26,1277,255.4,REALIZED,,,
JULIA,023160,KR7023160005,태광,KOSDAQ,JULIA_023160_02,2,2021-05-07,2021-05-10,12350.0,327275000000.0,6150693458.0,12350.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2021-09-30,2021-09-30,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2021-10-31,2021-11-01,11700.0,-5.26,9.31,-19.03,14.57,119,23.8,REALIZED,,,
JULIA,023160,KR7023160005,태광,KOSDAQ,JULIA_023160_03,3,2025-01-10,2025-01-13,19690.0,521520000000.0,11331730450.0,19680.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2025-05-31,2025-05-30,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2025-09-30,2025-10-01,26250.0,33.32,64.04,-10.11,30.72,177,35.4,REALIZED,,,
JULIA,024950,KR7024950008,삼천리자전거,KOSDAQ,JULIA_024950_01,1,2015-06-05,2015-06-08,26474.0,327193673050.0,2698213395.0,24650.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.49,READY,2020-09-30,2020-09-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2020-12-31,2021-01-04,9591.0,-63.77,15.42,-87.91,79.19,1371,274.2,REALIZED,,,
JULIA,025770,KR7025770009,한국정보통신,KOSDAQ,JULIA_025770_01,1,2021-07-09,2021-07-12,11050.0,410014767450.0,4477897167.0,10950.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.24,READY,2023-02-28,2023-02-28,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-28.42,65.88,-37.42,94.3,1261,252.2,OPEN_AT_CUTOFF,2026-09-04,7910.0,-28.42
JULIA,025900,KR7025900002,동화기업,KOSDAQ,JULIA_025900_01,1,2018-02-02,2018-02-05,10567.0,547710241400.0,1655260402.5,38150.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.25,READY,2020-09-30,2020-09-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_TRANSITION,2022-09-30,2022-10-04,25112.0,137.65,351.8,-60.59,214.15,1134,226.8,REALIZED,,,
JULIA,025980,KR7025980004,아난티,KOSDAQ,JULIA_025980_01,1,2018-04-06,2018-04-09,7600.0,622346117400.0,7711752882.5,37800.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,72.74,READY,2018-10-31,2018-10-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2019-01-31,2019-02-01,25900.0,240.79,316.45,-12.76,75.66,189,37.8,REALIZED,,,
JULIA,025980,KR7025980004,아난티,KOSDAQ,JULIA_025980_02,2,2021-07-30,2021-08-02,11200.0,997201097100.0,66559634529.5,11700.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,75.49,READY,2021-11-30,2021-11-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2025-11-30,2025-12-01,7750.0,-30.8,32.59,-59.6,63.39,1060,212.0,REALIZED,,,
JULIA,030530,KR7030530000,원익홀딩스,KOSDAQ,JULIA_030530_01,1,2013-05-31,2013-06-03,4537.0,544785890400.0,17544602999.0,7440.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.32,PARTIAL,2014-03-31,2014-03-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2025-08-31,2025-09-01,9160.0,101.9,120.45,-52.94,18.55,2962,592.4,REALIZED,,,
JULIA,028300,KR7028300002,HLB,KOSDAQ,JULIA_028300_01,1,2021-08-27,2021-08-30,48614.0,5696366797800.0,175296618242.5,53700.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,72.74,READY,2024-03-31,2024-03-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2024-04-30,2024-05-02,111200.0,128.74,165.36,-47.61,36.62,649,129.8,REALIZED,,,
JULIA,030520,KR7030520001,한컴,KOSDAQ,JULIA_030520_01,1,2014-01-03,2014-01-06,19600.0,454719556700.0,3203855207.5,19700.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,76.04,READY,2020-10-31,2020-10-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2021-01-31,2021-02-01,17200.0,-12.24,44.9,-67.76,57.14,1739,347.8,REALIZED,,,
JULIA,030520,KR7030520001,한컴,KOSDAQ,JULIA_030520_02,2,2025-06-13,2025-06-16,28850.0,680659793600.0,16893372801.25,28150.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,72.74,READY,,,NEVER_PROGRESSED,False,,,,,,,NO_PROGRESSED_BEFORE_CUTOFF,,,,-39.65,24.44,-48.7,64.09,301,60.2,OPEN_AT_CUTOFF,2026-09-04,17410.0,-39.65
JULIA,032190,KR7032190001,다우데이타,KOSDAQ,JULIA_032190_01,1,2018-02-02,2018-02-05,14300.0,563010000000.0,6008255440.0,14700.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,75.74,READY,2020-09-30,2020-09-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2023-02-28,2023-03-02,48550.0,239.51,284.62,-70.87,45.11,1249,249.8,REALIZED,,,
