ticker,entry_signal_date,comparison_class
003490,2018-01-26,FASTCORE_ONLY_REENTRY
003490,2018-04-06,FASTCORE_ONLY_REENTRY
003490,2018-12-21,FASTCORE_ONLY_REENTRY
003490,2020-12-11,FASTCORE_ONLY_REENTRY
003490,2025-01-17,SHARED_REENTRY
003490,2025-07-18,FASTCORE_ONLY_REENTRY
003490,2026-02-27,FASTCORE_ONLY_REENTRY
003540,2014-07-25,SHARED_ENTRY
003540,2016-01-08,FASTCORE_ONLY_REENTRY
003540,2019-06-28,SHARED_REENTRY
003540,2020-09-25,FASTCORE_ONLY_REENTRY
003540,2024-02-16,SHARED_REENTRY
003550,2014-07-25,SHARED_ENTRY
003550,2015-11-20,FASTCORE_ONLY_REENTRY
003550,2017-03-24,FASTCORE_ONLY_REENTRY
003570,2013-05-10,SHARED_ENTRY
003570,2015-10-30,FASTCORE_ONLY_REENTRY
003570,2022-08-26,SHARED_REENTRY
003570,2023-10-20,FASTCORE_ONLY_REENTRY
003580,2021-04-02,SHARED_ENTRY
003620,2013-05-31,SHARED_ENTRY
003670,2014-05-09,SHARED_ENTRY
003670,2017-03-24,FASTCORE_ONLY_REENTRY
003670,2020-01-31,SHARED_REENTRY
003670,2022-08-12,SHARED_REENTRY
003670,2026-05-08,SHARED_REENTRY
003690,2013-09-13,SHARED_ENTRY
003690,2014-08-29,FASTCORE_ONLY_REENTRY
003690,2021-04-23,FASTCORE_ONLY_REENTRY
003690,2023-02-24,FASTCORE_ONLY_REENTRY
003690,2023-09-15,FASTCORE_ONLY_REENTRY
003800,2020-02-07,SHARED_ENTRY
003800,2021-08-20,FASTCORE_ONLY_REENTRY
003800,2026-02-27,FASTCORE_ONLY_REENTRY
003850,2015-02-27,SHARED_ENTRY
003850,2016-08-05,SHARED_REENTRY
003850,2018-01-26,FASTCORE_ONLY_REENTRY
003850,2018-04-06,FASTCORE_ONLY_REENTRY
003850,2019-04-12,FASTCORE_ONLY_REENTRY
003850,2020-11-27,SHARED_REENTRY
003850,2024-02-02,SHARED_REENTRY
003920,2013-12-13,SHARED_ENTRY
003920,2017-01-13,FASTCORE_ONLY_REENTRY
003920,2023-02-03,SHARED_REENTRY
003920,2024-02-02,FASTCORE_ONLY_REENTRY
003920,2024-10-25,FASTCORE_ONLY_REENTRY
003960,2024-02-02,SHARED_ENTRY
004000,2017-03-17,SHARED_ENTRY
004000,2026-04-17,SHARED_REENTRY
004020,2013-11-01,SHARED_ENTRY
004020,2015-04-10,FASTCORE_ONLY_REENTRY
004020,2017-01-13,FASTCORE_ONLY_REENTRY
004020,2018-05-18,FASTCORE_ONLY_REENTRY
004020,2021-01-08,FASTCORE_ONLY_REENTRY
004020,2021-03-26,FASTCORE_ONLY_REENTRY
004020,2025-07-04,SHARED_REENTRY
004020,2026-02-20,FASTCORE_ONLY_REENTRY
