ticker,name,shared_entry_date,shared_entry_price,fastcore_loss_cut_signal_date,fastcore_loss_cut_execution_date,fastcore_realized_return,julia_exit_type,julia_exit_execution_date,julia_terminal_return,julia_mfe,julia_mae,julia_recovered_above_entry,julia_eventually_positive,julia_trade_status
025900,동화기업,2018-02-02,10567.0,2018-06-19,2018-06-20,-17.66,EXIT3_PROGRESSED_TO_TRANSITION,2022-10-04,137.65,351.8,-60.59,True,True,REALIZED
030530,원익홀딩스,2013-05-31,4537.0,2013-08-22,2013-08-23,-13.58,EXIT4_SCORE_DRAWDOWN_GE_15,2025-09-01,101.9,120.45,-52.94,True,True,REALIZED
028300,HLB,2021-08-27,48614.0,2021-10-13,2021-10-14,-12.91,EXIT4_SCORE_DRAWDOWN_GE_15,2024-05-02,128.74,165.36,-47.61,True,True,REALIZED
030520,한컴,2014-01-03,19600.0,2016-11-24,2016-11-25,-16.07,EXIT4_SCORE_DRAWDOWN_GE_15,2021-02-01,-12.24,44.9,-67.76,True,False,REALIZED
032190,다우데이타,2018-02-02,14300.0,2018-04-26,2018-04-27,-15.03,EXIT4_SCORE_DRAWDOWN_GE_15,2023-03-02,239.51,284.62,-70.87,True,True,REALIZED
032620,GC메디아이,2019-06-21,6250.0,2019-07-26,2019-07-29,-16.8,EXIT4_SCORE_DRAWDOWN_GE_15,2020-09-01,88.0,138.4,-51.52,True,True,REALIZED
033290,로젠,2019-04-12,6208.0,2019-08-06,2019-08-07,-17.43,EXIT4_SCORE_DRAWDOWN_GE_15,2022-02-03,10.15,34.97,-53.3,True,True,REALIZED
033500,동성화인텍,2022-08-19,12950.0,2022-09-26,2022-09-27,-15.83,EXIT4_SCORE_DRAWDOWN_GE_15,2025-07-01,103.86,122.01,-21.7,True,True,REALIZED
033560,블루콤,2016-05-27,15700.0,2016-08-11,2016-08-12,-17.52,EXIT4_SCORE_DRAWDOWN_GE_15,2020-11-02,-62.1,7.96,-86.56,True,False,REALIZED
035080,그래디언트,2015-08-07,55750.0,2016-02-12,2016-02-15,-17.94,EXIT3_PROGRESSED_TO_WEAK,2022-10-04,-73.9,21.97,-91.61,True,False,REALIZED
035810,이지홀딩스,2015-06-26,7232.0,2015-09-30,2015-10-01,-14.62,EXIT4_SCORE_DRAWDOWN_GE_15,2026-03-03,10.9,37.94,-70.08,True,True,REALIZED
035900,JYP Ent.,2020-01-17,26900.0,2020-02-21,2020-02-24,-18.4,EXIT4_SCORE_DRAWDOWN_GE_15,2021-04-01,32.53,62.08,-43.49,True,True,REALIZED
036200,유니셈,2025-09-26,10170.0,2026-03-04,2026-03-05,-10.23,EXIT3_PROGRESSED_TO_TRANSITION,2026-05-04,15.54,23.89,-16.42,True,True,REALIZED
036540,SFA반도체,2023-06-09,5860.0,2023-08-16,2023-08-17,-16.98,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,44.54,78.33,-56.48,True,True,REALIZED
036800,나이스정보통신,2016-08-26,7270.0,2017-01-11,2017-01-12,-16.09,NO_EXIT_BEFORE_CUTOFF,,0.0,21.05,-54.03,True,False,OPEN_AT_CUTOFF
036830,솔브레인홀딩스,2013-01-04,23623.0,2013-01-25,2013-01-28,-16.14,EXIT4_SCORE_DRAWDOWN_GE_15,2020-05-04,45.99,121.93,-53.5,True,True,REALIZED
036810,에프에스티,2023-02-10,21578.0,2023-07-10,2023-07-11,-16.17,NO_EXIT_BEFORE_CUTOFF,,18.41,136.35,-35.36,True,True,OPEN_AT_CUTOFF
036890,진성티이씨,2022-12-02,14350.0,2023-01-05,2023-01-06,-16.03,EXIT4_SCORE_DRAWDOWN_GE_15,2026-04-01,15.33,28.78,-48.43,True,True,REALIZED
037070,파세코,2023-02-03,15470.0,2023-07-07,2023-07-10,-20.17,NO_PROGRESSED_BEFORE_CUTOFF,,-60.25,0.84,-71.3,True,False,OPEN_AT_CUTOFF
036930,주성엔지니어링,2015-05-15,6730.0,2015-06-29,2015-06-30,-19.61,EXIT4_SCORE_DRAWDOWN_GE_15,2016-03-02,34.03,36.7,-40.56,True,True,REALIZED
038290,마크로젠,2021-07-02,38350.0,2021-08-20,2021-08-23,-16.04,NO_PROGRESSED_BEFORE_CUTOFF,,-67.93,4.3,-72.78,True,False,OPEN_AT_CUTOFF
038540,상상인,2019-05-31,18575.0,2019-08-06,2019-08-07,-30.01,EXIT4_SCORE_DRAWDOWN_GE_15,2022-07-01,-53.22,14.13,-74.43,True,False,REALIZED
039200,오스코텍,2020-06-12,30652.0,2020-06-25,2020-06-26,-15.91,EXIT3_PROGRESSED_TO_TRANSITION,2021-12-01,-15.43,125.2,-27.09,True,False,REALIZED
039440,에스티아이,2020-01-03,20900.0,2020-01-31,2020-02-03,-17.7,EXIT4_SCORE_DRAWDOWN_GE_15,2023-12-01,58.37,79.9,-57.7,True,True,REALIZED
039840,디오,2019-03-15,37100.0,2020-03-09,2020-03-10,-19.54,EXIT3_PROGRESSED_TO_BASE,2021-12-01,-15.09,48.25,-54.45,True,False,REALIZED
040910,아이씨디,2021-01-08,18300.0,2021-05-11,2021-05-12,-15.3,NO_PROGRESSED_BEFORE_CUTOFF,,-75.9,8.47,-80.27,True,False,OPEN_AT_CUTOFF
041020,폴라리스오피스,2013-05-24,13912.0,2013-06-25,2013-06-26,-20.72,EXIT3_PROGRESSED_TO_TRANSITION,2025-04-01,-63.92,6.3,-93.89,True,False,REALIZED
041190,우리기술투자,2025-06-13,9820.0,2025-06-23,2025-06-24,-11.51,NO_PROGRESSED_BEFORE_CUTOFF,,-36.66,33.81,-62.07,True,False,OPEN_AT_CUTOFF
041510,에스엠,2014-02-07,47500.0,2014-06-05,2014-06-09,-20.21,EXIT4_SCORE_DRAWDOWN_GE_15,2021-11-01,67.16,78.95,-65.58,True,True,REALIZED
041960,코미팜,2014-05-16,8140.0,2014-06-19,2014-06-20,-21.25,EXIT4_SCORE_DRAWDOWN_GE_15,2015-06-01,185.53,262.78,-23.78,True,True,REALIZED
042370,비츠로테크,2026-02-20,11970.0,2026-03-03,2026-03-04,-17.71,EXIT3_PROGRESSED_TO_WEAK,2026-07-01,-21.05,98.83,-29.82,True,False,REALIZED
043150,바텍,2018-02-02,36250.0,2018-10-04,2018-10-05,-15.03,EXIT4_SCORE_DRAWDOWN_GE_15,2021-12-01,-9.79,28.28,-53.79,True,False,REALIZED
043610,KT지니뮤직,2018-06-15,6370.0,2018-10-11,2018-10-12,-21.04,EXIT4_SCORE_DRAWDOWN_GE_15,2021-06-01,5.18,30.14,-79.59,True,True,REALIZED
044340,위닉스,2021-02-19,27050.0,2021-03-23,2021-03-24,-16.08,NO_PROGRESSED_BEFORE_CUTOFF,,-87.67,0.55,-88.54,True,False,OPEN_AT_CUTOFF
045390,대아티아이,2021-06-18,6950.0,2021-07-19,2021-07-20,-16.26,EXIT4_SCORE_DRAWDOWN_GE_15,2025-11-03,-42.16,7.63,-65.47,True,False,REALIZED
046440,KG파이낸셜,2018-05-11,10100.0,2018-07-23,2018-07-24,-19.11,EXIT4_SCORE_DRAWDOWN_GE_15,2021-01-04,2.48,36.63,-69.46,True,True,REALIZED
048530,인트론바이오,2018-01-26,24584.0,2018-02-05,2018-02-06,-25.18,NO_EXIT_BEFORE_CUTOFF,,-88.31,40.34,-90.85,True,False,OPEN_AT_CUTOFF
048410,현대바이오,2022-09-02,18846.0,2022-09-16,2022-09-19,-19.38,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,-38.66,14.08,-77.05,True,False,REALIZED
049070,인탑스,2023-03-24,38700.0,2023-05-17,2023-05-18,-15.5,NO_PROGRESSED_BEFORE_CUTOFF,,-54.19,15.63,-66.41,True,False,OPEN_AT_CUTOFF
049960,쎌바이오텍,2016-04-01,64100.0,2016-08-29,2016-08-30,-17.47,NO_PROGRESSED_BEFORE_CUTOFF,,-75.35,5.15,-84.32,True,False,OPEN_AT_CUTOFF
050890,쏠리드,2025-01-03,7110.0,2025-01-13,2025-01-14,-18.57,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,146.84,181.29,-19.41,True,True,REALIZED
052260,현대바이오랜드,2018-01-26,12500.0,2018-03-02,2018-03-05,-16.2,EXIT4_SCORE_DRAWDOWN_GE_15,2020-08-03,15.4,95.4,-54.8,True,True,REALIZED
052400,코나아이,2014-12-05,67325.0,2015-03-19,2015-03-20,-15.48,EXIT3_PROGRESSED_TO_TRANSITION,2016-02-01,-15.63,50.02,-20.53,True,False,REALIZED
053610,프로텍,2022-01-28,34000.0,2022-03-02,2022-03-03,-14.26,EXIT4_SCORE_DRAWDOWN_GE_15,2023-11-01,26.91,108.53,-42.35,True,True,REALIZED
054050,NH농우바이오,2015-07-03,26900.0,2015-07-28,2015-07-29,-16.17,NO_PROGRESSED_BEFORE_CUTOFF,,-73.9,2.04,-76.43,True,False,OPEN_AT_CUTOFF
054620,APS,2022-12-23,15450.0,2023-01-13,2023-01-16,-15.86,NO_PROGRESSED_BEFORE_CUTOFF,,-75.08,9.39,-78.77,True,False,OPEN_AT_CUTOFF
054950,제이브이엠,2013-01-18,27188.0,2013-06-17,2013-06-18,-15.41,EXIT4_SCORE_DRAWDOWN_GE_15,2023-10-04,2.99,46.57,-77.07,True,True,REALIZED
056190,SFA,2013-03-29,30800.0,2013-07-08,2013-07-09,-18.19,EXIT3_PROGRESSED_TO_TRANSITION,2018-05-02,5.52,65.91,-40.18,True,True,REALIZED
058970,엠로,2025-02-07,80100.0,2025-02-26,2025-02-27,-15.73,NO_PROGRESSED_BEFORE_CUTOFF,,-79.86,0.37,-85.14,True,False,OPEN_AT_CUTOFF
058610,에스피지,2025-01-31,30500.0,2025-02-28,2025-03-04,-15.74,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,391.8,443.28,-37.28,True,True,REALIZED
058820,CMG제약,2020-12-11,6150.0,2021-01-28,2021-01-29,-16.1,NO_EXIT_BEFORE_CUTOFF,,-89.76,15.45,-91.45,True,False,OPEN_AT_CUTOFF
059090,미코,2024-03-29,13420.0,2024-04-08,2024-04-09,-13.93,EXIT3_PROGRESSED_TO_WEAK,2024-12-02,-40.83,47.99,-45.08,True,False,REALIZED
060150,인선이엔티,2019-04-05,8690.0,2019-07-25,2019-07-26,-16.0,EXIT3_PROGRESSED_TO_TRANSITION,2022-03-02,18.53,72.61,-40.16,True,True,REALIZED
060250,NHN KCP,2019-04-19,8686.0,2019-05-16,2019-05-17,-13.86,EXIT4_SCORE_DRAWDOWN_GE_15,2020-01-02,46.56,55.47,-18.48,True,True,REALIZED
060590,씨티씨바이오,2015-02-27,19900.0,2015-10-12,2015-10-13,-15.83,NO_EXIT_BEFORE_CUTOFF,,-84.37,42.71,-87.09,True,False,OPEN_AT_CUTOFF
063080,컴투스홀딩스,2014-04-04,71200.0,2014-06-03,2014-06-05,-14.89,EXIT4_SCORE_DRAWDOWN_GE_15,2015-01-02,71.35,149.44,-17.42,True,True,REALIZED
065660,안트로젠,2021-07-30,77100.0,2021-10-08,2021-10-12,-15.56,EXIT3_PROGRESSED_TO_TRANSITION,2022-01-03,-16.34,31.65,-33.85,True,False,REALIZED
065680,우주일렉트로,2022-01-07,33700.0,2022-02-11,2022-02-14,-19.88,EXIT4_SCORE_DRAWDOWN_GE_15,2025-07-01,7.12,14.24,-66.74,True,True,REALIZED
067080,대화제약,2018-04-06,31950.0,2018-05-08,2018-05-09,-19.87,EXIT4_SCORE_DRAWDOWN_GE_15,2025-09-01,-57.09,11.74,-81.78,True,False,REALIZED
067390,아스트,2018-02-02,208840.0,2018-03-05,2018-03-06,-15.5,NO_EXIT_BEFORE_CUTOFF,,-97.56,1.74,-98.09,True,False,OPEN_AT_CUTOFF
067160,SOOP,2016-04-29,28750.0,2016-10-26,2016-10-27,-14.78,EXIT4_SCORE_DRAWDOWN_GE_15,2018-09-03,31.48,94.78,-44.35,True,True,REALIZED
067630,HLB생명과학,2024-01-26,12024.0,2024-05-17,2024-05-20,-33.47,NO_PROGRESSED_BEFORE_CUTOFF,,-77.67,102.6,-86.63,True,False,OPEN_AT_CUTOFF
068240,다원시스,2019-11-15,15006.0,2020-03-13,2020-03-16,-17.54,EXIT4_SCORE_DRAWDOWN_GE_15,2022-04-01,95.9,141.44,-33.55,True,True,REALIZED
068760,셀트리온제약,2015-03-06,13924.0,2015-05-26,2015-05-27,-16.07,EXIT4_SCORE_DRAWDOWN_GE_15,2020-09-01,538.06,739.69,-37.19,True,True,REALIZED
077360,덕산하이메탈,2013-02-08,12077.0,2013-09-12,2013-09-13,-15.4,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,54.76,56.0,-86.75,True,True,REALIZED
078130,국일제지,2021-03-26,31710.0,2021-08-20,2021-08-23,-15.77,NO_PROGRESSED_BEFORE_CUTOFF,,-88.87,18.29,-91.77,True,False,OPEN_AT_CUTOFF
078600,대주전자재료,2024-05-31,118800.0,2024-09-06,2024-09-09,-23.99,EXIT3_PROGRESSED_TO_WEAK,2026-08-03,-41.67,54.29,-50.42,True,False,REALIZED
079370,제우스,2022-11-11,9666.0,2023-01-03,2023-01-04,-16.38,EXIT4_SCORE_DRAWDOWN_GE_15,2024-04-01,104.95,145.19,-22.93,True,True,REALIZED
082270,젬백스,2013-04-05,44000.0,2013-04-25,2013-04-26,-13.41,EXIT4_SCORE_DRAWDOWN_GE_15,2015-10-01,-21.82,14.09,-76.25,True,False,REALIZED
082920,비츠로셀,2021-10-22,8705.0,2021-11-18,2021-11-19,-16.81,EXIT4_SCORE_DRAWDOWN_GE_15,2023-10-04,12.0,43.19,-41.45,True,True,REALIZED
083650,비에이치아이,2024-03-15,10330.0,2024-03-26,2024-03-27,-15.97,EXIT4_SCORE_DRAWDOWN_GE_15,2025-01-02,48.79,92.84,-32.24,True,True,REALIZED
083790,CG인바이츠,2015-06-19,9212.0,2015-07-27,2015-07-28,-13.97,EXIT3_PROGRESSED_TO_WEAK,2017-04-03,-15.61,109.61,-45.7,True,False,REALIZED
084370,유진테크,2013-03-29,17941.0,2013-08-22,2013-08-23,-13.66,EXIT4_SCORE_DRAWDOWN_GE_15,2020-11-02,49.94,93.13,-46.99,True,True,REALIZED
083930,아바코,2024-06-14,20550.0,2024-07-01,2024-07-02,-15.33,NO_PROGRESSED_BEFORE_CUTOFF,,-44.87,4.14,-55.67,True,False,OPEN_AT_CUTOFF
085660,차바이오텍,2013-03-08,12276.0,2013-06-20,2013-06-21,-19.3,EXIT4_SCORE_DRAWDOWN_GE_15,2018-05-02,54.9,221.84,-23.51,True,True,REALIZED
086390,유니테스트,2020-01-31,15350.0,2020-03-12,2020-03-13,-22.48,EXIT4_SCORE_DRAWDOWN_GE_15,2022-01-03,94.79,116.94,-48.01,True,True,REALIZED
086450,동국제약,2014-10-17,8618.0,2014-11-20,2014-11-21,-15.21,EXIT4_SCORE_DRAWDOWN_GE_15,2016-06-01,77.48,77.71,-23.11,True,True,REALIZED
089010,켐트로닉스,2025-03-14,32050.0,2025-03-25,2025-03-26,-20.9,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,9.2,52.57,-37.97,True,True,REALIZED
089600,KT나스미디어,2021-02-05,32696.0,2021-11-26,2021-11-29,-20.46,NO_PROGRESSED_BEFORE_CUTOFF,,-60.06,14.1,-72.35,True,False,OPEN_AT_CUTOFF
089980,상아프론테크,2020-06-12,24000.0,2020-06-15,2020-06-16,-10.0,EXIT4_SCORE_DRAWDOWN_GE_15,2020-10-05,75.42,129.58,-17.71,True,True,REALIZED
092040,아미코젠,2018-01-26,13533.0,2018-02-05,2018-02-06,-20.47,EXIT4_SCORE_DRAWDOWN_GE_15,2018-12-03,24.66,62.34,-22.86,True,True,REALIZED
091580,상신이디피,2023-03-03,24600.0,2023-05-08,2023-05-09,-15.24,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,-15.24,28.25,-73.54,True,False,REALIZED
091700,파트론,2016-03-18,11800.0,2016-09-08,2016-09-09,-16.1,EXIT4_SCORE_DRAWDOWN_GE_15,2019-09-02,-1.69,59.75,-41.27,True,False,REALIZED
093320,케이아이엔엑스,2023-02-03,63200.0,2023-05-18,2023-05-19,-15.19,EXIT4_SCORE_DRAWDOWN_GE_15,2024-02-01,67.09,106.49,-17.72,True,True,REALIZED
094840,슈프리마에이치큐,2014-08-22,16165.0,2015-05-06,2015-05-07,-19.36,EXIT4_SCORE_DRAWDOWN_GE_15,2021-07-01,-33.5,27.52,-82.18,True,False,REALIZED
095270,웨이브일렉트로,2017-09-08,29247.0,2017-09-25,2017-09-26,-18.81,NO_PROGRESSED_BEFORE_CUTOFF,,-85.91,7.99,-91.18,True,False,OPEN_AT_CUTOFF
095340,ISC,2017-09-29,25808.0,2017-10-16,2017-10-17,-14.36,EXIT4_SCORE_DRAWDOWN_GE_15,2021-01-04,4.81,10.24,-77.49,True,True,REALIZED
096530,씨젠,2015-07-03,23721.0,2015-09-07,2015-09-08,-14.51,EXIT4_SCORE_DRAWDOWN_GE_15,2020-05-04,93.01,199.57,-69.39,True,True,REALIZED
099430,바이오플러스,2024-12-13,7450.0,2025-02-03,2025-02-04,-15.3,NO_PROGRESSED_BEFORE_CUTOFF,,-54.77,13.02,-58.86,True,False,OPEN_AT_CUTOFF
099190,아이센스,2016-02-26,20567.0,2016-04-14,2016-04-15,-17.15,EXIT4_SCORE_DRAWDOWN_GE_15,2023-11-01,13.77,93.03,-63.5,True,True,REALIZED
099320,쎄트렉아이,2022-06-03,52600.0,2022-06-14,2022-06-15,-17.49,EXIT4_SCORE_DRAWDOWN_GE_15,2024-10-02,-32.03,11.22,-57.6,True,False,REALIZED
100120,뷰웍스,2021-04-16,38600.0,2022-10-12,2022-10-13,-15.41,NO_PROGRESSED_BEFORE_CUTOFF,,-31.74,20.85,-53.34,True,False,OPEN_AT_CUTOFF
100130,동국S&C,2014-04-18,5650.0,2014-05-29,2014-05-30,-16.99,EXIT3_PROGRESSED_TO_TRANSITION,2014-10-01,-21.24,2.48,-32.92,True,False,REALIZED
101160,월덱스,2023-06-30,26600.0,2023-10-31,2023-11-01,-15.23,NO_EXIT_BEFORE_CUTOFF,,10.9,33.08,-44.7,True,True,OPEN_AT_CUTOFF
102710,이엔에프테크놀로지,2017-07-21,23100.0,2018-03-05,2018-03-06,-15.58,EXIT4_SCORE_DRAWDOWN_GE_15,2025-12-01,99.57,177.06,-60.87,True,True,REALIZED
102940,코오롱생명과학,2014-08-29,42410.0,2014-10-10,2014-10-14,-14.52,EXIT3_PROGRESSED_TO_TRANSITION,2017-01-02,86.25,359.34,-37.23,True,True,REALIZED
104460,디와이피엔에프,2022-12-02,40800.0,2023-05-12,2023-05-15,-42.65,NO_PROGRESSED_BEFORE_CUTOFF,,-81.42,25.25,-82.35,True,False,OPEN_AT_CUTOFF
108230,톱텍,2013-08-09,9286.0,2013-10-17,2013-10-18,-16.94,EXIT4_SCORE_DRAWDOWN_GE_15,2015-11-02,74.61,88.63,-42.87,True,True,REALIZED
114840,아이패밀리에스씨,2025-08-29,26050.0,2025-09-25,2025-09-26,-15.74,NO_PROGRESSED_BEFORE_CUTOFF,,-64.38,3.65,-76.35,True,False,OPEN_AT_CUTOFF
115180,큐리언트,2020-08-28,14992.0,2020-10-22,2020-10-23,-13.86,NO_EXIT_BEFORE_CUTOFF,,53.75,319.56,-85.76,True,True,OPEN_AT_CUTOFF
112040,위메이드,2015-08-07,34300.0,2015-08-13,2015-08-17,-2.06,EXIT4_SCORE_DRAWDOWN_GE_15,2018-03-02,-22.68,0.88,-73.49,True,False,REALIZED
115160,휴맥스,2013-07-12,125920.0,2013-10-14,2013-10-15,-13.92,EXIT4_SCORE_DRAWDOWN_GE_15,2015-09-01,33.34,42.86,-29.6,True,True,REALIZED
119610,인터로조,2018-01-26,31230.0,2018-02-09,2018-02-12,-14.74,NO_EXIT_BEFORE_CUTOFF,,-55.49,0.94,-62.65,True,False,OPEN_AT_CUTOFF
121440,골프존홀딩스,2014-08-08,11820.0,2015-08-24,2015-08-25,-14.55,EXIT4_SCORE_DRAWDOWN_GE_15,2021-02-01,-54.06,43.82,-86.04,True,False,REALIZED
122870,와이지엔터테인먼트,2015-07-17,51800.0,2015-11-10,2015-11-11,-15.25,EXIT4_SCORE_DRAWDOWN_GE_15,2025-09-01,98.46,111.97,-63.42,True,True,REALIZED
122990,와이솔,2017-03-17,15481.0,2017-10-31,2017-11-01,-15.43,NO_PROGRESSED_BEFORE_CUTOFF,,-59.69,33.07,-67.83,True,False,OPEN_AT_CUTOFF
126340,비나텍,2024-05-17,51201.0,2024-07-05,2024-07-08,-16.85,EXIT4_SCORE_DRAWDOWN_GE_15,2026-03-03,145.5,151.17,-60.15,True,True,REALIZED
123860,아나패스,2021-11-26,26000.0,2022-06-20,2022-06-21,-15.77,NO_PROGRESSED_BEFORE_CUTOFF,,-47.5,34.81,-58.65,True,False,OPEN_AT_CUTOFF
126700,하이비젼시스템,2023-02-03,21150.0,2023-03-13,2023-03-14,-15.84,NO_PROGRESSED_BEFORE_CUTOFF,,-45.63,41.37,-62.17,True,False,OPEN_AT_CUTOFF
131970,두산테스나,2023-03-31,40000.0,2023-05-10,2023-05-11,-14.0,EXIT4_SCORE_DRAWDOWN_GE_15,2024-03-04,8.62,60.0,-16.5,True,True,REALIZED
131290,티에스이,2024-03-29,61600.0,2024-07-03,2024-07-04,-13.96,NO_EXIT_BEFORE_CUTOFF,,283.93,377.27,-43.18,True,True,OPEN_AT_CUTOFF
136480,하림,2017-04-14,4973.0,2017-07-20,2017-07-21,-15.6,NO_PROGRESSED_BEFORE_CUTOFF,,-46.71,26.68,-67.42,True,False,OPEN_AT_CUTOFF
137400,피엔티,2024-06-07,79400.0,2024-06-27,2024-06-28,-15.99,NO_PROGRESSED_BEFORE_CUTOFF,,-62.91,12.72,-71.03,True,False,OPEN_AT_CUTOFF
140410,메지온,2021-08-20,62085.0,2021-10-06,2021-10-07,-14.52,NO_EXIT_BEFORE_CUTOFF,,4.7,189.76,-80.27,True,True,OPEN_AT_CUTOFF
140860,파크시스템스,2020-01-31,45300.0,2020-03-12,2020-03-13,-29.36,EXIT4_SCORE_DRAWDOWN_GE_15,2020-12-01,62.25,67.33,-55.19,True,True,REALIZED
144960,뉴파워프라즈마,2024-06-07,6780.0,2024-07-05,2024-07-08,-15.19,NO_EXIT_BEFORE_CUTOFF,,29.2,95.87,-41.15,True,True,OPEN_AT_CUTOFF
143160,아이디스,2023-09-22,29450.0,2023-10-04,2023-10-05,-18.17,NO_PROGRESSED_BEFORE_CUTOFF,,-45.33,3.74,-56.23,True,False,OPEN_AT_CUTOFF
145020,휴젤,2020-01-31,146294.0,2020-03-09,2020-03-10,-17.25,EXIT4_SCORE_DRAWDOWN_GE_15,2021-07-01,66.04,81.14,-30.54,True,True,REALIZED
149950,아바텍,2022-09-16,21100.0,2022-09-23,2022-09-26,-28.2,NO_PROGRESSED_BEFORE_CUTOFF,,-56.92,3.55,-68.01,True,False,OPEN_AT_CUTOFF
151860,KG에코솔루션,2023-03-10,16700.0,2023-05-08,2023-05-09,-16.89,NO_PROGRESSED_BEFORE_CUTOFF,,-66.53,83.23,-74.19,True,False,OPEN_AT_CUTOFF
166090,하나머티리얼즈,2020-07-10,24500.0,2020-08-20,2020-08-21,-14.49,EXIT4_SCORE_DRAWDOWN_GE_15,2021-03-02,54.29,61.22,-18.16,True,True,REALIZED
166480,코아스템켐온,2024-06-07,11457.0,2024-07-29,2024-07-30,-14.25,NO_EXIT_BEFORE_CUTOFF,,-80.06,16.49,-91.15,True,False,OPEN_AT_CUTOFF
171090,선익시스템,2025-10-31,53300.0,2025-11-21,2025-11-24,-18.11,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,95.12,170.17,-19.51,True,True,REALIZED
179900,유티아이,2021-02-19,19450.0,2021-03-08,2021-03-09,-15.17,EXIT4_SCORE_DRAWDOWN_GE_15,2023-02-01,24.94,56.3,-44.99,True,True,REALIZED
190510,나무가,2024-01-26,21650.0,2024-02-02,2024-02-05,-17.18,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,-10.85,32.1,-54.97,True,False,REALIZED
195940,HK이노엔,2026-02-27,53800.0,2026-03-04,2026-03-05,-9.76,NO_PROGRESSED_BEFORE_CUTOFF,,-21.84,3.72,-35.32,True,False,OPEN_AT_CUTOFF
