ticker,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_pattern_a_stage_report,entry_pattern_a_stage_reconstructed,entry_pattern_a_score,score_status,score_bucket,trade_status,exit_type,exit_execution_date,return_pct,return_source,latest_target_as_of,score_error
004380,삼익THK,KOSPI,004380_01,1,2014-01-17,2014-01-20,10937.0,TRANSITION,TRANSITION,70.06786127812805,READY,"[70, 75)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2017-08-01,160.15,REALIZED_REPORT_HISTORY,2026-09-21,
004380,삼익THK,KOSPI,004380_02,2,2021-04-23,2021-04-26,19839.0,TRANSITION,TRANSITION,56.847235212291395,READY,"[55, 60)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-06-25,-15.13,REALIZED_REPORT_HISTORY,2026-09-21,
004380,삼익THK,KOSPI,004380_03,3,2022-01-07,2022-01-10,18534.0,TRANSITION,TRANSITION,65.89451337349345,READY,"[65, 70)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-02-16,-14.09,REALIZED_REPORT_HISTORY,2026-09-21,
004380,삼익THK,KOSPI,004380_04,4,2022-03-25,2022-03-28,18273.0,TRANSITION,TRANSITION,69.07483689578923,READY,"[65, 70)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-24,-17.5,REALIZED_REPORT_HISTORY,2026-09-21,
004380,삼익THK,KOSPI,004380_05,5,2023-03-17,2023-03-20,20491.0,TRANSITION,TRANSITION,67.68224203125469,READY,"[65, 70)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2023-04-27,-15.54,REALIZED_REPORT_HISTORY,2026-09-21,
004410,서울식품,KOSPI,004410_01,1,2013-05-10,2013-05-13,1170.0,TRANSITION,TRANSITION,76.42038449941481,READY,"[75, 80)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-10-07,-15.38,REALIZED_REPORT_HISTORY,2026-09-21,
004410,서울식품,KOSPI,004410_02,2,2014-04-18,2014-04-21,1050.0,TRANSITION,TRANSITION,67.48101613663286,READY,"[65, 70)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2014-10-31,-15.24,REALIZED_REPORT_HISTORY,2026-09-21,
004410,서울식품,KOSPI,004410_03,3,2015-04-03,2015-04-06,1240.0,EARLY_TREND,EARLY_TREND,74.20300689056181,READY,"[70, 75)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-10-01,53.23,REALIZED_REPORT_HISTORY,2026-09-21,
004410,서울식품,KOSPI,004410_04,4,2017-05-26,2017-05-29,1870.0,TRANSITION,TRANSITION,71.32410925989849,READY,"[70, 75)",REALIZED,EXIT3_PROGRESSED_TO_WEAK,2018-11-01,-11.76,REALIZED_REPORT_HISTORY,2026-09-21,
004410,서울식품,KOSPI,004410_05,5,2020-12-04,2020-12-07,2480.0,TRANSITION,TRANSITION,45.0017693071241,READY,"[45, 50)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-01-18,-16.53,REALIZED_REPORT_HISTORY,2026-09-21,
004430,송원산업,KOSPI,004430_01,1,2013-05-03,2013-05-06,14800.0,TRANSITION,TRANSITION,48.0177414441395,READY,"[45, 50)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-06-25,-20.27,REALIZED_REPORT_HISTORY,2026-09-21,
004430,송원산업,KOSPI,004430_02,2,2015-03-27,2015-03-30,9960.0,TRANSITION,TRANSITION,16.816670870323392,READY,"[15, 20)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2016-04-01,98.29,REALIZED_REPORT_HISTORY,2026-09-21,
004430,송원산업,KOSPI,004430_03,3,2017-06-02,2017-06-05,19550.0,EARLY_TREND,EARLY_TREND,83.87670112682427,READY,"[80, 85)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2018-07-02,18.93,REALIZED_REPORT_HISTORY,2026-09-21,
004430,송원산업,KOSPI,004430_04,4,2021-02-05,2021-02-08,19950.0,TRANSITION,TRANSITION,21.230182146007035,READY,"[20, 25)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-03-09,-15.04,REALIZED_REPORT_HISTORY,2026-09-21,
004430,송원산업,KOSPI,004430_05,5,2021-04-23,2021-04-26,22250.0,TRANSITION,TRANSITION,44.246081894597154,READY,"[40, 45)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-05-13,-17.53,REALIZED_REPORT_HISTORY,2026-09-21,
004440,삼일씨엔에스,KOSPI,004440_01,1,2021-01-22,2021-01-25,14600.0,TRANSITION,TRANSITION,50.0733258285307,READY,"[50, 55)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-02-25,-15.75,REALIZED_REPORT_HISTORY,2026-09-21,
004440,삼일씨엔에스,KOSPI,004440_02,2,2026-03-20,2026-03-23,6800.0,EARLY_TREND,EARLY_TREND,97.41834100561059,READY,"[95, 100]",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,19.12,REALIZED_REPORT_HISTORY,2026-09-21,
004450,삼화왕관,KOSPI,004450_01,1,2012-12-28,2013-01-02,21000.0,TRANSITION,TRANSITION,70.22713893255212,READY,"[70, 75)",OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,,31.43,OPEN_LATEST_REPORT_HISTORY,2026-09-21,
004490,세방전지,KOSPI,004490_01,1,2015-04-03,2015-04-06,51400.0,TRANSITION,TRANSITION,58.227140624238785,READY,"[55, 60)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2015-06-04,-17.8,REALIZED_REPORT_HISTORY,2026-09-21,
004490,세방전지,KOSPI,004490_02,2,2017-06-30,2017-07-03,39850.0,TRANSITION,TRANSITION,40.46627810158213,READY,"[40, 45)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2017-11-01,-15.81,REALIZED_REPORT_HISTORY,2026-09-21,
004490,세방전지,KOSPI,004490_03,3,2018-09-14,2018-09-17,38550.0,TRANSITION,TRANSITION,48.40182648401826,READY,"[45, 50)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2020-02-04,-15.56,REALIZED_REPORT_HISTORY,2026-09-21,
004490,세방전지,KOSPI,004490_04,4,2024-02-16,2024-02-19,81800.0,TRANSITION,TRANSITION,32.17541874814714,READY,"[30, 35)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2024-08-01,11.37,REALIZED_REPORT_HISTORY,2026-09-21,
004540,깨끗한나라,KOSPI,004540_01,1,2013-01-11,2013-01-14,4602.0,TRANSITION,TRANSITION,51.54993944893276,READY,"[50, 55)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2015-08-24,-19.34,REALIZED_REPORT_HISTORY,2026-09-21,
004560,현대비앤지스틸,KOSPI,004560_01,1,2013-08-30,2013-09-02,15450.0,TRANSITION,TRANSITION,18.94902159825697,READY,"[15, 20)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-11-22,-17.15,REALIZED_REPORT_HISTORY,2026-09-21,
004560,현대비앤지스틸,KOSPI,004560_02,2,2014-02-21,2014-02-24,17500.0,TRANSITION,TRANSITION,66.4522554936756,READY,"[65, 70)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2021-05-03,52.86,REALIZED_REPORT_HISTORY,2026-09-21,
004560,현대비앤지스틸,KOSPI,004560_03,3,2024-01-12,2024-01-15,18030.0,TRANSITION,TRANSITION,54.724970902521946,READY,"[50, 55)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2024-09-02,-21.35,REALIZED_REPORT_HISTORY,2026-09-21,
004590,한국가구,KOSDAQ,004590_01,1,2013-05-03,2013-05-06,1380.0,EARLY_TREND,EARLY_TREND,94.13533806270479,READY,"[90, 95)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-04-01,137.68,REALIZED_REPORT_HISTORY,2026-09-21,
004590,한국가구,KOSDAQ,004590_02,2,2018-03-16,2018-03-19,4600.0,TRANSITION,TRANSITION,52.93984508481373,READY,"[50, 55)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2020-03-13,-25.22,REALIZED_REPORT_HISTORY,2026-09-21,
004590,한국가구,KOSDAQ,004590_03,3,2025-08-08,2025-08-11,5710.0,EARLY_TREND,EARLY_TREND,96.25410959403935,READY,"[95, 100]",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2025-11-18,-15.41,REALIZED_REPORT_HISTORY,2026-09-21,
004590,한국가구,KOSDAQ,004590_04,4,2026-05-08,2026-05-11,8020.0,EARLY_TREND,EARLY_TREND,80.19525753517313,READY,"[80, 85)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2026-05-27,-14.34,REALIZED_REPORT_HISTORY,2026-09-21,
004690,삼천리,KOSPI,004690_01,1,2013-09-06,2013-09-09,138000.0,TRANSITION,TRANSITION,80.52641051306504,READY,"[80, 85)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2022-09-01,50.36,REALIZED_REPORT_HISTORY,2026-09-21,
004690,삼천리,KOSPI,004690_02,2,2025-07-04,2025-07-07,147800.0,TRANSITION,TRANSITION,41.441360856464534,READY,"[40, 45)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2025-08-28,-14.55,REALIZED_REPORT_HISTORY,2026-09-21,
004700,조광피혁,KOSPI,004700_01,1,2020-04-03,2020-04-06,41700.0,TRANSITION,TRANSITION,69.95644308417845,READY,"[65, 70)",OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,,63.55,OPEN_LATEST_REPORT_HISTORY,2026-09-21,
004710,한솔테크닉스,KOSPI,004710_01,1,2015-10-02,2015-10-05,23954.0,EARLY_TREND,EARLY_TREND,84.30381473203414,READY,"[80, 85)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2016-01-21,-15.91,REALIZED_REPORT_HISTORY,2026-09-21,
004710,한솔테크닉스,KOSPI,004710_02,2,2020-08-07,2020-08-10,9901.0,TRANSITION,TRANSITION,33.491658622725424,READY,"[30, 35)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2020-08-21,-17.92,REALIZED_REPORT_HISTORY,2026-09-21,
004710,한솔테크닉스,KOSPI,004710_03,3,2020-09-11,2020-09-14,9379.0,TRANSITION,TRANSITION,45.44688482983717,READY,"[45, 50)",OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,,4.7,OPEN_LATEST_REPORT_HISTORY,2026-09-21,
004770,써니전자,KOSPI,004770_01,1,2019-09-20,2019-09-23,4110.0,TRANSITION,TRANSITION,65.74295702517611,READY,"[65, 70)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2019-10-08,-15.94,REALIZED_REPORT_HISTORY,2026-09-21,
