ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status
439090,마녀공장,KOSDAQ,weak,blocked,0.0,2972.1,93.29,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
439580,블루엠텍,KOSDAQ,,insufficient_data,,585.88,1.39,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (585.9억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
439960,코스모로보틱스,KOSDAQ,,insufficient_data,,5441.97,939.81,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
440110,파두,KOSDAQ,,insufficient_data,,32822.72,406.35,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
440290,HB인베스트먼트,KOSDAQ,,insufficient_data,,488.79,1.07,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (488.8억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
440320,오픈놀,KOSDAQ,weak,blocked,0.0,252.99,0.56,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (253.0억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
441270,파인엠텍,KOSDAQ,base,watch,11.071997369476833,3674.65,27.52,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK
443250,레뷰코퍼레이션,KOSDAQ,,insufficient_data,,693.99,0.53,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (694.0억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
443670,에스피소프트,KOSDAQ,,insufficient_data,,769.54,3.41,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (769.5억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
444530,심플랫폼,KOSDAQ,,insufficient_data,,307.12,0.83,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (307.1억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
445090,에이직랜드,KOSDAQ,,insufficient_data,,2572.99,12.95,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
445180,퓨릿,KOSDAQ,,insufficient_data,,1521.24,3.49,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
445680,큐리옥스바이오시스템즈,KOSDAQ,progressed,late,0.0,8704.85,42.71,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
446540,메가터치,KOSDAQ,,insufficient_data,,2355.41,14.42,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
446840,지슨,KOSDAQ,weak,blocked,0.0,396.05,2.27,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (396.1억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
448280,에코아이,KOSDAQ,,insufficient_data,,2518.65,1.43,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.43억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
448710,코츠테크놀로지,KOSDAQ,weak,blocked,0.0,621.55,5.84,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (621.5억),2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
448900,한국피아이엠,KOSDAQ,progressed,late,0.0,4410.06,79.77,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,PARTIAL
450330,하스,KOSDAQ,,insufficient_data,,427.35,0.4,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (427.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
450520,인스웨이브,KOSDAQ,,insufficient_data,,298.5,0.32,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (298.5억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
450950,아스테라시스,KOSDAQ,,insufficient_data,,2276.47,1.93,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (1.93억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
451220,아이엠티,KOSDAQ,,insufficient_data,,766.2,4.22,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (766.2억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
451250,삐아,KOSDAQ,,insufficient_data,,795.57,4.62,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (795.6억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
451760,컨텍,KOSDAQ,,insufficient_data,,1403.16,7.8,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452160,제이엔비,KOSDAQ,,insufficient_data,,329.4,0.4,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (329.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452190,한빛레이저,KOSDAQ,,insufficient_data,,953.23,4.5,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (953.2억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452200,민테크,KOSDAQ,,insufficient_data,,389.08,2.11,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (389.1억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452280,한선엔지니어링,KOSDAQ,,insufficient_data,,2357.84,26.69,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452300,캡스톤파트너스,KOSDAQ,,insufficient_data,,325.19,1.46,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (325.2억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452400,이닉스,KOSDAQ,,insufficient_data,,549.73,0.89,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (549.7억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452430,사피엔반도체,KOSDAQ,,insufficient_data,,2352.79,9.0,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
452450,피아이이,KOSDAQ,,insufficient_data,,1239.38,3.39,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
453450,그리드위즈,KOSDAQ,,insufficient_data,,1262.9,9.54,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
453860,에이에스텍,KOSDAQ,,insufficient_data,,604.49,1.1,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (604.5억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
455180,케이지에이,KOSDAQ,,insufficient_data,,218.72,1.07,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (218.7억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
