ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status,is_investable
068930,디지털대성,KOSDAQ,transition,candidate,72.46632654862577,2230.63,2.58,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.58억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
029780,삼성카드,KOSPI,transition,candidate,72.40962613253049,56249.49,45.18,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
021320,KCC건설,KOSDAQ,transition,candidate,72.25406216673014,1230.5,0.98,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.98억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
013030,하이록코리아,KOSDAQ,transition,candidate,71.71952491654082,3959.98,13.92,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
011200,HMM,KOSPI,transition,candidate,71.70893223923801,200438.07,273.43,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
100220,비상교육,KOSPI,transition,candidate,71.47508347807198,671.93,3.31,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (671.9억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
003100,선광,KOSDAQ,transition,candidate,71.37753729343403,1428.9,10.3,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
073560,우리손에프앤지,KOSDAQ,transition,candidate,71.28965867119265,1076.65,2.08,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.08억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
025540,한국단자,KOSPI,transition,candidate,71.20518502673644,6493.83,11.11,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
267290,경동도시가스,KOSPI,transition,candidate,71.07578071983806,1276.36,3.47,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
006040,동원산업,KOSPI,transition,candidate,70.98409304989124,16574.88,18.28,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
017940,E1,KOSPI,transition,candidate,70.9086354260079,6139.7,8.75,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
