window,layer,version,metric,realistic_diff,broad_same_window_diff,broad_pooled_diff,ratio_vs_broad_same_window,classification,realistic_normal_n,realistic_coverage_n,filled_descriptive_only
P2-2,ELIGIBLE,ALL,le_neg_50_rate_pct,-1.8809,-3.2123,-2.8747,0.5855,MAINTAINED,273,89,False
P2-2,ELIGIBLE,ALL,le_neg_60_rate_pct,-1.1236,-2.4381,-2.345,0.4609,WEAKENED,273,89,False
P2-2,ELIGIBLE,ALL,return_auc_effect,0.0918,0.1252,0.1142,0.7332,MAINTAINED,273,89,False
P2-2,ELIGIBLE,CLOSED_ONLY,mean_return,19.5304,20.4748,20.0846,0.9539,MAINTAINED,264,74,False
P2-2,ELIGIBLE,CLOSED_ONLY,median_return,11.53,13.735,1.18,0.8395,MAINTAINED,264,74,False
P2-2,ELIGIBLE,CLOSED_ONLY,ge_50_rate_pct,10.4627,11.907,12.0798,0.8787,MAINTAINED,264,74,False
P2-2,ELIGIBLE,CLOSED_ONLY,ge_100_rate_pct,4.0131,5.3173,5.5038,0.7547,MAINTAINED,264,74,False
P2-2,ELIGIBLE,CLOSED_ONLY,le_neg_30_rate_pct,0.1638,0.7456,0.6281,0.2197,WEAKENED,264,74,False
P2-2,ELIGIBLE,CLOSED_ONLY,le_neg_50_rate_pct,0.3788,0.3854,0.2466,0.9829,MAINTAINED,264,74,False
P2-2,ELIGIBLE,CLOSED_ONLY,le_neg_60_rate_pct,0.0,0.0963,0.0925,0.0,VANISHED,264,74,False
P2-2,ELIGIBLE,CLOSED_ONLY,return_auc_effect,0.0973,0.1158,0.1077,0.8402,MAINTAINED,264,74,False
P2-2,FILLED,ALL,mean_return,24.8297,22.0264,19.8357,1.1273,MAINTAINED,138,37,False
P2-2,FILLED,ALL,median_return,6.91,15.66,1.25,0.4413,WEAKENED,138,37,True
P2-2,FILLED,ALL,ge_50_rate_pct,12.5735,13.3016,12.0976,0.9453,MAINTAINED,138,37,False
P2-2,FILLED,ALL,ge_100_rate_pct,5.66,6.1402,5.57,0.9218,MAINTAINED,138,37,False
P2-2,FILLED,ALL,le_neg_30_rate_pct,0.1959,-5.0434,-4.7549,-0.0388,REVERSED,138,37,True
P2-2,FILLED,ALL,le_neg_50_rate_pct,-1.9781,-3.2123,-2.8747,0.6158,MAINTAINED,138,37,True
P2-2,FILLED,ALL,le_neg_60_rate_pct,0.0,-2.4381,-2.345,0.0,VANISHED,138,37,True
P2-2,FILLED,ALL,return_auc_effect,0.1035,0.1252,0.1142,0.8267,MAINTAINED,138,37,False
P2-2,FILLED,CLOSED_ONLY,mean_return,25.3676,20.4748,20.0846,1.239,MAINTAINED,132,30,False
P2-2,FILLED,CLOSED_ONLY,median_return,5.335,13.735,1.18,0.3884,WEAKENED,132,30,True
P2-2,FILLED,CLOSED_ONLY,ge_50_rate_pct,11.6667,11.907,12.0798,0.9798,MAINTAINED,132,30,False
P2-2,FILLED,CLOSED_ONLY,ge_100_rate_pct,3.6364,5.3173,5.5038,0.6839,MAINTAINED,132,30,False
P2-2,FILLED,CLOSED_ONLY,le_neg_30_rate_pct,3.0303,0.7456,0.6281,4.0642,MAINTAINED,132,30,True
P2-2,FILLED,CLOSED_ONLY,le_neg_50_rate_pct,0.7576,0.3854,0.2466,1.9657,MAINTAINED,132,30,True
P2-2,FILLED,CLOSED_ONLY,le_neg_60_rate_pct,0.0,0.0963,0.0925,0.0,VANISHED,132,30,True
P2-2,FILLED,CLOSED_ONLY,return_auc_effect,0.1264,0.1158,0.1077,1.0915,MAINTAINED,132,30,False
