window,layer,comparison,extreme_contrast,feature,feature_kind,level,feature_role,n_group_rows,n_reference_rows,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit,profile_allowed,broad_pooled_effect,broad_pooled_grade,same_sign_as_broad
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,avg_trading_value_20d_eok,numeric,,ENTRY,0,355,0,328,,199.73,,,,,AUC-0.5,False,0.0868,MIXED,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,wma52_slope_1w,numeric,,ENTRY,0,355,0,328,,0.003,,,,,AUC-0.5,False,0.147,CONSISTENT,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,atr_14_pct,numeric,,ENTRY,0,355,0,328,,0.0363,,,,,AUC-0.5,False,0.1219,CONSISTENT,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,range_position_24m,numeric,,ENTRY,0,355,0,328,,0.5743,,,,,AUC-0.5,False,0.0446,WEAK,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,wma12_vs_wma26_pct,numeric,,ENTRY,0,355,0,328,,0.0381,,,,,AUC-0.5,False,0.0397,WEAK,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,close_vs_wma200_pct,numeric,,ENTRY,0,355,0,316,,0.1209,,,,,AUC-0.5,False,-0.0077,INSUFFICIENT_EVIDENCE,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY,0,355,0,136,,-0.0329,,,,,AUC-0.5,False,-0.0421,INSUFFICIENT_EVIDENCE,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,market,categorical,KOSDAQ,ENTRY,0,355,0,355,,,,18.5915,,,share_pp,False,9.4532,CONSISTENT,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY,0,355,0,355,,,,16.0563,,,share_pp,False,-8.9448,MIXED,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,fast_score_state,categorical,PARTIAL,ENTRY,0,355,0,355,,,,3.662,,,share_pp,False,2.4472,WEAK,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,is_normal_handoff,numeric,,POST_ENTRY_LIFECYCLE,0,355,0,355,,0.0,,,,,AUC-0.5,False,,,
P2-1,ELIGIBLE,LOSS_50_vs_REST,False,is_coverage_path,numeric,,POST_ENTRY_LIFECYCLE,0,355,0,355,,0.0,,,,,AUC-0.5,False,,,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,pattern_a_score,numeric,,ENTRY,38,8,35,6,61.193,47.1266,,,0.6571,0.1571,AUC-0.5,False,0.0206,WEAK,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,fast_score,numeric,,ENTRY,38,8,38,8,77.28,73.24,,,0.7368,0.2368,AUC-0.5,False,-0.051,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,market_cap_eok,numeric,,ENTRY,38,8,38,8,36372.5024,14316.5473,,,0.6086,0.1086,AUC-0.5,False,-0.0045,WEAK,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,avg_trading_value_20d_eok,numeric,,ENTRY,38,8,35,6,216.04,406.425,,,0.4143,-0.0857,AUC-0.5,False,-0.0832,MIXED,
