ticker,all_sector_rs_rank_3m,all_sector_rs_rank_6m,all_sector_rs_rank_12m,all_sector_rs_percentile_3m,all_sector_rs_percentile_6m,all_sector_rs_percentile_12m
002840,993.0,1379.0,1577.0,56.395604395604394,41.21160409556314,32.12747631352283
002870,1401.0,1674.0,1814.0,38.46153846153847,28.62627986348123,21.92075796726959
002880,428.0,1406.0,1820.0,81.23076923076923,40.05972696245734,21.66236003445306
002900,394.0,841.0,551.0,82.72527472527472,64.16382252559727,76.31352282515074
002920,239.0,1202.0,1741.0,89.53846153846153,48.762798634812285,25.064599483204137
002960,473.0,677.0,732.0,79.25274725274726,71.160409556314,68.51851851851852
002990,2.0,39.0,81.0,99.95604395604396,98.37883959044368,96.55469422911284
003000,2057.0,503.0,331.0,9.626373626373626,78.58361774744027,85.78811369509044
003010,35.0,174.0,453.0,98.50549450549453,92.61945392491468,80.53402239448751
003030,2199.0,2019.0,2207.0,3.3846153846153846,13.907849829351534,4.995693367786391
003060,2270.0,4.0,33.0,0.2637362637362637,99.87201365187714,98.62187769164514
003070,368.0,1439.0,1660.0,83.86813186813187,38.6518771331058,28.552971576227392
003080,811.0,1556.0,1509.0,64.3956043956044,33.660409556313994,35.055986218776916
003090,1857.0,1454.0,1191.0,18.417582417582416,38.01194539249147,48.75107665805341
003100,1229.0,979.0,593.0,46.02197802197802,58.276450511945384,74.50473729543498
003120,1291.0,958.0,1066.0,43.2967032967033,59.17235494880546,54.134366925064604
003160,1309.0,1424.0,198.0,42.505494505494504,39.291808873720136,91.51593453919035
003200,854.0,1270.0,380.0,62.50549450549451,45.86177474402731,83.67786391042205
003220,1938.0,1681.0,1768.0,14.857142857142858,28.327645051194537,23.901808785529717
003230,1321.0,610.0,1014.0,41.97802197802198,74.01877133105802,56.37381567614126
003240,1252.0,1138.0,1189.0,45.01098901098901,51.49317406143344,48.837209302325576
003280,2125.0,932.0,772.0,6.637362637362637,60.281569965870304,66.79586563307494
003300,624.0,362.0,428.0,72.61538461538461,84.59897610921502,81.61068044788975
003310,2158.0,2289.0,313.0,5.186813186813187,2.3890784982935154,86.56330749354005
003350,313.0,783.0,1312.0,86.28571428571429,66.6382252559727,43.54005167958656
003380,286.0,762.0,991.0,87.47252747252747,67.53412969283276,57.36434108527132
003460,129.0,505.0,1277.0,94.37362637362638,78.49829351535837,45.0473729543497
003470,688.0,474.0,958.0,69.80219780219781,79.82081911262799,58.78552971576227
003480,1169.0,144.0,523.0,48.659340659340664,93.89931740614334,77.51937984496125
003490,963.0,639.0,583.0,57.714285714285715,72.7815699658703,74.93540051679587
003520,1838.0,1662.0,1757.0,19.252747252747252,29.138225255972692,24.375538329026703
003530,1126.0,1326.0,1821.0,50.54945054945055,43.472696245733786,21.619293712316967
003540,584.0,924.0,1366.0,74.37362637362638,60.622866894197955,41.21447028423773
003550,859.0,795.0,910.0,62.28571428571429,66.12627986348123,60.85271317829457
003570,1736.0,1874.0,2058.0,23.736263736263737,20.0938566552901,11.41257536606374
003580,1044.0,1909.0,2049.0,54.15384615384615,18.600682593856657,11.800172265288545
003610,447.0,825.0,298.0,80.3956043956044,64.84641638225256,87.20930232558139
003620,1224.0,1653.0,1548.0,46.24175824175824,29.522184300341294,33.37639965546943
003650,215.0,644.0,566.0,90.59340659340658,72.56825938566553,75.66752799310939
003670,1955.0,2265.0,2202.0,14.109890109890111,3.4129692832764507,5.211024978466839
003680,359.0,708.0,630.0,84.26373626373626,69.83788395904436,72.91128337639967
003690,409.0,1289.0,1127.0,82.06593406593406,45.051194539249146,51.50732127476314
003720,2148.0,1074.0,232.0,5.626373626373626,54.223549488054616,90.05167958656331
003780,1928.0,2080.0,1816.0,15.296703296703296,11.305460750853245,21.834625322997415
003800,504.0,461.0,197.0,77.8901098901099,80.3754266211604,91.55900086132644
003830,709.0,1109.0,1281.0,68.87912087912088,52.73037542662116,44.875107665805345
003850,1570.0,764.0,599.0,31.032967032967036,67.44880546075085,74.24633936261843
003920,1390.0,1360.0,1440.0,38.94505494505495,42.022184300341294,38.027562446167096
003960,745.0,1487.0,1298.0,67.2967032967033,36.604095563139936,44.142980189491816
004000,1528.0,1069.0,801.0,32.879120879120876,54.436860068259385,65.54694229112835
004020,1721.0,904.0,1321.0,24.39560439560439,61.47610921501706,43.15245478036176
004060,1953.0,2263.0,1965.0,14.197802197802195,3.4982935153583616,15.417743324720067
004080,448.0,1217.0,1642.0,80.35164835164835,48.122866894197955,29.328165374677003
004090,1494.0,1323.0,700.0,34.37362637362638,43.600682593856654,69.89664082687338
004100,607.0,784.0,1120.0,73.36263736263736,66.59556313993174,51.80878552971576
004140,1823.0,1693.0,1736.0,19.912087912087912,27.815699658703068,25.279931093884585
004150,1280.0,1385.0,1656.0,43.78021978021978,40.95563139931741,28.725236864771748
004170,1299.0,605.0,181.0,42.94505494505494,74.23208191126281,92.24806201550388
004250,1368.0,1794.0,1812.0,39.91208791208791,23.506825938566553,22.006890611541778
004270,1051.0,1916.0,2158.0,53.84615384615385,18.302047781569968,7.10594315245478
004310,1944.0,2110.0,173.0,14.593406593406591,10.025597269624576,92.5925925925926
004360,1217.0,1236.0,821.0,46.54945054945055,47.3122866894198,64.68561584840654
