request_index,request_started_at,previous_request_started_at,interval_seconds,endpoint_class,sector_code,page,page_size,http_status,content_type,content_length,response_sha256,response_prefix_sha256,block_markers,elapsed_seconds,secrets_recorded,response_count,response_count_basis
39,2026-09-02T00:46:46.328278+00:00,2026-09-02T00:46:44.325653+00:00,2.003,sector_detail,328.0,1.0,100.0,200,text/html;charset=EUC-KR,53083,28505aeded590c3a4a481ad0b6f54021530f87be487fde11fcf109c459efb6fd,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.033,False,5,parsed_rows_from_deduplicated_raw_snapshot
40,2026-09-02T00:46:48.333305+00:00,2026-09-02T00:46:46.328278+00:00,2.005,sector_detail,292.0,1.0,100.0,200,text/html;charset=EUC-KR,122651,5c460b855b53bfa1df7f49bf83c70de94203af9cba54234b8f4969c22a03725b,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.161,False,57,parsed_rows_from_deduplicated_raw_snapshot
41,2026-09-02T00:46:50.338334+00:00,2026-09-02T00:46:48.333305+00:00,2.005,sector_detail,312.0,1.0,100.0,200,text/html;charset=EUC-KR,62433,196327f75069faa38a5bdcbb0d6ae3f4a9f3a69e3766218e98973e54e3143d48,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.037,False,12,parsed_rows_from_deduplicated_raw_snapshot
42,2026-09-02T00:46:52.342700+00:00,2026-09-02T00:46:50.338334+00:00,2.004,sector_detail,282.0,1.0,100.0,200,text/html;charset=EUC-KR,186945,5d3c69f61939683731d0c1d4fcade3b72fc0035e271177f60b0efb9eebe46e42,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.061,False,105,parsed_rows_from_deduplicated_raw_snapshot
43,2026-09-02T00:46:54.347735+00:00,2026-09-02T00:46:52.342700+00:00,2.005,sector_detail,282.0,2.0,100.0,200,text/html;charset=EUC-KR,186946,80d0c548a0754eaa07398c4033c43d2f38b59526ece7f336c7ba0ef339ff691d,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.051,False,105,parsed_rows_from_deduplicated_raw_snapshot
44,2026-09-02T00:46:56.352751+00:00,2026-09-02T00:46:54.347735+00:00,2.005,sector_detail,308.0,1.0,100.0,200,text/html;charset=EUC-KR,54399,f1e51c2b56f404cb97ad9c14eddc36bf512849330a3efa93c409eaa2407b945e,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.047,False,6,parsed_rows_from_deduplicated_raw_snapshot
45,2026-09-02T00:46:58.357794+00:00,2026-09-02T00:46:56.352751+00:00,2.005,sector_detail,275.0,1.0,100.0,200,text/html;charset=EUC-KR,47727,3b6ba62c4e2a9c5556e7aaff9875fff8559d547fb83baa32edc1f78d5a7d478b,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.04,False,1,parsed_rows_from_deduplicated_raw_snapshot
46,2026-09-02T00:47:00.362817+00:00,2026-09-02T00:46:58.357794+00:00,2.005,sector_detail,269.0,1.0,100.0,200,text/html;charset=EUC-KR,142533,4afb505fccd36c1feb998711428478b57273060fddd95ed3b4a60faf855d9d7e,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.076,False,72,parsed_rows_from_deduplicated_raw_snapshot
47,2026-09-02T00:47:02.367843+00:00,2026-09-02T00:47:00.362817+00:00,2.005,sector_detail,281.0,1.0,100.0,200,text/html;charset=EUC-KR,185068,1b981089adc69a82abe238df89dcae059aa25cc180a6089c8160c15ccd1432d3,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.063,False,104,parsed_rows_from_deduplicated_raw_snapshot
48,2026-09-02T00:47:04.372868+00:00,2026-09-02T00:47:02.367843+00:00,2.005,sector_detail,281.0,2.0,100.0,200,text/html;charset=EUC-KR,185069,eb211c26b3fcf7af29f07b382ab0a7f41de8340542af1b9384bed20da0b690ba,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.061,False,104,parsed_rows_from_deduplicated_raw_snapshot
