interpretation,comparison,group,reference,extreme_contrast,feature,feature_kind,level,n_group_rows,n_reference_rows,group_n,group_mean,group_median,group_q25,group_q75,reference_n,reference_mean,reference_median,reference_q25,reference_q75,median_difference,mean_difference,auc,effect,effect_unit,direction,grade,window_signs_P1_P21_P22_P31_P32,disjoint_signs_pre2021_from2021,qualifying_windows,windows_same_sign,disjoint_evaluable,disjoint_same_sign,group_share_pct,reference_share_pct,group_level_count,reference_level_count
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,mae,numeric,,346,5034,346,-12.0464,-9.52,-14.09,-4.115,5034,-17.667,-16.88,-18.8575,-15.33,7.36,5.6206,0.76,0.26,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,peak_giveback,numeric,,346,5034,346,129.3528,55.155,17.8525,126.1025,5034,39.8575,28.51,19.6625,46.425,26.645,89.4953,0.6172,0.1172,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,profit_capture,numeric,,346,5034,346,0.7059,0.7525,0.5548,0.8894,4942,-3.8951,-0.8322,-2.7775,0.0998,1.5847,4.601,0.9264,0.4264,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,lifecycle_class,categorical,NEVER_PROGRESSED,346,5034,346,,,,,5034,,,,,,,,-21.4144,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,0.0,21.4144,0.0,1078.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,lifecycle_class,categorical,NORMAL_EARLY_TREND_HANDOFF,346,5034,346,,,,,5034,,,,,,,,29.7494,share_pp,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,88.7283,58.9789,307.0,2969.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,lifecycle_class,categorical,PROGRESSED_WITHOUT_DIRECT_HANDOFF,346,5034,346,,,,,5034,,,,,,,,-7.3266,share_pp,LOWER_IN_GROUP,MIXED,---++,--,5,3,True,2,6.9364,14.263,24.0,718.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,lifecycle_class,categorical,SKIPPED_EARLY_TREND_HANDOFF,346,5034,346,,,,,5034,,,,,,,,-1.0084,share_pp,LOWER_IN_GROUP,WEAK,-+-+-,--,5,3,True,2,4.3353,5.3437,15.0,269.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,EXIT3_PROGRESSED_TO_BASE,346,5034,346,,,,,5034,,,,,,,,-0.1589,share_pp,LOWER_IN_GROUP,WEAK,---0-,--,5,4,True,2,0.0,0.1589,0.0,8.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,EXIT3_PROGRESSED_TO_EARLY_TREND,346,5034,346,,,,,5034,,,,,,,,0.2205,share_pp,HIGHER_IN_GROUP,WEAK,+----,+-,5,1,True,1,0.578,0.3576,2.0,18.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,EXIT3_PROGRESSED_TO_TRANSITION,346,5034,346,,,,,5034,,,,,,,,4.7661,share_pp,HIGHER_IN_GROUP,WEAK,+++-+,++,5,4,True,2,8.3815,3.6154,29.0,182.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,EXIT3_PROGRESSED_TO_WEAK,346,5034,346,,,,,5034,,,,,,,,0.5928,share_pp,HIGHER_IN_GROUP,WEAK,++-+-,+-,5,3,True,1,2.0231,1.4303,7.0,72.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,EXIT4_SCORE_DRAWDOWN_GE_15,346,5034,346,,,,,5034,,,,,,,,59.4279,share_pp,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,82.948,23.5201,287.0,1184.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,LOSS_GUARD_CLOSE_LE_NEG_15,346,5034,346,,,,,5034,,,,,,,,-65.733,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,0.0,65.733,0.0,3309.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,NO_EXIT_BEFORE_CUTOFF,346,5034,346,,,,,5034,,,,,,,,2.7718,share_pp,HIGHER_IN_GROUP,WEAK,+++++,++,5,5,True,2,6.0694,3.2976,21.0,166.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,exit_type,categorical,NO_PROGRESSED_BEFORE_CUTOFF,346,5034,346,,,,,5034,,,,,,,,-1.8872,share_pp,LOWER_IN_GROUP,WEAK,-----,--,5,5,True,2,0.0,1.8872,0.0,95.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,trade_status,categorical,OPEN_AT_CUTOFF,346,5034,346,,,,,5034,,,,,,,,0.8846,share_pp,HIGHER_IN_GROUP,WEAK,+-+-+,++,5,3,True,2,6.0694,5.1847,21.0,261.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,trade_status,categorical,REALIZED,346,5034,346,,,,,5034,,,,,,,,-0.8846,share_pp,LOWER_IN_GROUP,WEAK,-+-+-,--,5,3,True,2,93.9306,94.8153,325.0,4773.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,loss_guard_triggered,categorical,False,346,5034,346,,,,,5034,,,,,,,,65.733,share_pp,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,100.0,34.267,346.0,1725.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_100_vs_REST,WIN_100,NOT_WIN_100,False,loss_guard_triggered,categorical,True,346,5034,346,,,,,5034,,,,,,,,-65.733,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,0.0,65.733,0.0,3309.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,days_to_first_progressed,numeric,,3707,1673,2697,828.8409,533.0,172.0,1201.0,1605,215.0523,155.0,107.0,242.0,378.0,613.7886,0.7629,0.2629,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,holding_days,numeric,,3707,1673,3707,142.4257,51.0,22.0,120.0,1673,379.104,183.0,118.0,381.0,-132.0,-236.6783,0.1826,-0.3174,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,mfe,numeric,,3707,1673,3707,19.3935,10.43,3.49,25.16,1673,135.7314,93.09,62.08,144.36,-82.66,-116.3379,0.0488,-0.4512,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,mae,numeric,,3707,1673,3707,-19.7159,-17.48,-19.39,-16.44,1673,-11.9647,-9.22,-13.89,-4.66,-8.26,-7.7512,0.1311,-0.3689,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,peak_giveback,numeric,,3707,1673,3707,36.5569,27.15,19.93,41.83,1673,65.6798,36.78,16.89,68.6,-9.63,-29.1229,0.4371,-0.0629,AUC-0.5,LOWER_IN_GROUP,MIXED,-+-+-,--,5,3,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,profit_capture,numeric,,3707,1673,3615,-5.5068,-1.5441,-4.2634,-0.6633,1673,0.5391,0.5461,0.3142,0.7744,-2.0902,-6.0459,0.0,-0.5,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,lifecycle_class,categorical,NEVER_PROGRESSED,3707,1673,3707,,,,,1673,,,,,,,,23.1812,share_pp,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,27.2458,4.0646,1010.0,68.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,lifecycle_class,categorical,NORMAL_EARLY_TREND_HANDOFF,3707,1673,3707,,,,,1673,,,,,,,,-30.1256,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,51.5241,81.6497,1910.0,1366.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,lifecycle_class,categorical,PROGRESSED_WITHOUT_DIRECT_HANDOFF,3707,1673,3707,,,,,1673,,,,,,,,6.3099,share_pp,HIGHER_IN_GROUP,MIXED,+++--,++,5,3,True,2,15.754,9.4441,584.0,158.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,lifecycle_class,categorical,SKIPPED_EARLY_TREND_HANDOFF,3707,1673,3707,,,,,1673,,,,,,,,0.6345,share_pp,HIGHER_IN_GROUP,WEAK,+----,+-,5,1,True,1,5.4761,4.8416,203.0,81.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,exit_type,categorical,EXIT3_PROGRESSED_TO_BASE,3707,1673,3707,,,,,1673,,,,,,,,0.1291,share_pp,HIGHER_IN_GROUP,WEAK,+++0+,++,5,4,True,2,0.1888,0.0598,7.0,1.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,exit_type,categorical,EXIT3_PROGRESSED_TO_EARLY_TREND,3707,1673,3707,,,,,1673,,,,,,,,-1.1087,share_pp,LOWER_IN_GROUP,WEAK,-----,--,5,5,True,2,0.027,1.1357,1.0,19.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,exit_type,categorical,EXIT3_PROGRESSED_TO_TRANSITION,3707,1673,3707,,,,,1673,,,,,,,,-8.3614,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,1.3218,9.6832,49.0,162.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,exit_type,categorical,EXIT3_PROGRESSED_TO_WEAK,3707,1673,3707,,,,,1673,,,,,,,,-0.3846,share_pp,LOWER_IN_GROUP,WEAK,-++--,-+,5,3,True,1,1.3488,1.7334,50.0,29.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,exit_type,categorical,EXIT4_SCORE_DRAWDOWN_GE_15,3707,1673,3707,,,,,1673,,,,,,,,-73.5256,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,4.478,78.0036,166.0,1305.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,LOSS_ANY_vs_POSITIVE,LOSS_ANY,POSITIVE,False,exit_type,categorical,LOSS_GUARD_CLOSE_LE_NEG_15,3707,1673,3707,,,,,1673,,,,,,,,89.2636,share_pp,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,89.2636,0.0,3309.0,0.0
